03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
109,1.7831122183264847,1,100,0,82.53,54,0,10.0,1.7831122183264847,1696170517,0,,,,,,,,,,,,,,,,,,,,,,,
182,3.5239905932175457,1,180,1,21.03,56,0,5.26,3.5239905932175457,1696170519,0,100.0,0.0,1.78,0.0,,,,,,,,,,,,,,,,,,,
207,6.2999231068692865,2,200,2,7.86,57,0,3.14,6.2999231068692865,1696170520,0,180.0,0.0,3.52,0.0,,,,,,,,,,,,,,,,,,,
346,20.594718342590397,3,340,3,0.0,58,0,0.5,20.594718342590397,1696170521,0,180.0,0.0,3.52,0.0,20.0,0.0,0.0,2.78,,,,,,,,,,,,,,,
435,28.230655520695738,3,420,4,0.0,59,0,0.5,28.230655520695738,1696170522,0,220.0,0.0,4.54,0.0,80.0,0.0,0.0,10.75,5.31,0.0,0.0,40.0,,,,,,,,,,,
564,38.34373337584091,4,520,5,0.0,60,0,0.5,38.34373337584091,1696170523,0,240.0,0.0,4.97,0.0,100.0,0.0,0.0,13.07,10.19,0.0,0.0,80.0,,,,,,,,,,,
628,41.00583829169008,4,580,6,0.0,61,0,0.5,41.00583829169008,1696170524,0,260.0,0.0,5.61,0.0,100.0,0.0,0.0,13.07,12.46,0.0,0.0,100.0,7.21,60.0,0.0,0.0,,,,,,,
659,39.208955081755825,4,600,7,0.0,63,0,0.5,39.208955081755825,1696170526,0,260.0,0.0,5.61,0.0,120.0,0.0,0.0,11.34,12.46,0.0,0.0,100.0,11.6,100.0,0.0,0.0,,,,,,,
705,39.208955081755825,4,600,8,0.0,64,0,0.5,39.208955081755825,1696170527,0,260.0,0.0,5.61,0.0,120.0,0.0,0.0,11.34,10.66,0.0,0.0,120.0,11.6,100.0,0.0,0.0,,,,,,,
750,39.208955081755825,4,600,9,0.0,65,0,0.5,39.208955081755825,1696170528,0,260.0,0.0,5.61,0.0,120.0,0.0,0.0,11.34,10.66,0.0,0.0,120.0,11.6,100.0,0.0,0.0,,,,,,,
