03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
40,0.6206000351741804,1,40,0,347.6,46,0,10.0,0.6206000351741804,1696171374,0,,,,,,,,,,,,,,,
81,1.3586789053904507,1,80,1,129.02,48,0,10.0,1.3586789053904507,1696171376,0,40.0,0.0,0.62,0.0,,,,,,,,,,,
107,1.7767769726634652,1,100,2,83.67,52,0,10.0,1.7767769726634652,1696171380,0,80.0,0.0,1.36,0.0,,,,,,,,,,,
161,3.0059196824061756,1,160,3,31.51,53,0,7.88,3.0059196824061756,1696171381,0,100.0,0.0,1.78,0.0,,,,,,,,,,,
184,3.5360718101252306,1,180,4,20.47,54,0,5.12,3.5360718101252306,1696171382,0,160.0,0.0,3.01,0.0,,,,,,,,,,,
202,3.9572527996664926,1,200,5,13.72,55,0,3.43,3.9572527996664926,1696171383,0,180.0,0.0,3.54,0.0,,,,,,,,,,,
225,4.548987022317614,1,220,6,6.88,56,0,1.72,4.548987022317614,1696171384,0,200.0,0.0,3.96,0.0,,,,,,,,,,,
243,4.967782417856609,1,240,7,2.66,58,0,0.66,4.967782417856609,1696171386,0,220.0,0.0,4.55,0.0,,,,,,,,,,,
4,11.29744488464403,2,0,8,22.31,59,1,8.92,5.616261231917606,1696171387,0,240.0,0.0,4.97,0.0,,,,,,,,,,,
10,18.752272156387182,2,0,9,13.1,60,1,5.24,5.616261231917606,1696171388,0,0.0,1.0,5.62,0.0,40.0,0.0,12.270743339002365,1.0,240.0,1.0,240.0,0.0,5.68,19.558717297685117,0.0
45,19.87952610554996,2,40,10,10.61,61,1,4.24,6.743515181080383,1696171389,0,0.0,1.0,5.62,0.0,100.0,0.0,,,,1.0,,,13.14,,
62,20.265181307889307,2,60,11,9.59,62,1,3.84,7.129170383419732,1696171390,0,40.0,1.0,6.74,0.0,100.0,0.0,,,,1.0,,,13.14,,
86,21.01548436313523,2,80,12,8.07,63,1,3.23,7.879473438665652,1696171391,0,60.0,1.0,7.13,0.0,100.0,0.0,,,,1.0,,,13.14,,
101,21.284230181057733,2,100,13,7.28,64,1,2.91,8.148219256588156,1696171392,0,80.0,1.0,7.88,0.0,100.0,0.0,,,,1.0,,,13.14,,
129,22.002645465149797,2,120,14,5.76,66,1,2.31,22.002645465149797,1696171394,0,100.0,1.0,8.15,0.0,100.0,0.0,,,,1.0,,,13.14,,
199,28.7907129241384,2,180,15,1.97,67,1,0.79,28.7907129241384,1696171395,0,120.0,1.0,8.87,0.0,0.0,1.0,,,,0.0,,,13.14,,
262,31.530985407315246,2,240,16,0.0,68,1,0.5,31.530985407315246,1696171396,0,120.0,1.0,8.87,0.0,60.0,1.0,,,,0.0,,,19.92,,
299,31.530985407315246,2,240,17,0.0,69,1,0.5,31.530985407315246,1696171397,0,160.0,1.0,9.86,0.0,80.0,1.0,,,,0.0,,,21.67,,
293,26.095972340400202,2,280,18,0.0,70,1,0.5,26.095972340400202,1696171398,0,160.0,1.0,9.86,0.0,80.0,1.0,,,,0.0,,,21.67,,
323,26.095972340400202,2,280,19,0.0,71,1,0.5,26.095972340400202,1696171399,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
353,26.095972340400202,2,280,20,0.0,72,1,0.5,26.095972340400202,1696171400,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
383,26.095972340400202,2,280,21,0.0,74,1,0.5,26.095972340400202,1696171402,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
413,26.095972340400202,2,280,22,0.0,75,1,0.5,26.095972340400202,1696171403,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
443,26.095972340400202,2,280,23,0.0,76,1,0.5,26.095972340400202,1696171404,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
473,26.095972340400202,2,280,24,0.0,77,1,0.5,26.095972340400202,1696171405,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
503,26.095972340400202,2,280,25,0.0,78,1,0.5,26.095972340400202,1696171406,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
533,26.095972340400202,2,280,26,0.0,79,1,0.5,26.095972340400202,1696171407,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
563,26.095972340400202,2,280,27,0.0,81,1,0.5,26.095972340400202,1696171409,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
593,26.095972340400202,2,280,28,0.0,82,1,0.5,26.095972340400202,1696171410,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
623,26.095972340400202,2,280,29,0.0,83,1,0.5,26.095972340400202,1696171411,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
653,26.095972340400202,2,280,30,0.0,84,1,0.5,26.095972340400202,1696171412,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
683,26.095972340400202,2,280,31,0.0,85,1,0.5,26.095972340400202,1696171413,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
713,26.095972340400202,2,280,32,0.0,86,1,0.5,26.095972340400202,1696171414,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
743,26.095972340400202,2,280,33,0.0,87,1,0.5,26.095972340400202,1696171415,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
86,31.522896010653334,2,80,34,5.41,89,2,2.16,31.522896010653334,1696171417,0,180.0,1.0,10.1,0.0,100.0,1.0,,,,0.0,,,16.0,,
173,36.39003395787643,2,160,35,2.29,90,2,0.92,36.39003395787643,1696171418,0,40.0,2.0,12.03,0.0,40.0,2.0,29.89471846597735,1.0,520.0,0.0,280.0,0.0,19.49,9.366202940451272,1.0
215,36.39003395787643,2,160,36,1.13,91,2,0.5,36.39003395787643,1696171419,0,80.0,2.0,14.11,0.0,80.0,2.0,,,,0.0,,,22.28,,
256,36.39003395787643,2,160,37,0.0,92,2,0.5,36.39003395787643,1696171420,0,80.0,2.0,14.11,0.0,80.0,2.0,,,,0.0,,,22.28,,
251,31.700267516570108,2,180,38,0.14,93,2,0.5,31.700267516570108,1696171421,0,80.0,2.0,14.11,0.0,80.0,2.0,,,,0.0,,,22.28,,
288,31.700267516570108,2,180,39,0.0,94,2,0.5,31.700267516570108,1696171422,0,80.0,2.0,14.11,0.0,100.0,2.0,,,,0.0,,,17.59,,
271,28.726075049653044,2,200,40,0.0,95,2,0.5,28.726075049653044,1696171423,0,80.0,2.0,14.11,0.0,100.0,2.0,,,,0.0,,,17.59,,
303,28.726075049653044,2,200,41,0.0,97,2,0.5,28.726075049653044,1696171425,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
336,28.726075049653044,2,200,42,0.0,98,2,0.5,28.726075049653044,1696171426,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
370,28.726075049653044,2,200,43,0.0,99,2,0.5,28.726075049653044,1696171427,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
403,28.726075049653044,2,200,44,0.0,100,2,0.5,28.726075049653044,1696171428,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
436,28.726075049653044,2,200,45,0.0,101,2,0.5,28.726075049653044,1696171429,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
469,28.726075049653044,2,200,46,0.0,102,2,0.5,28.726075049653044,1696171430,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
502,28.726075049653044,2,200,47,0.0,104,2,0.5,28.726075049653044,1696171432,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
535,28.726075049653044,2,200,48,0.0,105,2,0.5,28.726075049653044,1696171433,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
568,28.726075049653044,2,200,49,0.0,106,2,0.5,28.726075049653044,1696171434,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
601,28.726075049653044,2,200,50,0.0,107,2,0.5,28.726075049653044,1696171435,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
634,28.726075049653044,2,200,51,0.0,108,2,0.5,28.726075049653044,1696171436,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
667,28.726075049653044,2,200,52,0.0,109,2,0.5,28.726075049653044,1696171437,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
10,28.726075049653044,2,0,53,8.57,110,3,3.43,28.726075049653044,1696171438,0,100.0,2.0,11.13,0.0,100.0,2.0,,,,0.0,,,17.59,,
111,35.019687682527035,2,100,54,4.13,112,3,1.65,35.019687682527035,1696171440,0,0.0,3.0,11.13,0.0,0.0,3.0,21.842597422015388,2.0,720.0,0.0,200.0,0.0,17.59,9.15642018830681,1.0
188,38.10067642835905,2,160,55,1.78,113,3,0.71,38.10067642835905,1696171441,0,40.0,3.0,13.11,0.0,60.0,3.0,,,,0.0,,,21.91,,
232,38.10067642835905,2,160,56,0.63,114,3,0.5,38.10067642835905,1696171442,0,80.0,3.0,15.01,0.0,80.0,3.0,,,,0.0,,,23.09,,
203,31.440059432123213,2,200,57,1.68,115,3,0.67,31.440059432123213,1696171443,0,80.0,3.0,15.01,0.0,80.0,3.0,,,,0.0,,,23.09,,
239,31.440059432123213,2,200,58,0.53,116,3,0.5,31.440059432123213,1696171444,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
275,31.440059432123213,2,200,59,0.0,117,3,0.5,31.440059432123213,1696171445,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
312,31.440059432123213,2,200,60,0.0,118,3,0.5,31.440059432123213,1696171446,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
348,31.440059432123213,2,200,61,0.0,120,3,0.5,31.440059432123213,1696171448,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
384,31.440059432123213,2,200,62,0.0,121,3,0.5,31.440059432123213,1696171449,0,100.0,3.0,13.44,0.0,100.0,3.0,,,,0.0,,,18.0,,
