03_hivemind/epoch_s,_timestamp,04_peers/peer_1_epoch_oos,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,_step,03_hivemind/next_fetch_time_s,_runtime,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,03_hivemind/global_epoch,03_hivemind/per_epoch_training_samples,03_hivemind/undershot_TBS,03_hivemind/num_peers,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_2_epoch
,1696171894.0,,0.09392122813642317,0.0,0,10.0,46,2661.71,6.0,,,,,0.0,,,1.0,0.09392122813642317,,,,,,6.0,,
,1696171895.0,0.0,0.20548420208910256,0.0,1,10.0,47,1187.3,12.0,0.0,,,,0.0,,,1.0,0.20548420208910256,0.09,6.0,,,,12.0,,
,1696171896.0,0.0,0.33689965162482777,0.0,2,10.0,48,706.28,18.0,0.0,,,,0.0,,,1.0,0.33689965162482777,0.21,12.0,,,,18.0,,
,1696171897.0,0.0,0.49025455345548513,0.0,3,10.0,49,473.02,24.0,0.0,,,,0.0,,,1.0,0.49025455345548513,0.34,18.0,,,,24.0,,
,1696171898.0,0.0,0.6672007359399845,0.0,4,10.0,50,338.5,30.0,0.0,,,,0.0,,,1.0,0.6672007359399845,0.49,24.0,,,,30.0,,
,1696171902.0,0.0,0.8684465331971857,0.0,5,10.0,54,250.08,39.0,0.0,,,,0.0,,,1.0,0.8684465331971857,0.67,30.0,,,,36.0,,
,1696171903.0,0.0,1.759271388871499,0.0,6,10.0,55,112.61,58.0,0.0,,,,0.0,,,1.0,1.759271388871499,0.87,36.0,,,,57.0,,
,1696171905.0,0.0,2.052144103794246,0.0,7,10.0,57,93.52,64.0,0.0,,,,0.0,,,1.0,2.052144103794246,1.76,57.0,,,,63.0,,
,1696171906.0,0.0,2.3565849160603713,0.0,8,10.0,58,78.8,70.0,0.0,,,,0.0,,,1.0,2.3565849160603713,2.05,63.0,,,,69.0,,
,1696171907.0,0.0,2.6572380094473944,0.0,9,10.0,59,67.56,76.0,0.0,,,,0.0,,,1.0,2.6572380094473944,2.36,69.0,,,,75.0,,
,1696171908.0,0.0,3.106242005744487,0.0,10,10.0,60,55.22,84.0,0.0,,,,0.0,,,1.0,3.106242005744487,2.66,75.0,,,,84.0,,
,1696171909.0,0.0,3.3915996782133995,0.0,11,10.0,61,48.76,91.0,0.0,,,,0.0,,,1.0,3.3915996782133995,3.11,84.0,,,,90.0,,
,1696171910.0,0.0,3.6545300383150114,0.0,12,10.0,62,43.57,97.0,0.0,,,,0.0,,,1.0,3.6545300383150114,3.39,90.0,,,,96.0,,
,1696171912.0,0.0,4.325062509742341,0.0,13,10.0,64,34.67,106.0,0.0,,,,0.0,,,2.0,4.325062509742341,3.65,96.0,,,,105.0,,
,1696171913.0,0.0,5.74241308494811,0.0,14,9.38,65,23.46,121.0,0.0,,0.0,,0.0,,,2.0,5.74241308494811,3.89,102.0,3.0,,0.43,120.0,,0.0
,1696171914.0,0.0,6.601621212856638,0.0,15,7.4,66,18.51,134.0,0.0,,0.0,,0.0,,,2.0,6.601621212856638,4.1,108.0,12.0,,1.64,132.0,,0.0
,1696171915.0,0.0,7.352337162534974,0.0,16,5.96,67,14.89,146.0,0.0,,0.0,,0.0,,,2.0,7.352337162534974,4.29,114.0,18.0,,2.32,144.0,,0.0
,1696171916.0,0.0,8.21766278454632,0.0,17,4.64,68,11.61,161.0,0.0,,0.0,,0.0,,,2.0,8.21766278454632,4.45,120.0,24.0,,2.91,159.0,,0.0
,1696171917.0,0.0,8.719444852645701,0.0,18,3.8,69,9.5,173.0,0.0,,0.0,,0.0,,,2.0,8.719444852645701,4.58,126.0,33.0,,3.64,171.0,,0.0
,1696171918.0,0.0,9.146228808727486,0.0,19,3.07,70,7.67,186.0,0.0,,0.0,,0.0,,,2.0,9.146228808727486,4.7,132.0,39.0,,4.02,183.0,,0.0
,1696171920.0,0.0,9.508944040198816,0.0,20,2.41,72,6.03,199.0,0.0,,0.0,,0.0,,,2.0,9.508944040198816,4.8,138.0,45.0,,4.35,195.0,,0.0
