03_hivemind/num_clients,04_peers/peer_1_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/estimated_current_samples,_step,_timestamp,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,_runtime,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos
0,,,17.341401415368736,,,,920.7,416,,,,,1,0,418,0,1680689956.0,,,40,10.0,,,17.341401415368736,,
0,17.34,,219.97242633795216,0.0,,,65.85,1216,,,,,1,0,1898,1,1680689960.0,,,44,10.0,,416.0,219.97242633795216,,0.0
0,219.97,,672.8194327444119,0.0,,,18.27,4000,,,,,1,0,4091,2,1680689961.0,,,45,4.57,,1216.0,672.8194327444119,,0.0
0,672.82,,665.6787418888856,0.0,,,17.3,4800,,,,,1,0,4868,3,1680689963.0,,,47,4.32,,4000.0,665.6787418888856,,0.0
0,665.68,,692.0376258589765,0.0,,,15.45,5632,,,,,1,0,5694,4,1680689964.0,,,48,3.86,,4800.0,692.0376258589765,,0.0
0,692.04,,619.2666019638725,0.0,,,16.09,6368,,,,,1,0,6421,5,1680689965.0,,,49,4.02,,5632.0,619.2666019638725,,0.0
0,619.27,,1187.4640700535383,0.0,,,6.81,8160,,,,,2,0,8294,6,1680689966.0,,,50,2.73,,6368.0,1187.4640700535383,,0.0
0,687.28,,1320.4681061588592,0.0,0.0,0.0,4.9,9760,,896.0,,,2,0,9915,7,1680689967.0,,,51,1.96,500.19,7264.0,1320.4681061588592,,0.0
0,666.09,,1308.5092413549778,0.0,0.0,0.0,3.76,11264,,1696.0,,,2,0,11466,8,1680689969.0,,,53,1.5,654.38,8064.0,1308.5092413549778,,0.0
0,648.85,,1024.7833525429733,0.0,0.0,0.0,3.79,12224,,2464.0,,,2,0,12500,9,1680689970.0,,,54,1.52,659.66,8800.0,1024.7833525429733,,0.0
