04_peers/peer_1_epoch,03_hivemind/num_clients,_step,_timestamp,03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_s,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples
,0,0,1680690444.0,0,,108.05,,141.12720259883613,46,,,,1120,1,,,,,,,,,,141.12720259883613,10.0,1135
0.0,0,1,1680690446.0,0,,55.85,141.13,262.7003341486062,48,,0.0,,1536,1,,,,1120.0,,,,,,262.7003341486062,10.0,1711
0.0,0,2,1680690447.0,0,,40.34,262.7,351.28592154797485,49,,0.0,,2176,1,,,,1536.0,,,,,,351.28592154797485,10.0,2212
0.0,0,3,1680690449.0,0,,37.46,351.29,365.06243759961615,51,,0.0,,2656,1,,,,2176.0,,,,,,365.06243759961615,9.36,2710
0.0,0,4,1680690450.0,0,,35.88,365.06,368.89311561463956,52,,0.0,,3104,1,,,,2656.0,,,,,,368.89311561463956,8.97,3147
0.0,0,5,1680690451.0,0,,33.78,368.89,377.87498520679014,53,,0.0,,3584,2,,,,3104.0,,,,,,377.87498520679014,10.0,3618
0.0,0,6,1680690452.0,0,,22.13,369.32,536.2400657456094,54,,0.0,0.0,4448,2,,,,3552.0,,0.0,,8.56,32.0,536.2400657456094,8.85,4519
0.0,0,7,1680690453.0,0,,16.56,369.05,663.1266401202324,55,,0.0,0.0,5312,2,,,,3968.0,,0.0,,167.19,480.0,663.1266401202324,6.62,5406
0.0,0,8,1680690455.0,0,,14.06,369.03,718.0556098870486,57,,0.0,0.0,6208,2,,,,4416.0,,0.0,,294.1,896.0,718.0556098870486,5.62,6292
0.0,0,9,1680690456.0,0,,12.57,368.71,733.3237296293454,58,,0.0,0.0,7072,2,,,,4864.0,,0.0,,349.34,1344.0,733.3237296293454,5.03,7168
0.0,0,10,1680690457.0,0,,11.33,368.1,736.3933456238128,59,,0.0,0.0,7936,2,,,,5280.0,,0.0,,365.22,1792.0,736.3933456238128,4.53,8042
0.0,0,11,1680690458.0,0,,10.11,367.59,737.5960696024168,60,,0.0,0.0,8800,2,,,,5728.0,,0.0,,368.8,2208.0,737.5960696024168,4.05,8924
