03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples,_step,03_hivemind/num_clients,04_peers/peer_2_epoch_oos
,,5435.75,,,2.9904595261290208,1680690679.0,,,128,1,,,,129,,0,,,2.9904595261290208,50,,10.0,,0,0,
,,776.62,,,20.474040832432518,1680690680.0,,128.0,480,1,,0.0,,483,0.0,0,,2.99,20.474040832432518,51,,10.0,,1,0,
,,270.19,,,57.65971229189207,1680690681.0,,480.0,800,1,,0.0,,805,0.0,0,,20.47,57.65971229189207,52,,10.0,,2,0,
,,135.99,,,112.36877276938185,1680690682.0,,800.0,1088,1,,0.0,,1103,0.0,0,,57.66,112.36877276938185,53,,10.0,,3,0,
,,87.33,,,171.50328373851468,1680690684.0,,1088.0,1376,1,,0.0,,1407,0.0,0,,112.37,171.50328373851468,55,,10.0,,4,0,
,,67.46,,,217.41378895410767,1680690685.0,,1376.0,1696,1,,0.0,,1718,0.0,0,,171.5,217.41378895410767,56,,10.0,,5,0,
,,60.32,,,238.11942484700924,1680690686.0,,1696.0,1984,1,,0.0,,2020,0.0,0,,217.41,238.11942484700924,57,,10.0,,6,0,
,,56.85,,,247.38332661407847,1680690687.0,,1984.0,2272,1,,0.0,,2321,0.0,0,,238.12,247.38332661407847,58,,10.0,,7,0,
,,54.78,,,251.22225464769977,1680690688.0,,2272.0,2592,1,,0.0,,2622,0.0,0,,247.38,251.22225464769977,59,,10.0,,8,0,
,,41.68,,,315.8184095773361,1680690690.0,,2592.0,3168,2,,0.0,,3220,0.0,0,,251.22,315.8184095773361,61,,10.0,,9,0,
,0.0,31.38,64.43,288.0,399.5190833422472,1680690691.0,,2880.0,3776,2,,0.0,,3845,0.0,0,,251.39,399.5190833422472,62,,10.0,,10,0,0.0
,0.0,26.29,147.13,608.0,453.9250390234614,1680690692.0,,3168.0,4384,2,,0.0,,4449,0.0,0,,252.39,453.9250390234614,63,,10.0,,11,0,0.0
,0.0,23.42,201.73,896.0,483.78449238440066,1680690693.0,,3488.0,4960,2,,0.0,,5054,0.0,0,,252.19,483.78449238440066,64,,9.37,,12,0,0.0
,0.0,21.54,231.08,1184.0,497.8980243028642,1680690694.0,,3776.0,5600,2,,0.0,,5657,0.0,0,,252.7,497.8980243028642,65,,8.62,,13,0,0.0
,0.0,20.13,245.16,1504.0,503.0218985150541,1680690696.0,,4096.0,6176,2,,0.0,,6259,0.0,0,,252.73,503.0218985150541,67,,8.05,,14,0,0.0
,0.0,18.81,250.66,1792.0,506.24544880960536,1680690697.0,,4384.0,6784,2,,0.0,,6863,0.0,0,,252.36,506.24544880960536,68,,7.52,,15,0,0.0
,0.0,17.62,253.66,2112.0,506.12271501853644,1680690698.0,,4672.0,7392,2,,0.0,,7464,0.0,0,,252.59,506.12271501853644,69,,7.05,,16,0,0.0
,0.0,16.4,254.33,2400.0,506.8647616576394,1680690699.0,,4992.0,8000,2,,0.0,,8071,0.0,0,,251.79,506.8647616576394,70,,6.56,,17,0,0.0
,0.0,15.2,254.78,2720.0,507.14916474740926,1680690700.0,,5280.0,8576,2,,0.0,,8675,0.0,0,,252.08,507.14916474740926,71,,6.08,,18,0,0.0
,0.0,14.02,254.92,3008.0,506.8273359663156,1680690701.0,,5568.0,9216,2,,0.0,,9279,0.0,0,,252.23,506.8273359663156,72,,5.61,,19,0,0.0
,0.0,12.85,254.76,3328.0,506.25985683479973,1680690703.0,,5888.0,9792,2,,0.0,,9880,0.0,0,,252.06,506.25985683479973,74,,5.14,,20,0,0.0
,0.0,11.66,254.88,3616.0,506.40771705030534,1680690704.0,,6176.0,10400,2,,0.0,,10481,0.0,0,,251.38,506.40771705030534,75,,4.66,,21,0,0.0
,0.0,10.49,254.68,3936.0,505.79260217330636,1680690705.0,,6464.0,11008,2,,0.0,,11080,0.0,0,,251.73,505.79260217330636,76,,4.19,,22,0,0.0
,0.0,9.29,254.53,4224.0,506.11875771126296,1680690706.0,,6784.0,11616,2,,0.0,,11683,0.0,0,,251.27,506.11875771126296,77,,3.72,,23,0,0.0
,0.0,8.1,254.3,4544.0,506.535522250304,1680690707.0,,7072.0,12224,2,,0.0,,12283,0.0,0,,251.82,506.535522250304,78,,3.24,,24,0,0.0
,0.0,6.91,254.38,4832.0,506.85014181373475,1680690709.0,,7392.0,12800,2,,0.0,,12884,0.0,0,,252.16,506.85014181373475,80,,2.76,,25,0,0.0
