02_timing/forward_time_s,02_timing/dataload_time_s,02_timing/opt_step_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,_runtime,01_general/lr,03_hivemind/global_epoch,memory/used_memory_sys_percent,02_timing/dataload_cuda_move_time_s,01_general/locally_processed_samples,process/memory/shared_memory_proc_MB,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,01_general/step,cpu/logical_core_count,memory/available_memory_sys_MB,cpu/interrupts/interrupts_count,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/step_time_s,03_hivemind/num_peers,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_one_min_percent,01_general/minibatch_loss,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,_step,_timestamp,02_timing/backward_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,cpu/interrupts/soft_interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,process/voluntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB
,,,,,,0,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,0,1680690879.0,,,211076.599808,,,,,
,,,0.0,0.0,395.40736,0,,,1.4,,,179.216384,0.0,0.2452373408564815,2.719744,,,208109.973504,18.0,0.0,0.0,0.2187251880787037,,,23.0,2.966666666666667,,,0.0,2481.045504,,45.0,0.0,4.666666666666666,4.433333333333334,1,1680690879.0,,1219.350528,,4.0,0.0,0.0,140.0,9963.413504
,,,0.0,108.0,1049.337856,1,,,1.7,,,345.636864,0.0,0.8937598941866337,2.719744,,,207395.28704,3273.0,0.057999999999992724,0.0,0.31569666611641395,,,2998.0,2.966666666666667,,,0.020000000000010232,3002.310656,,47.0,1.0170453736564664,4.666666666666666,4.433333333333334,2,1680690880.0,,1923.66592,,1062.0,0.0,0.0,168.0,11291.758592
,,,0.0,112.0,2102.247424,2,,,2.2,,,553.586688,0.0,0.02300681874904605,2.719744,,,206439.931904,173217.0,0.05999999999994543,0.0,0.019839791344636707,,,6638.0,2.966666666666667,,,0.03200000000001069,4138.057728,,54.0,0.13478613363479824,4.666666666666666,4.433333333333334,3,1680690881.0,,2788.31104,,2461.0,0.0,0.0,320.0,15335.44448
,,,0.0,113.0,2102.259712,3,,,2.2,,,553.586688,0.0,0.06024129279643286,2.719744,,,206436.352,173596.0,0.06099999999992178,0.0,0.06080787535060217,,,7214.0,2.966666666666667,,,0.036000000000001364,4138.061824,,54.0,0.00408577849802085,4.666666666666666,4.433333333333334,4,1680690882.0,,2788.548608,,2657.0,0.0,0.0,320.0,15335.44448
,,,0.0,114.0,2102.259712,4,,,2.2,,,553.586688,0.0,0.004973615927252186,2.719744,,,206436.098048,173873.0,0.06099999999992178,0.0,0.056338374957421285,,,7716.0,2.966666666666667,,,0.040000000000020464,4138.061824,,54.0,0.004087466063818763,4.666666666666666,4.433333333333334,5,1680690883.0,,2788.80256,,2784.0,0.0,0.0,320.0,15335.44448
,,,0.0,115.0,2102.390784,5,,,2.2,,,553.590784,0.0,0.008917460508697874,2.719744,,,206435.065856,174174.0,0.06099999999992178,0.0,0.0049337427143137744,,,8199.0,2.733333333333333,,,0.04400000000001114,4146.5856,,54.0,0.0040875020392799515,4.6,4.4,6,1680690884.0,,2789.834752,,2977.0,0.0,0.0,320.0,15410.946048
,,,0.0,154.0,2102.390784,6,,,2.2,,,553.590784,0.0,0.005292522334040598,2.719744,,,206435.069952,174540.0,0.08499999999992269,0.0,0.047457081920476575,,,8797.0,2.733333333333333,,,0.05200000000002092,4146.5856,,54.0,0.2493153209861432,4.6,4.4,7,1680690885.0,,2789.82656,,3157.0,0.0,0.0,320.0,15410.946048
,,,0.0,157.0,2102.390784,7,,,2.2,,,553.590784,0.0,0.00876463520121865,2.719744,,,206435.078144,174828.0,0.08699999999998909,0.0,0.003991181798631003,,,9266.0,2.733333333333333,,,0.06400000000002137,4146.5856,,54.0,0.10626122379886063,4.6,4.4,8,1680690886.0,,2789.814272,,3326.0,0.0,0.0,320.0,15410.946048
,,,0.0,158.0,2102.390784,8,,,2.2,,,553.590784,0.0,0.006023562073686322,2.719744,,,206435.078144,175142.0,0.08699999999998909,0.0,0.04584289751776771,,,9810.0,2.733333333333333,,,0.06800000000001205,4146.5856,,54.0,0.004084852682908537,4.6,4.4,9,1680690887.0,,2789.810176,,3475.0,0.0,0.0,320.0,15410.946048
