03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/num_clients,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples,_step,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,_runtime,_timestamp,04_peers/peer_2_epoch,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/epoch_based_sps,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos
,2497.7,0,,12.977585906163952,1,,10.0,,354,0,,,352,36,1680690929.0,,,,,12.977585906163952,,,0,,,
,292.77,0,12.98,108.58711755905247,1,,10.0,,977,1,,352.0,960,37,1680690930.0,,,,,108.58711755905247,,0.0,0,,,0.0
,91.79,0,108.59,339.5155465313068,1,,10.0,,1603,2,,960.0,1568,38,1680690931.0,,,,,339.5155465313068,,0.0,0,,,0.0
,65.56,0,339.52,465.99682357433863,1,,10.0,,2216,3,,1568.0,2176,40,1680690933.0,,,,,465.99682357433863,,0.0,0,,,0.0
,67.94,0,466.0,442.9383756082399,1,,10.0,,2674,4,,2176.0,2624,41,1680690934.0,,,,,442.9383756082399,,0.0,0,,,0.0
,58.98,0,442.94,476.92989581681655,1,,10.0,,4640,5,,2624.0,3136,45,1680690938.0,,,,,476.92989581681655,,0.0,0,,,0.0
,40.9,0,476.93,664.7163212830561,2,,10.0,,5583,6,,3136.0,5504,46,1680690939.0,,,,,664.7163212830561,,0.0,0,,,0.0
,28.74,0,445.18,904.6937639805813,2,0.0,10.0,448.0,6767,7,,5056.0,6656,47,1680690940.0,0.0,219.53,,,904.6937639805813,,0.0,0,,,0.0
,24.77,0,446.23,1000.6716845615981,2,0.0,9.91,1088.0,7979,8,,5568.0,7872,49,1680690942.0,0.0,458.46,,,1000.6716845615981,,0.0,0,,,0.0
,24.43,0,478.09,969.4444133292823,2,0.0,9.77,1696.0,9088,9,,6176.0,8928,50,1680690943.0,0.0,522.58,,,969.4444133292823,,0.0,0,,,0.0
,28.87,0,462.28,785.5699363552499,2,0.0,10.0,2272.0,10089,10,,6656.0,9984,51,1680690944.0,0.0,507.17,,,785.5699363552499,,0.0,0,,,0.0
,22.92,0,351.97,940.1367753739348,2,0.0,9.17,2816.0,11216,11,,7168.0,11072,52,1680690945.0,0.0,433.6,,,940.1367753739348,,0.0,0,,,0.0
,22.83,0,448.18,899.6753861807152,2,0.0,9.13,3392.0,12229,12,,7680.0,12128,54,1680690947.0,0.0,491.96,,,899.6753861807152,,0.0,0,,,0.0
,18.69,0,441.84,1030.8239124848744,2,0.0,7.48,3936.0,13500,13,,8192.0,13344,55,1680690948.0,0.0,457.84,,,1030.8239124848744,,0.0,0,,,0.0
,19.32,0,511.73,943.7576474282516,2,0.0,7.73,4576.0,14535,14,,8768.0,14432,56,1680690949.0,0.0,519.09,,,943.7576474282516,,0.0,0,,,0.0
,17.21,0,526.83,991.0616847339384,2,0.0,6.88,5024.0,15716,15,,9408.0,15552,57,1680690950.0,0.0,416.93,,,991.0616847339384,,0.0,0,,,0.0
,15.65,0,527.5,1014.9833216751827,2,0.0,6.26,5568.0,16885,16,,9984.0,16736,58,1680690951.0,0.0,463.56,,,1014.9833216751827,,0.0,0,,,0.0
,15.17,0,474.33,975.5379197058646,2,0.0,6.07,6208.0,17968,17,,10528.0,17856,59,1680690952.0,0.0,540.66,,,975.5379197058646,,0.0,0,,,0.0
,14.91,0,474.24,918.6862903680781,2,0.0,5.96,6784.0,19073,18,,11072.0,18976,61,1680690954.0,0.0,501.3,,,918.6862903680781,,0.0,0,,,0.0
,13.84,0,473.23,911.4250909221998,2,0.0,5.54,7296.0,20150,19,,11680.0,20000,62,1680690955.0,0.0,445.46,,,911.4250909221998,,0.0,0,,,0.0
,12.57,0,384.9,922.5847289424921,2,0.0,5.03,7872.0,21174,20,,12128.0,21024,63,1680690956.0,0.0,526.52,,,922.5847289424921,,0.0,0,,,0.0
,10.84,0,432.38,963.0292856524807,2,0.0,4.34,8384.0,22331,21,,12640.0,22144,64,1680690957.0,0.0,490.21,,,963.0292856524807,,0.0,0,,,0.0
,8.83,0,467.37,1042.2163708799537,2,0.0,3.53,8960.0,23564,22,,13184.0,23424,65,1680690958.0,0.0,495.66,,,1042.2163708799537,,0.0,0,,,0.0
,8.05,0,507.09,999.6842526180801,2,0.0,3.22,9600.0,24723,23,,13824.0,24608,67,1680690960.0,0.0,535.13,,,999.6842526180801,,0.0,0,,,0.0
,8.88,0,508.84,811.4174098699768,2,0.0,3.55,10176.0,25566,24,,14432.0,25440,68,1680690961.0,0.0,490.85,,,811.4174098699768,,0.0,0,,,0.0
,6.01,0,402.01,997.1590951648236,2,0.0,2.4,10592.0,26774,25,,14848.0,26656,69,1680690962.0,0.0,409.41,,,997.1590951648236,,0.0,0,,,0.0
,5.36,0,499.95,918.4772546895074,2,0.0,2.14,11168.0,27843,26,,15488.0,27744,70,1680690963.0,0.0,497.21,,,918.4772546895074,,0.0,0,,,0.0
,3.73,0,410.31,993.7439446664691,2,0.0,1.49,11776.0,29059,27,,15968.0,28576,71,1680690964.0,0.0,508.16,,,993.7439446664691,,0.0,0,,,0.0
,3.19,0,504.85,920.9734778795691,2,0.0,1.27,12320.0,29834,28,,16256.0,29632,73,1680690966.0,0.0,488.9,,,920.9734778795691,,0.0,0,,,0.0
,2.69,0,466.48,804.8663953992575,2,0.0,1.08,12800.0,30604,29,,16832.0,30496,74,1680690967.0,0.0,454.5,,,804.8663953992575,,0.0,0,,,0.0
,0.95,0,315.93,987.2739446807652,2,0.0,0.5,13408.0,31833,30,,17088.0,31648,75,1680690968.0,0.0,488.94,,,987.2739446807652,,0.0,0,,,0.0
