_step,03_hivemind/num_clients,03_hivemind/per_epoch_training_samples,04_peers/peer_2_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_1_epoch,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_2_epoch,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,_runtime,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples
0,0,,,895.71,,,,1,,608,,,35.90019339777598,,,35.90019339777598,1680691186.0,,0,10.0,36,,,,,612
1,0,,,146.24,,,608.0,1,,1248,,0.0,215.37934549869226,35.9,,215.37934549869226,1680691188.0,,0,10.0,38,,,0.0,,1271
2,0,,,86.53,,,1248.0,1,,1792,,0.0,357.4398461155481,215.38,,357.4398461155481,1680691189.0,,0,10.0,39,,,0.0,,1839
3,0,,,67.28,,,1792.0,1,,2304,,0.0,451.31517609168816,357.44,,451.31517609168816,1680691190.0,,0,10.0,40,,,0.0,,2402
4,0,,,74.88,,,2304.0,1,,2784,,0.0,399.91447268397343,451.32,,399.91447268397343,1680691191.0,,0,10.0,41,,,0.0,,2823
5,0,,,59.24,,,2784.0,1,,3360,,0.0,471.6194214250373,399.91,,471.6194214250373,1680691195.0,,0,10.0,45,,,0.0,,4830
6,0,,,38.3,,,3360.0,2,,5696,,0.0,704.6625466709684,471.62,,704.6625466709684,1680691196.0,,0,10.0,46,,,0.0,,5779
7,0,,266.67,27.16,,,5152.0,2,,6912,,0.0,948.1660095602472,437.99,544.0,948.1660095602472,1680691198.0,0.0,0,10.0,48,,,0.0,0.0,7013
8,0,,458.27,24.36,,,5760.0,2,,8096,,0.0,1007.0367755152924,489.9,1152.0,1007.0367755152924,1680691199.0,0.0,0,9.74,49,,,0.0,0.0,8241
9,0,,501.4,24.63,,,6336.0,2,,9184,,0.0,952.2586597242747,505.64,1760.0,952.2586597242747,1680691200.0,0.0,0,9.85,50,,,0.0,0.0,9317
10,0,,485.37,30.15,,,6880.0,2,,10016,,0.0,750.6454176724895,466.89,2304.0,750.6454176724895,1680691201.0,0.0,0,10.0,51,,,0.0,0.0,10134
11,0,,392.87,22.37,,,7232.0,2,,11232,,0.0,957.6580541658166,357.77,2784.0,957.6580541658166,1680691203.0,0.0,0,8.95,53,,,0.0,0.0,11341
12,0,,467.94,22.34,,,7840.0,2,,12256,,0.0,913.7085187079242,489.72,3392.0,913.7085187079242,1680691204.0,0.0,0,8.94,54,,,0.0,0.0,12352
13,0,,456.53,19.6,,,8352.0,2,,13440,,0.0,980.0939851652854,457.18,3904.0,980.0939851652854,1680691205.0,0.0,0,7.84,55,,,0.0,0.0,13555
14,0,,512.98,20.23,,,8928.0,2,,14496,,0.0,898.790611181703,467.12,4512.0,898.790611181703,1680691206.0,0.0,0,8.09,56,,,0.0,0.0,14589
15,0,,419.23,18.13,,,9504.0,2,,15584,,0.0,940.1060070524818,479.56,4992.0,940.1060070524818,1680691207.0,0.0,0,7.25,57,,,0.0,0.0,15722
16,0,,441.17,20.54,,,10048.0,2,,16512,,0.0,786.5558173230995,498.93,5536.0,786.5558173230995,1680691208.0,0.0,0,8.21,58,,,0.0,0.0,16616
17,0,,484.72,16.85,,,10432.0,2,,17536,,0.0,892.1809014226285,301.83,6080.0,892.1809014226285,1680691210.0,0.0,0,6.74,60,,,0.0,0.0,17732
18,0,,488.47,15.19,,,10880.0,2,,18656,,0.0,921.9382956953846,403.71,6656.0,921.9382956953846,1680691211.0,0.0,0,6.07,61,,,0.0,0.0,18767
19,0,,488.23,14.21,,,11424.0,2,,19680,,0.0,912.2567925013116,433.71,7232.0,912.2567925013116,1680691212.0,0.0,0,5.68,62,,,0.0,0.0,19808
20,0,,482.79,15.31,,,11936.0,2,,20544,,0.0,790.8114646448391,429.47,7744.0,790.8114646448391,1680691213.0,0.0,0,6.12,63,,,0.0,0.0,20660
21,0,,426.48,11.67,,,12320.0,2,,21632,,0.0,938.425847212405,364.33,8224.0,938.425847212405,1680691214.0,0.0,0,4.67,64,,,0.0,0.0,21821
22,0,,488.73,10.34,,,12864.0,2,,22752,,0.0,956.0802937325916,449.7,8768.0,956.0802937325916,1680691216.0,0.0,0,4.14,66,,,0.0,0.0,22880
23,0,,448.62,10.44,,,13472.0,2,,23744,,0.0,854.80524612663,507.46,9280.0,854.80524612663,1680691217.0,0.0,0,4.18,67,,,0.0,0.0,23842
