03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,_step,03_hivemind/epoch_s,03_hivemind/global_samples_accumulated,_timestamp,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second
0,,10648.37,10.0,,,,,,129,3.065196967641453,38,0,,3.065196967641453,,0,,128,1680691452.0,,,,1,,,
0,,1752.36,10.0,0.0,3.07,,,,450,18.442814578405095,39,0,,18.442814578405095,,1,,448,1680691453.0,,128.0,0.0,1,,,
0,,723.54,10.0,0.0,18.44,,,,713,44.302628376777,40,0,,44.302628376777,,2,,704,1680691454.0,,448.0,0.0,1,,,
0,,341.37,10.0,0.0,44.3,,,,1287,92.22027800846283,44,0,,92.22027800846283,,3,,992,1680691458.0,,704.0,0.0,1,,,
0,,134.68,10.0,0.0,92.22,,,,2038,228.17771950769122,46,0,,228.17771950769122,,4,,2016,1680691460.0,,992.0,0.0,1,,,
0,,111.2,10.0,0.0,228.18,,,,2457,272.5775942585036,47,0,,272.5775942585036,,5,,2400,1680691461.0,,2016.0,0.0,2,,,
0,,82.92,10.0,0.0,235.03,0.0,0.0,,3040,358.50895737194173,48,0,128.0,358.50895737194173,,6,,2976,1680691462.0,,2272.0,0.0,2,,,37.54
0,,69.33,10.0,0.0,237.92,0.0,0.0,,3614,420.52712543212175,49,0,416.0,420.52712543212175,,7,,3552,1680691463.0,,2560.0,0.0,2,,,120.59
0,,62.44,10.0,0.0,239.13,0.0,0.0,,4264,456.4680131904056,50,0,704.0,456.4680131904056,,8,,4192,1680691464.0,,2848.0,0.0,2,,,181.4
0,,59.76,10.0,0.0,240.43,0.0,0.0,,4830,467.51738189681555,52,0,1024.0,467.51738189681555,,9,,4736,1680691466.0,,3168.0,0.0,2,,,216.04
0,,57.87,10.0,0.0,239.12,0.0,0.0,,5399,472.89754565556865,53,0,1280.0,472.89754565556865,,10,,5312,1680691467.0,,3456.0,0.0,2,,,228.39
0,,56.6,10.0,0.0,238.1,0.0,0.0,,5961,473.6155547689221,54,0,1568.0,473.6155547689221,,11,,5888,1680691468.0,,3744.0,0.0,2,,,234.8
0,,55.19,10.0,0.0,238.04,0.0,0.0,,6529,475.4430392599713,55,0,1856.0,475.4430392599713,,12,,6464,1680691469.0,,4032.0,0.0,2,,,235.57
0,,54.69,10.0,0.0,238.1,0.0,0.0,,7084,469.60912703236494,56,0,2144.0,469.60912703236494,,13,,7008,1680691470.0,,4320.0,0.0,2,,,237.34
0,,56.35,10.0,0.0,237.37,0.0,0.0,,7597,446.6868079058137,58,0,2400.0,446.6868079058137,,14,,7520,1680691472.0,,4608.0,0.0,2,,,232.24
0,,53.06,10.0,0.0,209.91,0.0,0.0,,8165,463.708163024123,59,0,2688.0,463.708163024123,,15,,8096,1680691473.0,,4832.0,0.0,2,,,236.78
