_runtime,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,_timestamp,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/optimistic_total_samples_per_second,03_hivemind/reached_TBS,03_hivemind/global_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/per_epoch_training_samples,_step,04_peers/peer_2_epoch,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/num_clients,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated
38,,,1680691787.0,1,,0.6567477693004902,,32,,,,,0,,32,0.6567477693004902,0,0,,10.0,,,,,49845.5,
40,,,1680691789.0,1,,8.990325245383334,,288,0.0,,0.66,,1,,289,8.990325245383334,0,0,0.0,10.0,,,,,3612.62,32.0
41,,,1680691790.0,1,,26.09546455927669,,544,0.0,,8.99,,2,,548,26.09546455927669,0,0,0.0,10.0,,,,,1234.69,288.0
45,,,1680691794.0,1,,56.77183698054322,,800,0.0,,26.1,,3,,980,56.77183698054322,0,0,0.0,10.0,,,,,559.92,544.0
46,,,1680691795.0,1,,193.98334321123656,,1728,0.0,,56.77,,4,,1749,193.98334321123656,0,0,0.0,10.0,,,,,159.91,800.0
47,,,1680691796.0,1,,206.94008860428391,,1984,0.0,,193.98,,5,,2008,206.94008860428391,0,0,0.0,10.0,,,,,148.64,1728.0
49,,,1680691798.0,2,,267.73915605482665,,2432,0.0,,206.94,,6,,2464,267.73915605482665,0,0,0.0,10.0,,,,,113.19,1984.0
50,0.0,54.8,1680691799.0,2,,335.732770656326,,2944,0.0,,212.94,,7,0.0,2980,335.732770656326,0,0,0.0,10.0,,192.0,,,88.73,2240.0
51,0.0,123.03,1680691800.0,2,,389.87589070652143,,3520,0.0,,212.71,,8,0.0,3574,389.87589070652143,0,0,0.0,10.0,,448.0,,,74.88,2496.0
52,0.0,175.39,1680691801.0,2,,416.5411971518309,,4032,0.0,,214.49,,9,0.0,4100,416.5411971518309,0,0,0.0,10.0,,736.0,,,68.82,2784.0
