04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_2_epoch,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_1_epoch,03_hivemind/per_epoch_training_samples,_timestamp,_runtime,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/optimistic_total_samples_per_second,_step,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/undershot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second
,,64,1.3501900358530703,,,64,0,,,,,,1680692179.0,39,,1,1.3501900358530703,0,,,24221.53,,0,,10.0,
,,192,4.882456885723066,,,192,0,,,,0.0,,1680692180.0,40,,1,4.882456885723066,1,,0.0,6671.96,64.0,0,,10.0,1.35
,,315,8.411058455802298,,,288,0,,,,0.0,,1680692184.0,44,,1,8.411058455802298,2,,0.0,3858.33,192.0,0,,10.0,4.88
,,684,31.608825799627038,,,672,0,,,,0.0,,1680692186.0,46,,1,31.608825799627038,3,,0.0,1015.04,288.0,0,,10.0,8.41
,,808,41.92818132509132,,,800,0,,,,0.0,,1680692187.0,47,,1,41.92818132509132,4,,0.0,762.25,672.0,0,,10.0,31.61
,,938,52.416042557008126,,,928,0,,,,0.0,,1680692188.0,48,,1,52.416042557008126,5,,0.0,607.26,800.0,0,,10.0,41.93
,,1179,86.53195394405122,,,1152,0,,,,0.0,,1680692189.0,49,,2,86.53195394405122,6,,0.0,365.05,928.0,0,,10.0,52.42
26.68,128.0,1443,115.81038123060313,0.0,,1408,0,,0.0,,0.0,,1680692191.0,51,,2,115.81038123060313,7,,0.0,270.49,1024.0,0,,10.0,59.85
47.18,256.0,1669,134.62721832244088,0.0,,1632,0,,0.0,,0.0,,1680692192.0,52,,2,134.62721832244088,8,,0.0,231.0,1152.0,0,,10.0,68.63
58.85,352.0,1902,150.58560220361153,0.0,,1856,0,,0.0,,0.0,,1680692193.0,53,,2,150.58560220361153,9,,0.0,204.97,1280.0,0,,10.0,75.77
70.55,480.0,2135,163.1034959826651,0.0,,2112,0,,0.0,,0.0,,1680692194.0,54,,2,163.1034959826651,10,,0.0,187.81,1376.0,0,,10.0,80.04
