03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/undershot_TBS,_step,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch,03_hivemind/global_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/eta_next_epoch_s,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second
,10.0,,0,,0,,28.978756009043423,1680692857.0,,,,,,544,547,,40,1111.87,28.978756009043423,,1,,,0,,
,10.0,544.0,0,,1,,291.5658266971533,1680692858.0,,,,,0.0,1344,1383,,41,107.64,291.5658266971533,0.0,1,,,0,,28.98
,10.0,1344.0,0,,2,,640.4367461895472,1680692862.0,,,,,0.0,2176,4158,,45,44.67,640.4367461895472,0.0,1,,,0,,291.57
,10.0,2176.0,0,,3,,677.6999877459867,1680692863.0,,,,,0.0,4960,5037,,46,40.92,677.6999877459867,0.0,1,,,0,,640.44
,9.8,4960.0,0,,4,,686.9490082744228,1680692864.0,,,,,0.0,5760,5840,,47,39.2,686.9490082744228,0.0,1,,,0,,677.7
,10.0,5760.0,0,,5,,645.4402900181263,1680692866.0,,,,,0.0,6592,6666,,49,40.44,645.4402900181263,0.0,1,,,0,,686.95
,10.0,6592.0,0,,6,,976.5266195280684,1680692867.0,,,,,0.0,7904,8011,,50,25.35,976.5266195280684,0.0,2,,,0,,645.44
,6.87,7424.0,0,,7,480.0,1331.4109708865917,1680692868.0,0.0,0.0,,269.12,0.0,9760,9910,,51,17.17,1331.4109708865917,0.0,2,,,0,,707.41
,6.25,8352.0,0,,8,1408.0,1359.5753388561247,1680692869.0,0.0,0.0,,647.36,0.0,11040,11534,,52,15.62,1359.5753388561247,0.0,2,,,0,,684.06
,8.81,8800.0,0,,9,2240.0,934.5856301295742,1680692871.0,0.0,0.0,,680.01,0.0,12064,12184,,54,22.03,934.5856301295742,0.0,2,,,0,,679.57
,6.2,9024.0,0,,10,3040.0,1229.7686991394576,1680692872.0,0.0,0.0,,697.31,0.0,13568,13692,,55,15.51,1229.7686991394576,0.0,2,,,0,,237.28
,5.26,9728.0,0,,11,3840.0,1329.6992010431204,1680692873.0,0.0,0.0,,673.51,0.0,15136,15291,,56,13.14,1329.6992010431204,0.0,2,,,0,,556.26
,4.67,10496.0,0,,12,4640.0,1358.8010109593797,1680692874.0,0.0,0.0,,679.7,0.0,16736,16888,,57,11.69,1358.8010109593797,0.0,2,,,0,,650.0
,4.3,11296.0,0,,13,5440.0,1328.4076729410954,1680692875.0,0.0,0.0,,694.34,0.0,18336,18473,,58,10.76,1328.4076729410954,0.0,2,,,0,,664.46
,3.89,12096.0,0,,14,6240.0,1311.1203808812243,1680692876.0,0.0,0.0,,656.08,0.0,19904,20034,,59,9.71,1311.1203808812243,0.0,2,,,0,,672.33
,3.41,12864.0,0,,15,7040.0,1307.3340034347266,1680692878.0,0.0,0.0,,672.27,0.0,21472,21615,,61,8.53,1307.3340034347266,0.0,2,,,0,,638.85
,2.87,13632.0,0,,16,7840.0,1332.0842349842242,1680692879.0,0.0,0.0,,651.1,0.0,23072,23207,,62,7.18,1332.0842349842242,0.0,2,,,0,,656.23
,3.13,14432.0,0,,17,8640.0,1072.3558649492247,1680692880.0,0.0,0.0,,679.08,0.0,24160,24382,,63,7.82,1072.3558649492247,0.0,2,,,0,,653.01
,2.28,15200.0,0,,18,8960.0,1236.205354140683,1680692881.0,0.0,0.0,,398.28,0.0,25600,25721,,64,5.7,1236.205354140683,0.0,2,,,0,,674.08
