03_hivemind/num_clients,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,04_peers/peer_3_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_step,_runtime,04_peers/peer_2_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_3_epoch,04_peers/peer_3_epoch_oos,03_hivemind/per_epoch_training_samples
0,1680694249.0,,,,10.0,,,,1,,,,,,640,,,,40.3585598379401,40.3585598379401,795.95,645,0,37,,0,,,,
0,1680694250.0,,40.36,,10.0,640.0,,,1,,0.0,,,,1280,0.0,,,228.1291576258882,228.1291576258882,137.92,1305,1,38,,0,,,,
0,1680694251.0,,228.13,,10.0,1280.0,,,1,,0.0,,,,1888,0.0,,,445.5443470525214,445.5443470525214,69.21,1934,2,39,,0,,,,
0,1680694253.0,,445.54,,10.0,1888.0,,,1,,0.0,,,,2304,0.0,,,475.2489468950076,475.2489468950076,63.68,2505,3,41,,0,,,,
0,1680694257.0,,475.25,,10.0,2304.0,,,1,,0.0,,,,2848,0.0,,,409.3254282594746,409.3254282594746,69.98,4123,4,45,,0,,,,
0,1680694258.0,,409.33,,10.0,2848.0,,,3,,0.0,,,,4928,0.0,,,530.0148455923719,530.0148455923719,52.42,4983,5,46,,0,,,,
0,1680694259.0,,445.45,,10.0,4704.0,49.21,,3,,0.0,,0.0,96.0,6720,0.0,35.36,128.0,1176.283237863923,1176.283237863923,22.02,6864,6,47,0.0,0,,0.0,0.0,
0,1680694260.0,,443.07,,8.8,5216.0,378.66,,3,,0.0,,0.0,736.0,8384,0.0,354.55,768.0,1376.2733219913011,1376.2733219913011,17.59,8554,7,48,0.0,0,,0.0,0.0,
0,1680694262.0,,417.46,,7.5,5664.0,491.06,,3,,0.0,,0.0,1312.0,10176,0.0,467.75,1408.0,1493.6300030899151,1493.6300030899151,15.0,10368,8,50,0.0,0,,0.0,0.0,
0,1680694263.0,,508.41,,8.32,6272.0,503.29,,3,,0.0,,0.0,1888.0,11840,0.0,481.93,2016.0,1249.0080666192732,1249.0080666192732,16.65,11976,9,51,0.0,0,,0.0,0.0,
0,1680694264.0,,460.73,,7.52,6880.0,407.46,,3,,0.0,,0.0,2432.0,13344,0.0,380.82,2528.0,1278.2267970212672,1278.2267970212672,15.05,13537,10,52,0.0,0,,0.0,0.0,
0,1680694265.0,,400.59,,6.21,7360.0,434.39,,3,,0.0,,0.0,2944.0,15104,0.0,443.25,3040.0,1404.9232486451033,1404.9232486451033,12.43,15312,11,53,0.0,0,,0.0,0.0,
0,1680694267.0,,487.92,,5.52,7936.0,441.31,,3,,0.0,,0.0,3552.0,16736,0.0,475.69,3616.0,1437.099245022997,1437.099245022997,11.04,16898,12,55,0.0,0,,0.0,0.0,
0,1680694268.0,,475.83,,4.92,8448.0,482.67,,3,,0.0,,0.0,4096.0,18400,0.0,478.6,4192.0,1432.0422138661827,1432.0422138661827,9.85,18664,13,56,0.0,0,,0.0,0.0,
0,1680694269.0,,459.38,,4.7,8992.0,503.81,,3,,0.0,,0.0,4672.0,19968,0.0,468.85,4736.0,1344.3271988222655,1344.3271988222655,9.4,20127,14,57,0.0,0,,0.0,0.0,
0,1680694270.0,,495.17,,4.17,9600.0,445.51,,3,,0.0,,0.0,5120.0,21504,0.0,403.64,5248.0,1327.4868705425556,1327.4868705425556,8.35,21687,15,58,0.0,0,,0.0,0.0,
0,1680694271.0,,444.17,,3.34,10144.0,496.02,,3,,0.0,,0.0,5536.0,23200,0.0,387.3,5824.0,1402.5589293179532,1402.5589293179532,6.67,23410,16,59,0.0,0,,0.0,0.0,
0,1680694273.0,,449.95,,2.76,10656.0,474.5,,3,,0.0,,0.0,6144.0,24800,0.0,478.1,6400.0,1404.3412322949791,1404.3412322949791,5.53,25007,17,61,0.0,0,,0.0,0.0,
0,1680694274.0,,474.31,,2.27,11232.0,477.33,,3,,0.0,,0.0,6656.0,26432,0.0,452.7,6912.0,1359.7905513367728,1359.7905513367728,4.55,26585,18,62,0.0,0,,0.0,0.0,
0,1680694275.0,,459.88,,1.64,11776.0,438.53,,3,,0.0,,0.0,7200.0,28000,0.0,461.38,7456.0,1394.6172328341777,1394.6172328341777,3.29,28181,19,63,0.0,0,,0.0,0.0,
0,1680694276.0,,475.77,,1.23,12352.0,450.26,,3,,0.0,,0.0,7712.0,29440,0.0,468.59,7936.0,1289.5365178724633,1289.5365178724633,2.47,29587,20,64,0.0,0,,0.0,0.0,
0,1680694277.0,,479.43,,0.5,12896.0,449.03,,3,,0.0,,0.0,8128.0,31008,0.0,361.08,8416.0,1440.4995978163365,1440.4995978163365,0.97,31372,21,65,0.0,0,,0.0,0.0,
0,1680694278.0,,508.57,,0.5,13344.0,466.24,,3,,0.0,,0.0,8704.0,32704,0.0,465.68,8960.0,1315.0398538574782,1315.0398538574782,0.0,32858,22,66,0.0,0,,0.0,0.0,
0,1680694280.0,,452.98,,0.5,13952.0,391.77,,3,,0.0,,0.0,9280.0,32704,0.0,470.28,9472.0,1315.0398538574782,1315.0398538574782,0.0,34431,23,68,0.0,0,,0.0,0.0,
0,1680694281.0,,452.98,,0.5,13952.0,391.77,,3,,0.0,,0.0,9280.0,32704,0.0,470.28,9472.0,1315.0398538574782,1315.0398538574782,0.0,36004,24,69,0.0,0,,0.0,0.0,
0,1680694282.0,,452.98,,0.5,13952.0,391.77,,3,,0.0,,0.0,9280.0,32704,0.0,470.28,9472.0,1315.0398538574782,1315.0398538574782,0.0,37581,25,70,0.0,0,,0.0,0.0,
0,1680694283.0,,452.98,,0.5,13952.0,391.77,,3,,0.0,,0.0,9280.0,32704,0.0,470.28,9472.0,1315.0398538574782,1315.0398538574782,0.0,39160,26,71,0.0,0,,0.0,0.0,
0,1680694284.0,,452.98,,0.5,13952.0,391.77,,3,,0.0,,0.0,9280.0,32704,0.0,470.28,9472.0,1315.0398538574782,1315.0398538574782,0.0,40730,27,72,0.0,0,,0.0,0.0,
0,1680694286.0,,452.98,,0.5,13952.0,391.77,,3,,0.0,,0.0,9280.0,32704,0.0,470.28,9472.0,1315.0398538574782,1315.0398538574782,0.0,42307,28,74,0.0,0,,0.0,0.0,
0,1680694287.0,,452.98,,0.5,13952.0,391.77,,3,,0.0,,0.0,9280.0,32704,0.0,470.28,9472.0,1315.0398538574782,1315.0398538574782,0.0,43879,29,75,0.0,0,,0.0,0.0,
0,1680694288.0,,452.98,,10.0,13952.0,391.77,,3,,0.0,,0.0,9280.0,1088,0.0,470.28,9472.0,1282.0096141703043,1282.0096141703043,24.57,1272,30,76,0.0,1,,0.0,0.0,
0,1680694289.0,0.0,441.29,839.2116640969042,10.0,352.0,424.86,38.9699064004235,3,0.0,0.0,32704.0,0.0,352.0,2720,1.0,415.87,384.0,1330.0525032182334,1330.0525032182334,22.46,2899,31,77,1.0,1,1.0,1.0,0.0,32704.0
0,1680694290.0,,473.81,,10.0,928.0,430.1,,3,,0.0,,0.0,864.0,4320,1.0,426.14,928.0,1381.4007558341216,1381.4007558341216,20.42,4555,32,78,1.0,1,,1.0,0.0,
0,1680694292.0,,495.65,,9.81,1504.0,440.99,,3,,0.0,,0.0,1376.0,5984,1.0,444.76,1440.0,1356.736057980567,1356.736057980567,19.62,6155,33,80,1.0,1,,1.0,0.0,
0,1680694293.0,,421.43,,9.67,2016.0,457.37,,3,,0.0,,0.0,1952.0,7424,1.0,477.95,2016.0,1299.075859105474,1299.075859105474,19.35,7633,34,81,1.0,1,,1.0,0.0,
0,1680694294.0,,421.98,,8.32,2528.0,441.44,,3,,0.0,,0.0,2368.0,8896,1.0,435.66,2528.0,1407.1703570043453,1407.1703570043453,16.64,9355,35,82,1.0,1,,1.0,0.0,
0,1680694295.0,,495.22,,8.15,2880.0,431.67,,3,,0.0,,0.0,2944.0,10528,1.0,480.28,3072.0,1353.2247565537214,1353.2247565537214,16.3,10704,36,83,1.0,1,,1.0,0.0,
