04_peers/peer_1_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/undershot_TBS,03_hivemind/optimistic_total_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,_step,_runtime,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_3_samples_per_second,_timestamp,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos
,0,,,9.05825505497336,3585.51,288,0,36,,1,0,,,10.0,,,290,,,,,,,9.05825505497336,,1680694451.0,,,,
0.0,0,0.0,,29.525605949506954,1090.16,576,1,37,,1,0,,,10.0,,288.0,580,,,,9.06,,,29.525605949506954,,1680694452.0,,,,
0.0,0,0.0,,68.56083480109625,465.22,864,2,38,,1,0,,,10.0,,576.0,872,,,,29.53,,,68.56083480109625,,1680694453.0,,,,
0.0,0,0.0,,123.52165303350219,255.85,1152,3,39,,1,0,,,10.0,,864.0,1166,,,,68.56,,,123.52165303350219,,1680694454.0,,,,
0.0,0,0.0,,170.10755899894843,184.15,1408,4,40,,1,0,,,10.0,,1152.0,1443,,,,123.52,,,170.10755899894843,,1680694455.0,,,,
0.0,0,0.0,,206.03151227556907,147.64,1696,5,45,,1,0,,,10.0,,1408.0,2350,,,,170.11,,,206.03151227556907,,1680694460.0,,,,
0.0,0,0.0,,266.6917718760824,112.26,2784,6,46,,2,0,,,10.0,,1696.0,2828,,,,206.03,,,266.6917718760824,,1680694461.0,,,,
0.0,0,0.0,,440.72795013215443,65.92,3648,7,47,,3,0,,,10.0,29.56,2688.0,3714,0.0,,,237.13,,,440.72795013215443,,1680694462.0,,96.0,,0.0
0.0,0,0.0,,578.0907762699065,48.75,4512,8,48,,3,0,,0.0,10.0,117.39,2976.0,4586,0.0,0.0,,238.88,288.0,,578.0907762699065,84.46,1680694463.0,,384.0,,0.0
0.0,0,0.0,,654.6378502939505,41.73,5344,9,49,,3,0,,0.0,10.0,180.88,3264.0,5450,0.0,0.0,,238.79,576.0,,654.6378502939505,158.43,1680694464.0,,672.0,,0.0
0.0,0,0.0,,694.6602485911345,37.91,6336,10,51,,3,0,,0.0,10.0,211.64,3552.0,6434,0.0,0.0,,239.47,864.0,,694.6602485911345,203.52,1680694466.0,,928.0,,0.0
0.0,0,0.0,,706.6999836306978,36.06,7168,11,52,,3,0,,0.0,10.0,229.54,3872.0,7288,0.0,0.0,,239.25,1184.0,,706.6999836306978,225.87,1680694467.0,,1280.0,,0.0
0.0,0,0.0,,712.1502313392897,34.58,8032,12,53,,3,0,,0.0,10.0,234.75,4160.0,8138,0.0,0.0,,238.35,1472.0,,712.1502313392897,233.6,1680694468.0,,1536.0,,0.0
0.0,0,0.0,,714.1427205866671,33.29,8896,13,54,,3,0,,0.0,10.0,237.4,4448.0,8994,0.0,0.0,,237.92,1760.0,,714.1427205866671,236.83,1680694469.0,,1824.0,,0.0
0.0,0,0.0,,687.6959274224794,33.43,9664,14,55,,3,0,,0.0,10.0,238.08,4736.0,9775,0.0,0.0,,238.52,2048.0,,687.6959274224794,237.55,1680694470.0,,2112.0,,0.0
0.0,0,0.0,,689.6140489752586,32.17,10464,15,57,,3,0,,0.0,10.0,232.08,4960.0,10586,0.0,0.0,,216.63,2304.0,,689.6140489752586,238.99,1680694472.0,,2400.0,,0.0
0.0,0,0.0,,703.9574664122274,30.29,11328,16,58,,3,0,,0.0,10.0,235.26,5216.0,11444,0.0,0.0,,228.95,2560.0,,703.9574664122274,225.4,1680694473.0,,2688.0,,0.0
0.0,0,0.0,,711.7926182851604,28.76,12160,17,59,,3,0,,0.0,10.0,236.78,5504.0,12298,0.0,0.0,,234.15,2848.0,,711.7926182851604,233.02,1680694474.0,,2976.0,,0.0
0.0,0,0.0,,713.7379654410543,27.48,13024,18,60,,3,0,,0.0,10.0,236.97,5792.0,13151,0.0,0.0,,237.41,3136.0,,713.7379654410543,237.41,1680694475.0,,3232.0,,0.0
0.0,0,0.0,,715.2311240124593,26.22,13888,19,61,,3,0,,0.0,10.0,236.57,6080.0,14014,0.0,0.0,,238.73,3424.0,,715.2311240124593,238.43,1680694476.0,,3520.0,,0.0
0.0,0,0.0,,714.9323306146408,25.04,14752,20,63,,3,0,,0.0,10.0,237.54,6368.0,14868,0.0,0.0,,238.69,3712.0,,714.9323306146408,239.0,1680694478.0,,3808.0,,0.0
0.0,0,0.0,,716.2272042593077,23.8,15616,21,64,,3,0,,0.0,10.0,237.41,6656.0,15724,0.0,0.0,,239.01,4000.0,,716.2272042593077,238.52,1680694479.0,,4096.0,,0.0
0.0,0,0.0,,715.9834978272611,22.61,16480,22,65,,3,0,,0.0,10.0,237.59,6944.0,16582,0.0,0.0,,239.39,4288.0,,715.9834978272611,239.25,1680694480.0,,4384.0,,0.0
0.0,0,0.0,,715.7923610625688,21.42,17344,23,66,,3,0,,0.0,10.0,237.9,7232.0,17435,0.0,0.0,,238.98,4576.0,,715.7923610625688,239.11,1680694481.0,,4672.0,,0.0
0.0,0,0.0,,715.2147264106954,20.24,18208,24,67,,3,0,,0.0,10.0,237.69,7520.0,18294,0.0,0.0,,238.78,4864.0,,715.2147264106954,239.33,1680694482.0,,4960.0,,0.0
