04_peers/peer_3_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_samples_per_second,03_hivemind/num_peers,04_peers/peer_1_samples_per_second,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,_step,03_hivemind/overshot_TBS,03_hivemind/reached_TBS,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_3_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,_timestamp,04_peers/peer_3_epoch,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_accumulated,_runtime,04_peers/peer_2_epoch
,32,,,0,,1,,,,,0,,,0.6562331910456497,,,,32,0.6562331910456497,,,49884.57,,1680694723.0,,0,10.0,,38,
,288,,,0,,1,0.66,,,,1,,,8.983672280932005,,,,289,8.983672280932005,0.0,0.0,3615.29,32.0,1680694725.0,,0,10.0,,40,
,544,,,0,,1,8.98,,,,2,,,26.0789923245189,,,,549,26.0789923245189,0.0,0.0,1235.45,288.0,1680694726.0,,0,10.0,,41,
,800,,,0,,1,26.08,,,,3,,,56.53506699180455,,,,979,56.53506699180455,0.0,0.0,562.29,544.0,1680694730.0,,0,10.0,,45,
,1728,,,0,,1,56.54,,,,4,,,194.15952630987695,,,,1748,194.15952630987695,0.0,0.0,159.77,800.0,1680694731.0,,0,10.0,,46,
,1984,,,0,,1,194.16,,,,5,,,207.25457359362593,,,,2007,207.25457359362593,0.0,0.0,148.42,1728.0,1680694732.0,,0,10.0,,47,
,2464,,,0,,3,207.25,,,,6,,,275.7692869463163,,,,2503,275.7692869463163,0.0,0.0,109.75,1984.0,1680694734.0,,0,10.0,,49,
0.0,3264,,,0,36.08,3,213.36,,,26.33,7,,,428.72527526489904,0.0,,96.0,3328,428.72527526489904,0.0,0.0,68.67,2240.0,1680694735.0,0.0,0,10.0,128.0,50,0.0
0.0,4160,,,0,107.34,3,215.91,,,105.47,8,,,550.2078469901273,0.0,,384.0,4245,550.2078469901273,0.0,0.0,51.84,2496.0,1680694736.0,0.0,0,10.0,384.0,51,0.0
0.0,4928,,,0,170.44,3,216.48,,,163.3,9,,,605.6962167736705,0.0,,672.0,5034,605.6962167736705,0.0,0.0,45.79,2784.0,1680694737.0,0.0,0,10.0,704.0,52,0.0
0.0,5696,,,0,196.79,3,217.05,,,191.85,10,,,632.6552689578725,0.0,,928.0,5822,632.6552689578725,0.0,0.0,42.59,3040.0,1680694739.0,0.0,0,10.0,960.0,54,0.0
0.0,6464,,,0,209.49,3,217.29,,,205.88,11,,,644.7017877733076,0.0,,1184.0,6611,644.7017877733076,0.0,0.0,40.57,3296.0,1680694740.0,0.0,0,10.0,1216.0,55,0.0
0.0,7296,,,0,215.24,3,217.36,,,212.1,12,,,650.6454988071343,0.0,,1440.0,7393,650.6454988071343,0.0,0.0,39.0,3552.0,1680694741.0,0.0,0,10.0,1472.0,56,0.0
0.0,8064,,,0,218.77,3,217.19,,,214.69,13,,,650.6186684220837,0.0,,1696.0,8174,650.6186684220837,0.0,0.0,37.8,3840.0,1680694742.0,0.0,0,10.0,1760.0,57,0.0
0.0,8864,,,0,219.88,3,214.03,,,216.71,14,,,653.592501071713,0.0,,1952.0,8961,653.592501071713,0.0,0.0,36.42,4096.0,1680694743.0,0.0,0,10.0,2016.0,58,0.0
0.0,9632,,,0,220.24,3,215.61,,,217.74,15,,,652.7458571100249,0.0,,2240.0,9740,652.7458571100249,0.0,0.0,35.28,4352.0,1680694745.0,0.0,0,10.0,2272.0,60,0.0
0.0,10432,,,0,218.47,3,216.19,,,218.09,16,,,653.9239710539741,0.0,,2496.0,10529,653.9239710539741,0.0,0.0,34.01,4608.0,1680694746.0,0.0,0,10.0,2528.0,61,0.0
0.0,11200,,,0,219.54,3,216.35,,,218.03,17,,,654.2501445383319,0.0,,2752.0,11311,654.2501445383319,0.0,0.0,32.8,4864.0,1680694747.0,0.0,0,10.0,2816.0,62,0.0
0.0,11968,,,0,219.81,3,216.37,,,218.07,18,,,654.0487681027303,0.0,,3008.0,12092,654.0487681027303,0.0,0.0,31.61,5120.0,1680694748.0,0.0,0,10.0,3072.0,63,0.0
0.0,12736,,,0,219.75,3,216.24,,,218.06,19,,,653.6219752037312,0.0,,3264.0,12871,653.6219752037312,0.0,0.0,30.44,5376.0,1680694749.0,0.0,0,10.0,3328.0,64,0.0
0.0,13536,,,0,219.66,3,216.22,,,217.75,20,,,653.226925671891,0.0,,3520.0,13655,653.226925671891,0.0,0.0,29.26,5632.0,1680694751.0,0.0,0,10.0,3584.0,66,0.0
0.0,14336,,,0,219.69,3,216.12,,,217.41,21,,,652.4856980570855,0.0,,3808.0,14433,652.4856980570855,0.0,0.0,28.1,5888.0,1680694752.0,0.0,0,10.0,3840.0,67,0.0
0.0,15104,,,0,219.32,3,215.85,,,217.31,22,,,652.2999015823901,0.0,,4064.0,15214,652.2999015823901,0.0,0.0,26.91,6144.0,1680694753.0,0.0,0,10.0,4128.0,68,0.0
0.0,15872,,,0,219.2,3,215.85,,,217.25,23,,,652.0220088095859,0.0,,4320.0,15996,652.0220088095859,0.0,0.0,25.72,6400.0,1680694754.0,0.0,0,10.0,4384.0,69,0.0
0.0,16672,,,0,218.98,3,215.99,,,217.06,24,,,652.3814906705453,0.0,,4576.0,16779,652.3814906705453,0.0,0.0,24.51,6656.0,1680694755.0,0.0,0,10.0,4640.0,70,0.0
0.0,17440,,,0,218.99,3,216.57,,,216.82,25,,,652.3169202070637,0.0,,4832.0,17562,652.3169202070637,0.0,0.0,23.31,6944.0,1680694757.0,0.0,0,10.0,4896.0,72,0.0
0.0,18240,,,0,218.9,3,216.74,,,216.68,26,,,651.9096905519,0.0,,5088.0,18340,651.9096905519,0.0,0.0,22.13,7200.0,1680694758.0,0.0,0,10.0,5152.0,73,0.0
0.0,19008,,,0,218.46,3,216.84,,,216.62,27,,,651.7126139685573,0.0,,5344.0,19119,651.7126139685573,0.0,0.0,20.94,7456.0,1680694759.0,0.0,0,10.0,5440.0,74,0.0
0.0,19776,,,0,218.31,3,216.95,,,216.45,28,,,651.0750460848434,0.0,,5600.0,19900,651.0750460848434,0.0,0.0,19.76,7712.0,1680694760.0,0.0,0,9.88,5696.0,75,0.0
0.0,20576,,,0,218.16,3,216.74,,,216.17,29,,,650.8270152950303,0.0,,5856.0,20680,650.8270152950303,0.0,0.0,18.57,7968.0,1680694761.0,0.0,0,9.29,5952.0,76,0.0
0.0,21312,,,0,217.93,3,216.68,,,216.21,30,,,649.3169738084257,0.0,,6144.0,21454,649.3169738084257,0.0,0.0,17.42,8224.0,1680694762.0,0.0,0,8.71,6208.0,77,0.0
0.0,22112,,,0,217.76,3,216.56,,,214.99,31,,,649.6811172928302,0.0,,6368.0,22230,649.6811172928302,0.0,0.0,16.22,8480.0,1680694764.0,0.0,0,8.11,6464.0,79,0.0
0.0,22880,,,0,217.62,3,216.5,,,215.56,32,,,649.7113359754242,0.0,,6656.0,23004,649.7113359754242,0.0,0.0,15.03,8736.0,1680694765.0,0.0,0,7.51,6720.0,80,0.0
0.0,23712,,,0,217.61,3,216.35,,,215.74,33,,,649.4542448034605,0.0,,6912.0,23783,649.4542448034605,0.0,0.0,13.84,8992.0,1680694766.0,0.0,0,6.92,6976.0,81,0.0
0.0,24480,,,0,217.38,3,216.4,,,215.68,34,,,649.2485788398958,0.0,,7168.0,24556,649.2485788398958,0.0,0.0,12.65,9280.0,1680694767.0,0.0,0,6.32,7264.0,82,0.0
0.0,25248,,,0,217.14,3,216.43,,,215.68,35,,,649.0053347205062,0.0,,7424.0,25335,649.0053347205062,0.0,0.0,11.45,9536.0,1680694768.0,0.0,0,5.73,7520.0,83,0.0
0.0,26016,,,0,217.17,3,216.2,,,215.63,36,,,649.0247360841074,0.0,,7680.0,26112,649.0247360841074,0.0,0.0,10.26,9792.0,1680694770.0,0.0,0,5.13,7776.0,85,0.0
0.0,26784,,,0,217.08,3,216.38,,,215.56,37,,,649.2622482141983,0.0,,7936.0,26884,649.2622482141983,0.0,0.0,9.06,10048.0,1680694771.0,0.0,0,4.53,8032.0,86,0.0
0.0,27552,,,0,217.55,3,216.28,,,215.43,38,,,649.0068507663243,0.0,,8192.0,27661,649.0068507663243,0.0,0.0,7.87,10304.0,1680694772.0,0.0,0,3.93,8288.0,87,0.0
0.0,28320,,,0,217.69,3,216.0,,,215.31,39,,,648.9926931390937,0.0,,8448.0,28436,648.9926931390937,0.0,0.0,6.67,10560.0,1680694773.0,0.0,0,3.34,8544.0,88,0.0
0.0,29088,,,0,217.71,3,216.09,,,215.2,40,,,648.8341058194654,0.0,,8704.0,29211,648.8341058194654,0.0,0.0,5.48,10816.0,1680694774.0,0.0,0,2.74,8800.0,89,0.0
0.0,29888,,,0,217.67,3,216.11,,,215.05,41,,,648.5647512863959,0.0,,8960.0,29988,648.5647512863959,0.0,0.0,4.29,11072.0,1680694776.0,0.0,0,2.14,9056.0,91,0.0
0.0,30656,,,0,217.46,3,216.09,,,215.02,42,,,649.3231112177234,0.0,,9216.0,30769,649.3231112177234,0.0,0.0,3.08,11328.0,1680694777.0,0.0,0,1.54,9344.0,92,0.0
0.0,31424,,,0,217.47,3,216.31,,,215.54,43,,,648.8711665215427,0.0,,9472.0,31546,648.8711665215427,0.0,0.0,1.88,11584.0,1680694778.0,0.0,0,0.94,9600.0,93,0.0
0.0,32192,,,0,217.46,3,215.65,,,215.76,44,,,649.2417668427486,0.0,,9728.0,32324,649.2417668427486,0.0,0.0,0.68,11840.0,1680694779.0,0.0,0,0.5,9856.0,94,0.0
0.0,32832,,,0,217.4,3,216.03,,,215.81,45,,,648.7711584159512,0.0,,9984.0,33099,648.7711584159512,0.0,0.0,0.0,12096.0,1680694780.0,0.0,0,0.5,10112.0,95,0.0
0.0,32832,,,0,217.02,3,215.89,,,215.86,46,,,648.7711584159512,0.0,,10208.0,33878,648.7711584159512,0.0,0.0,0.0,12320.0,1680694782.0,0.0,0,0.5,10304.0,97,0.0
0.0,32832,,,0,217.02,3,215.89,,,215.86,47,,,648.7711584159512,0.0,,10208.0,34657,648.7711584159512,0.0,0.0,0.0,12320.0,1680694783.0,0.0,0,0.5,10304.0,98,0.0
0.0,32832,,,0,217.02,3,215.89,,,215.86,48,,,648.7711584159512,0.0,,10208.0,35435,648.7711584159512,0.0,0.0,0.0,12320.0,1680694784.0,0.0,0,0.5,10304.0,99,0.0
0.0,384,,,0,217.02,3,215.89,,,215.86,49,,,619.8466741586094,0.0,,10208.0,463,619.8466741586094,0.0,0.0,52.12,12320.0,1680694785.0,0.0,1,10.0,10304.0,100,0.0
0.0,1152,32832.0,61.741046436131,0,207.96,3,205.1,0.0,531.7694126542475,206.79,50,1.0,0.0,648.4455787973143,0.0,32832.0,128.0,1283,648.4455787973143,1.0,0.0,48.55,128.0,1680694786.0,1.0,1,10.0,128.0,101,1.0
0.0,1920,,,0,217.1,3,215.38,,,215.97,51,,,648.9701684062486,0.0,,384.0,2063,648.9701684062486,1.0,0.0,47.31,384.0,1680694788.0,1.0,1,10.0,384.0,103,1.0
0.0,2720,,,0,217.32,3,215.82,,,215.84,52,,,648.9617065724925,0.0,,640.0,2841,648.9617065724925,1.0,0.0,46.11,640.0,1680694789.0,1.0,1,10.0,640.0,104,1.0
0.0,3520,,,0,217.12,3,216.02,,,215.83,53,,,648.8933830370682,0.0,,896.0,3616,648.8933830370682,1.0,0.0,44.93,896.0,1680694790.0,1.0,1,10.0,928.0,105,1.0
