03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_3_epoch,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,_step,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/num_peers,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/global_epoch,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples
608,36.733597734128196,,,36.733597734128196,40,,10.0,,,,0,,,1,,,0,,,875.39,,1680695507.0,,,,,,0,,612
1408,322.9734472093825,,,322.9734472093825,41,,10.0,,36.73,,1,,,1,,,0,0.0,,96.98,608.0,1680695508.0,0.0,,,,,0,,1445
2208,640.8041201714126,,,640.8041201714126,45,,10.0,,322.97,,2,,,1,,,0,0.0,,44.55,1408.0,1680695512.0,0.0,,,,,0,,4221
4992,664.9314152929305,,,664.9314152929305,46,,10.0,,640.8,,3,,,1,,,0,0.0,,41.65,2208.0,1680695513.0,0.0,,,,,0,,5074
5824,680.9922491408596,,,680.9922491408596,48,,9.86,,664.93,,4,,,1,,,0,0.0,,39.46,4992.0,1680695515.0,0.0,,,,,0,,5897
6688,645.1416650231898,,,645.1416650231898,49,,10.0,,680.99,,5,,,1,,,0,0.0,,40.32,5824.0,1680695516.0,0.0,,,,,0,,6757
8320,1203.7778055205438,,,1203.7778055205438,50,,8.08,,645.14,,6,,,2,,,0,0.0,,20.2,6688.0,1680695517.0,0.0,,,,,0,,8449
10080,1327.1802896548747,,,1327.1802896548747,51,,6.78,0.0,736.47,,7,,,2,,467.3,0,0.0,,16.95,7520.0,1680695518.0,0.0,0.0,,,,0,800.0,10268
11360,998.7933751618676,,,998.7933751618676,53,,8.53,0.0,664.33,,8,,,2,,662.85,0,0.0,,21.32,8384.0,1680695520.0,0.0,0.0,,,,0,1696.0,11477
13216,1398.070963599516,,,1398.070963599516,54,,6.92,0.0,344.26,,9,,,3,,654.54,0,0.0,,13.85,8864.0,1680695521.0,0.0,0.0,,,,0,2496.0,13409
