04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_2_samples_per_second,_runtime,03_hivemind/num_peers,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/estimated_current_samples,_step,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated
,,,,,,,,,10.0,57.1695680187951,,0,,768,0,,,,46,1,559.62,,57.1695680187951,1680695718.0,,,775,0,,
,,,,,,,,,10.0,159.43526341683489,,0,0.0,1184,0,,,,48,1,197.93,0.0,159.43526341683489,1680695720.0,,,1210,1,57.17,768.0
,,,,,,,,,10.0,283.4327093732002,,0,0.0,1632,0,,,,49,1,109.73,0.0,283.4327093732002,1680695721.0,,,1667,2,159.44,1184.0
,,,,,,,,,10.0,340.0426235474124,,0,0.0,2048,0,,,,50,1,90.18,0.0,340.0426235474124,1680695722.0,,,2104,3,283.43,1632.0
,,,,,,,,,10.0,361.30132816962754,,0,0.0,2560,0,,,,51,1,83.5,0.0,361.30132816962754,1680695723.0,,,2600,4,340.04,2048.0
,,,,,,,,,10.0,366.1781809753467,,0,0.0,2976,0,,,,52,1,81.19,0.0,366.1781809753467,1680695724.0,,,3037,5,361.3,2560.0
,,,,,,,,,10.0,367.2635898716776,,0,0.0,3424,0,,,,54,1,79.77,0.0,367.2635898716776,1680695726.0,,,3471,6,366.18,2976.0
,,,,,,,,,10.0,481.15472200186093,,0,0.0,4192,0,,,,55,2,59.23,0.0,481.15472200186093,1680695727.0,,,4268,7,367.26,3424.0
0.0,,,,0.0,,,,,10.0,627.2210186793329,,0,0.0,5056,0,,,114.29,56,2,44.03,0.0,627.2210186793329,1680695728.0,352.0,,5149,8,366.87,3840.0
0.0,,,,0.0,,,,,10.0,705.8552783887492,,0,0.0,5952,0,,,259.87,57,2,37.87,0.0,705.8552783887492,1680695729.0,768.0,,6037,9,367.35,4288.0
0.0,,,,0.0,,,,,10.0,860.6025160310629,,0,0.0,7200,0,,,339.1,58,3,29.57,0.0,860.6025160310629,1680695730.0,1216.0,,7319,10,366.76,4736.0
0.0,,,131.15,0.0,0.0,,,,10.0,1006.3154221403179,,0,0.0,8512,0,,0.0,362.1,60,3,23.97,0.0,1006.3154221403179,1680695732.0,1664.0,384.0,8650,11,367.36,5152.0
0.0,,,271.29,0.0,0.0,,,,10.0,1076.7213841894995,,0,0.0,9824,0,,0.0,368.02,61,3,21.16,0.0,1076.7213841894995,1680695733.0,2112.0,800.0,9981,12,367.01,5600.0
0.0,,,341.19,0.0,0.0,,,,9.8,1095.2988822493114,,0,0.0,11136,0,,0.0,368.82,62,3,19.6,0.0,1095.2988822493114,1680695734.0,2528.0,1248.0,11303,13,366.71,6048.0
0.0,,,360.88,0.0,0.0,,,,9.15,1101.4252832733823,,0,0.0,12480,0,,0.0,368.32,63,3,18.29,0.0,1101.4252832733823,1680695735.0,2976.0,1696.0,12622,14,366.1,6464.0
0.0,,,365.28,0.0,0.0,,,,8.55,1100.5374038647346,,0,0.0,13792,0,,0.0,369.2,64,3,17.1,0.0,1100.5374038647346,1680695736.0,3424.0,2144.0,13948,15,366.95,6912.0
0.0,,,366.68,0.0,0.0,,,,7.95,1100.9182468831332,,0,0.0,15136,0,,0.0,368.53,66,3,15.9,0.0,1100.9182468831332,1680695738.0,3872.0,2560.0,15261,16,365.33,7360.0
