03_hivemind/num_peers,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,_runtime,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_3_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/eta_next_epoch_s,_step,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,04_peers/peer_4_epoch
1,,288,36,,0,,,,,,,,9.362112356863701,9.362112356863701,,3469.2,0,1680696710.0,,,,0,,,,289,,,,,,10.0,,
1,9.36,928,37,,0,,,,,0.0,,,98.89574040679362,98.89574040679362,288.0,321.87,1,1680696711.0,0.0,,,0,,,,937,,,,,,10.0,,
1,98.9,1472,38,,0,,,,,0.0,,,293.87056492897716,293.87056492897716,928.0,106.36,2,1680696712.0,0.0,,,0,,,,1511,,,,,,10.0,,
1,293.87,2048,39,,0,,,,,0.0,,,439.69740757377554,439.69740757377554,1472.0,69.74,3,1680696713.0,0.0,,,0,,,,2102,,,,,,10.0,,
1,439.7,2496,41,,0,,,,,0.0,,,398.00894201898313,398.00894201898313,2048.0,75.94,4,1680696715.0,0.0,,,0,,,,2543,,,,,,10.0,,
1,398.01,3040,45,,0,,,,,0.0,,,439.6656185649098,439.6656185649098,2496.0,64.51,5,1680696719.0,0.0,,,0,,,,4404,,,,,,10.0,,
4,439.67,5472,46,,0,,,,,0.0,,,655.1861085873039,655.1861085873039,3040.0,41.56,6,1680696720.0,0.0,,,0,,,,5540,,,,,,10.0,,
4,433.43,8000,47,,0,0.0,79.24,,,0.0,192.0,160.0,1701.8932845983386,1701.8932845983386,4928.0,14.43,7,1680696721.0,0.0,0.0,0.0,0,,78.58,63.92,8218,,0.0,0.0,,192.0,8.24,,0.0
4,493.17,10240,48,,0,0.0,405.72,,,0.0,832.0,832.0,1763.117224447854,1763.117224447854,5504.0,12.65,8,1680696722.0,0.0,0.0,0.0,0,,401.51,401.49,10462,,0.0,0.0,,832.0,7.23,,0.0
4,448.1,12608,50,,0,0.0,415.33,,,0.0,1408.0,1408.0,1907.1742825176339,1907.1742825176339,6048.0,10.46,9,1680696724.0,0.0,0.0,0.0,0,,428.2,471.49,12814,,0.0,0.0,,1376.0,5.98,,0.0
4,444.13,14816,51,,0,0.0,480.58,,,0.0,2016.0,2016.0,1707.3207105227973,1707.3207105227973,6592.0,10.38,10,1680696725.0,0.0,0.0,0.0,0,,487.41,495.06,15050,,0.0,0.0,,1984.0,5.93,,0.0
