04_peers/peer_3_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/estimated_current_samples,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,03_hivemind/global_samples_accumulated,_timestamp,03_hivemind/num_peers,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/global_epoch,_step,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_epoch,04_peers/peer_3_samples_accumulated
,,,,0,,225,,,,,,,224,1680696903.0,1,,5142.64,,,,6.328158000986081,36,0,0,,,10.0,6.328158000986081,,,,,,
,,6.33,,0,,484,,224.0,0.0,0.0,,,480,1680696904.0,1,,1540.26,,,,20.959939280514128,37,0,1,,,10.0,20.959939280514128,,,,,,
,,20.96,,0,,777,,480.0,0.0,0.0,,,768,1680696905.0,1,,599.49,,,,53.36326977738969,38,0,2,,,10.0,53.36326977738969,,,,,,
,,53.36,,0,,1072,,768.0,0.0,0.0,,,1056,1680696907.0,1,,302.43,,,,104.8047711697667,40,0,3,,,10.0,104.8047711697667,,,,,,
,,104.8,,0,,1364,,1056.0,0.0,0.0,,,1344,1680696908.0,1,,196.04,,,,160.19123895896763,41,0,4,,,10.0,160.19123895896763,,,,,,
,,160.19,,0,,2253,,1344.0,0.0,0.0,,,1632,1680696912.0,1,,152.1,,,,200.63132285380837,45,0,5,,,10.0,200.63132285380837,,,,,,
,,200.63,,0,,2635,,1632.0,0.0,0.0,,,2592,1680696913.0,1,,129.88,,,,232.00776029031496,46,0,6,,,10.0,232.00776029031496,,,,,,
,,232.01,,0,,3684,,2592.0,0.0,0.0,,,3616,1680696914.0,4,,63.74,,,,456.27634068769754,47,0,7,,,10.0,456.27634068769754,,,,,,
0.0,,233.56,224.0,0,,4864,0.0,2880.0,0.0,0.0,76.56,66.98,4768,1680696915.0,4,,40.42,79.18,256.0,,690.3224511753169,48,0,8,0.0,,10.0,690.3224511753169,,0.0,0.0,,0.0,256.0
0.0,,234.72,512.0,0,,6024,0.0,3168.0,0.0,0.0,153.47,145.63,5888,1680696917.0,4,,32.02,156.49,544.0,,835.0988851572454,50,0,9,0.0,,10.0,835.0988851572454,,0.0,0.0,,0.0,544.0
