04_peers/peer_2_epoch,04_peers/peer_4_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,_step,04_peers/peer_2_epoch_oos,04_peers/peer_3_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,03_hivemind/total_training_samples,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,_runtime,03_hivemind/overshot_TBS,03_hivemind/estimated_current_samples,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,03_hivemind/num_peers,04_peers/peer_3_epoch,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,04_peers/peer_1_epoch,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_4_samples_accumulated,03_hivemind/optimistic_total_samples_per_second
,,,,96,2.1250853109952317,1680697397.0,,15374.08,10.0,0,,,,0,,,,41,,97,,,,,1,,,,,,0,,,2.1250853109952317
,,,,224,5.973796712735391,1680697398.0,0.0,5447.6,10.0,1,,,,0,,,96.0,42,,225,2.13,,,,1,,,,0.0,,0,,,5.973796712735391
,,,,320,9.788279181744242,1680697402.0,0.0,3311.63,10.0,2,,,,0,,,224.0,46,,353,5.97,,,,1,,,,0.0,,0,,,9.788279181744242
,,,,736,36.67926830191543,1680697404.0,0.0,873.19,10.0,3,,,,0,,,320.0,48,,740,9.79,,,,1,,,,0.0,,0,,,36.67926830191543
,,,,832,44.552625759406595,1680697405.0,0.0,716.54,10.0,4,,,,0,,,736.0,49,,844,36.68,,,,1,,,,0.0,,0,,,44.552625759406595
,,,,960,54.944706357174695,1680697406.0,0.0,578.81,10.0,5,,,,0,,,832.0,50,,965,44.55,,,,1,,,,0.0,,0,,,54.944706357174695
,,,,1440,143.83541733723285,1680697407.0,0.0,217.59,10.0,6,,,,0,,,960.0,51,,1471,54.94,,,,4,,,,0.0,,0,,,143.83541733723285
0.0,0.0,0.0,128.0,1952,213.71666631685258,1680697408.0,0.0,143.98,10.0,7,0.0,27.31,,0,,27.08,1056.0,52,,1997,62.16,27.29,128.0,,4,0.0,,,0.0,,0,0.0,128.0,213.71666631685258
0.0,0.0,0.0,256.0,2336,253.39368609780723,1680697410.0,0.0,119.71,10.0,8,0.0,47.93,,0,,47.52,1184.0,54,,2434,70.56,47.71,256.0,,4,0.0,,,0.0,,0,0.0,256.0,253.39368609780723
0.0,0.0,0.0,352.0,2848,292.80714401102256,1680697411.0,0.0,101.96,10.0,9,0.0,59.51,,0,,59.11,1280.0,55,,2915,75.71,59.07,352.0,,4,0.0,,,0.0,,0,0.0,352.0,292.80714401102256
0.0,0.0,0.0,480.0,3264,315.0674396479303,1680697412.0,0.0,93.32,10.0,10,0.0,71.04,,0,,70.47,1408.0,56,,3365,81.09,70.22,480.0,,4,0.0,,,0.0,,0,0.0,480.0,315.0674396479303
0.0,0.0,0.0,576.0,3744,334.63041067865026,1680697413.0,0.0,86.49,10.0,11,0.0,77.25,,0,,76.61,1536.0,57,,3827,85.01,76.19,576.0,,4,0.0,,,0.0,,0,0.0,576.0,334.63041067865026
0.0,0.0,0.0,704.0,4192,346.6380528338981,1680697414.0,0.0,82.18,10.0,12,0.0,83.23,,0,,82.47,1632.0,58,,4280,87.12,81.8,704.0,,4,0.0,,,0.0,,0,0.0,704.0,346.6380528338981
0.0,0.0,0.0,832.0,4640,355.70257701402494,1680697416.0,0.0,78.81,10.0,13,0.0,87.15,,0,,85.56,1760.0,60,,4736,89.21,84.72,800.0,,4,0.0,,,0.0,,0,0.0,800.0,355.70257701402494
