03_hivemind/num_peers,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_3_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,_step,_runtime,04_peers/peer_1_epoch,04_peers/peer_4_epoch,03_hivemind/global_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,04_peers/peer_4_samples_per_second,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second
1,10.0,,,63.32569545679412,,505.18,,768,,,0,41,,,0,,,63.32569545679412,,,,,,,,,777,,,1680697809.0,0,,,
1,10.0,,,422.1069173893983,,73.74,,1600,,63.33,1,42,0.0,,0,,768.0,422.1069173893983,,,,,,,,0.0,1643,,,1680697810.0,0,,,
1,10.0,,,641.5379975633431,,44.24,,2400,,422.11,2,46,0.0,,0,,1600.0,641.5379975633431,,,,,,,,0.0,4389,,,1680697814.0,0,,,
1,10.0,,,677.1159133324535,,40.67,,5152,,641.54,3,47,0.0,,0,,2400.0,677.1159133324535,,,,,,,,0.0,5227,,,1680697815.0,0,,,
1,10.0,,,651.4181488439501,,41.06,,5920,,677.12,4,48,0.0,,0,,5152.0,651.4181488439501,,,,,,,,0.0,6021,,,1680697816.0,0,,,
1,9.9,,,656.3659468802491,,39.62,,6688,,651.42,5,49,0.0,,0,,5920.0,656.3659468802491,,,,,,,,0.0,6763,,,1680697817.0,0,,,
3,7.98,,,1492.7142402990903,,15.95,,8768,,656.37,6,51,0.0,,0,,6688.0,1492.7142402990903,,,,,,,,0.0,8953,,,1680697819.0,0,,,
3,5.28,704.0,,1986.9131695896076,,10.56,576.0,11552,,715.72,7,52,0.0,,0,,7488.0,1986.9131695896076,,0.0,0.0,0.0,,0.0,,0.0,11795,,,1680697820.0,0,,429.26,347.73
3,5.7,1632.0,,1662.1155324842343,,11.41,1504.0,13600,,664.65,8,53,0.0,,0,,8416.0,1662.1155324842343,,0.0,0.0,0.0,,0.0,,0.0,13811,,,1680697821.0,0,,669.21,653.05
4,4.35,2464.0,,2124.767080946908,,7.62,2304.0,16320,,309.53,9,54,0.0,,0,,8832.0,2124.767080946908,,0.0,0.0,0.0,,0.0,,0.0,16582,,,1680697822.0,0,,696.61,655.98
4,2.89,3296.0,640.0,2565.185194868159,,5.05,3104.0,19520,,385.8,10,56,0.0,0.0,0,0.0,9280.0,2565.185194868159,,0.0,0.0,0.0,,0.0,,0.0,19807,369.47,,1680697824.0,0,,693.45,676.04
4,2.04,4096.0,1440.0,2711.436480762716,,3.58,3904.0,22720,,617.74,11,57,0.0,0.0,0,0.0,10080.0,2711.436480762716,,0.0,0.0,0.0,,0.0,,0.0,23066,646.99,,1680697825.0,0,,654.08,646.38
4,1.31,4896.0,2240.0,2779.7733840459973,,2.29,4704.0,26048,,661.97,12,58,0.0,0.0,0,0.0,10880.0,2779.7733840459973,,0.0,0.0,0.0,,0.0,,0.0,26406,685.79,,1680697826.0,0,,686.28,677.4
