03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/global_samples_accumulated,_runtime,04_peers/peer_4_epoch,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch_oos,03_hivemind/global_epoch,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,_step,_timestamp,04_peers/peer_2_epoch,03_hivemind/reached_TBS,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second
1,0,,,,,200.45330570208768,,,1312,46,,,,0,,,,,,,0,1680698012.0,,,,,,,,,156.77,10.0,1344,200.45330570208768
1,0,,,,,309.7277096931856,,,1760,47,,,0.0,0,,,,,,,1,1680698013.0,,,,200.45,1312.0,0.0,,,99.98,10.0,1803,309.7277096931856
1,0,,,,,353.0324113469349,,,2208,48,,,0.0,0,,,,,,,2,1680698014.0,,,,309.73,1760.0,0.0,,,86.46,10.0,2245,353.0324113469349
1,0,,,,,364.3783483202477,,,2624,49,,,0.0,0,,,,,,,3,1680698015.0,,,,353.03,2208.0,0.0,,,82.57,10.0,2681,364.3783483202477
1,0,,,,,366.8023375170018,,,3136,51,,,0.0,0,,,,,,,4,1680698017.0,,,,364.38,2624.0,0.0,,,80.67,10.0,3179,366.8023375170018
1,0,,,,,367.11729816604213,,,3552,52,,,0.0,0,,,,,,,5,1680698018.0,,,,366.8,3136.0,0.0,,,79.41,10.0,3616,367.11729816604213
1,0,,,,,367.5869353334226,,,4000,53,,,0.0,0,,,,,,,6,1680698019.0,,,,367.12,3552.0,0.0,,,78.11,10.0,4055,367.5869353334226
3,0,,,,,542.9004677244498,,,5024,54,,,0.0,0,,,,,,,7,1680698020.0,,,,367.59,4000.0,0.0,,,50.98,10.0,5092,542.9004677244498
3,0,,,76.05,256.0,859.8863310820019,99.63,320.0,6368,55,,,0.0,0,,0.0,0.0,,,,8,1680698021.0,0.0,,,367.21,4448.0,0.0,,0.0,30.58,10.0,6473,859.8863310820019
3,0,,,236.42,704.0,1029.8865398309658,256.8,768.0,7648,57,,,0.0,0,,0.0,0.0,,,,9,1680698023.0,0.0,,,366.67,4896.0,0.0,,0.0,24.23,10.0,7815,1029.8865398309658
4,0,,,328.92,1152.0,1216.2932225028449,334.29,1184.0,9376,58,,,0.0,0,,0.0,0.0,,,,10,1680698024.0,0.0,,,366.68,5312.0,0.0,,0.0,19.08,10.0,9555,1216.2932225028449
4,0,,,357.97,1600.0,1377.9206933764551,360.23,1632.0,11168,59,0.0,,0.0,0,,0.0,0.0,0.0,130.92,384.0,11,1680698025.0,0.0,,,367.17,5760.0,0.0,,0.0,15.55,8.89,11342,1377.9206933764551
4,0,,,364.79,2048.0,1440.4397321813967,367.08,2080.0,12896,60,0.0,,0.0,0,,0.0,0.0,0.0,279.13,832.0,12,1680698026.0,0.0,,,366.92,6208.0,0.0,,0.0,13.65,7.8,13105,1440.4397321813967
4,0,,,366.3,2464.0,1462.4233768717684,367.89,2528.0,14656,61,0.0,,0.0,0,,0.0,0.0,0.0,339.72,1248.0,13,1680698027.0,0.0,,,366.52,6656.0,0.0,,0.0,12.24,6.99,14870,1462.4233768717684
4,0,,,367.98,2912.0,1464.5898386662066,368.3,2976.0,16416,63,0.0,,0.0,0,,0.0,0.0,0.0,359.73,1696.0,14,1680698029.0,0.0,,,366.41,7072.0,0.0,,0.0,11.01,6.29,16642,1464.5898386662066
4,0,,,368.29,3360.0,1465.8661901524654,367.2,3392.0,18208,64,0.0,,0.0,0,,0.0,0.0,0.0,364.37,2144.0,15,1680698030.0,0.0,,,364.74,7520.0,0.0,,0.0,9.8,5.6,18405,1465.8661901524654
4,0,,,368.36,3808.0,1465.8370864526614,367.07,3840.0,19968,65,0.0,,0.0,0,,0.0,0.0,0.0,365.96,2592.0,16,1680698031.0,0.0,,,364.47,7968.0,0.0,,0.0,8.6,4.91,20167,1465.8370864526614
4,0,,,367.52,4256.0,1466.5010835594082,367.63,4288.0,21696,66,0.0,,0.0,0,,0.0,0.0,0.0,365.5,3008.0,17,1680698032.0,0.0,,,365.18,8416.0,0.0,,0.0,7.39,4.22,21930,1466.5010835594082
4,0,,,367.38,4704.0,1364.2152047075278,368.06,4736.0,23232,67,0.0,,0.0,0,,0.0,0.0,0.0,365.13,3456.0,18,1680698033.0,0.0,,,365.92,8800.0,0.0,,0.0,6.81,3.89,23474,1364.2152047075278
4,0,,,367.02,5120.0,1424.082735210175,367.83,5184.0,24992,69,0.0,,0.0,0,,0.0,0.0,0.0,365.55,3904.0,19,1680698035.0,0.0,,,263.83,9024.0,0.0,,0.0,5.3,3.03,25214,1424.082735210175
4,0,,,367.74,5568.0,1455.4797128022574,368.86,5632.0,26784,70,0.0,,0.0,0,,0.0,0.0,0.0,365.08,4320.0,20,1680698036.0,0.0,,,322.41,9472.0,0.0,,0.0,3.97,2.27,26985,1455.4797128022574
4,0,,,367.37,6016.0,1463.2618344380373,368.38,6080.0,28544,71,0.0,,0.0,0,,0.0,0.0,0.0,364.35,4768.0,21,1680698037.0,0.0,,,355.37,9920.0,0.0,,0.0,2.75,1.57,28743,1463.2618344380373
4,0,,,366.83,6464.0,1464.2999646746061,368.24,6496.0,30336,72,0.0,,0.0,0,,0.0,0.0,0.0,364.6,5216.0,22,1680698038.0,0.0,,,363.59,10368.0,0.0,,0.0,1.54,0.88,30515,1464.2999646746061
4,0,,,366.9,6912.0,1463.1440569451433,368.67,6944.0,32032,73,0.0,,0.0,0,,0.0,0.0,0.0,364.64,5664.0,23,1680698039.0,0.0,,,364.09,10816.0,0.0,,0.0,0.34,0.5,32270,1463.1440569451433
4,0,,,366.32,7328.0,1459.3360691258952,368.48,7392.0,32800,75,0.0,,0.0,0,,0.0,0.0,0.0,363.51,6080.0,24,1680698041.0,0.0,,,364.84,11232.0,0.0,,0.0,0.0,0.5,34022,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,76,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,25,1680698042.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,35783,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,77,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,26,1680698043.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,37536,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,78,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,27,1680698044.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,39295,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,80,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,28,1680698046.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,41055,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,81,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,29,1680698047.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,42812,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,82,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,30,1680698048.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,44569,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,83,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,31,1680698049.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,46329,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,84,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,32,1680698050.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,48089,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,86,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,33,1680698052.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,49845,1459.3360691258952
4,0,,,366.79,7520.0,1459.3360691258952,367.5,7584.0,32800,87,0.0,,0.0,0,,0.0,0.0,0.0,365.14,6272.0,34,1680698053.0,0.0,,,359.9,11424.0,0.0,,0.0,0.0,0.5,51602,1459.3360691258952
4,0,,,366.79,7520.0,722.4806915083454,367.5,7584.0,64,88,0.0,,0.0,1,,0.0,0.0,0.0,365.14,6272.0,35,1680698054.0,0.0,,,359.9,11424.0,0.0,,0.0,22.44,10.0,252,1449.1690276307907
4,0,0.0,777.5300722328184,366.79,7520.0,1213.5606421562265,367.5,0.0,1664,89,1.0,32800.0,1.0,1,42.184863545931876,0.0,0.0,0.0,354.98,64.0,36,1680698055.0,1.0,0.0,32800.0,359.9,11424.0,0.0,1.0,1.0,25.48,10.0,1842,1213.5606421562265
4,0,,,300.0,416.0,1399.9376010856158,309.45,416.0,3456,90,1.0,,0.0,1,,1.0,0.0,0.0,293.05,416.0,37,1680698056.0,1.0,,,311.06,416.0,1.0,,0.0,20.81,10.0,3639,1399.9376010856158
4,0,,,349.46,864.0,1449.8054556294917,353.14,864.0,5120,92,1.0,,0.0,1,,1.0,0.0,0.0,347.77,864.0,38,1680698058.0,1.0,,,349.57,864.0,1.0,,0.0,18.87,10.0,5415,1449.8054556294917
4,0,,,362.14,1280.0,1247.462777604415,362.66,1216.0,6528,93,1.0,,0.0,1,,1.0,0.0,0.0,361.77,1312.0,39,1680698059.0,1.0,,,363.24,1312.0,1.0,,0.0,20.89,10.0,6712,1247.462777604415
4,0,,,263.54,1504.0,1386.2433522926415,254.34,1504.0,8224,94,1.0,,0.0,1,,1.0,0.0,0.0,364.11,1760.0,40,1680698060.0,1.0,,,365.47,1760.0,1.0,,0.0,17.55,10.0,8446,1386.2433522926415
4,0,,,321.28,1920.0,1445.9169975488915,333.79,1952.0,9920,95,1.0,,0.0,1,,1.0,0.0,0.0,364.93,2176.0,41,1680698061.0,1.0,,,366.25,2176.0,1.0,,0.0,15.6,8.92,10209,1445.9169975488915
4,0,,,355.05,2368.0,1341.27487607235,359.55,2400.0,11520,96,1.0,,0.0,1,,1.0,0.0,0.0,365.55,2528.0,42,1680698062.0,1.0,,,365.77,2624.0,1.0,,0.0,15.7,8.97,11709,1341.27487607235
4,0,,,363.92,2816.0,1427.658180492582,365.4,2816.0,13280,98,1.0,,0.0,1,,1.0,0.0,0.0,246.61,2816.0,43,1680698064.0,1.0,,,365.35,3072.0,1.0,,0.0,13.51,7.72,13480,1427.658180492582
4,0,,,365.23,3264.0,1454.3188733674262,367.08,3264.0,15008,99,1.0,,0.0,1,,1.0,0.0,0.0,329.47,3264.0,44,1680698065.0,1.0,,,365.88,3488.0,1.0,,0.0,12.04,6.88,15252,1454.3188733674262
4,0,,,366.2,3680.0,1460.6992918116262,367.49,3712.0,16800,100,1.0,,0.0,1,,1.0,0.0,0.0,355.19,3680.0,45,1680698066.0,1.0,,,365.45,3936.0,1.0,,0.0,10.79,6.16,17014,1460.6992918116262
4,0,,,366.04,4128.0,1462.9034281379697,366.92,4160.0,18592,101,1.0,,0.0,1,,1.0,0.0,0.0,362.29,4128.0,46,1680698067.0,1.0,,,365.45,4384.0,1.0,,0.0,9.57,5.47,18773,1462.9034281379697
4,0,,,365.21,4576.0,1461.926255742887,367.09,4608.0,20320,102,1.0,,0.0,1,,1.0,0.0,0.0,364.65,4576.0,47,1680698068.0,1.0,,,365.96,4832.0,1.0,,0.0,8.37,4.79,20526,1461.926255742887
4,0,,,364.49,5024.0,1461.5247792357407,366.84,5056.0,22048,104,1.0,,0.0,1,,1.0,0.0,0.0,364.26,4992.0,48,1680698070.0,1.0,,,366.34,5248.0,1.0,,0.0,7.18,4.1,22281,1461.5247792357407
4,0,,,364.74,5440.0,1461.2518778802114,366.66,5472.0,23840,105,1.0,,0.0,1,,1.0,0.0,0.0,364.48,5440.0,49,1680698071.0,1.0,,,365.65,5696.0,1.0,,0.0,5.98,3.42,24033,1461.2518778802114
4,0,,,364.82,5888.0,1461.3220633404853,366.35,5920.0,25600,106,1.0,,0.0,1,,1.0,0.0,0.0,364.99,5888.0,50,1680698072.0,1.0,,,365.09,6144.0,1.0,,0.0,4.77,2.73,25795,1461.3220633404853
4,0,,,365.21,6336.0,1394.6938037274454,366.45,6368.0,27168,107,1.0,,0.0,1,,1.0,0.0,0.0,364.64,6336.0,51,1680698073.0,1.0,,,365.02,6560.0,1.0,,0.0,3.86,2.21,27379,1394.6938037274454
4,0,,,364.65,6752.0,1439.9177093901837,366.17,6816.0,28928,108,1.0,,0.0,1,,1.0,0.0,0.0,363.91,6752.0,52,1680698074.0,1.0,,,299.97,6848.0,1.0,,0.0,2.52,1.44,29133,1439.9177093901837
