_step,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_per_second,_timestamp,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/num_clients,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_3_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/num_peers,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated
0,,,,,1680698241.0,,0,,10.0,0,35.33327993145069,35.33327993145069,,,,,,53,,,,,,,,,909.14,,,1,,,645,640
1,0.0,,35.33,,1680698243.0,,0,,10.0,0,79.03666532477286,79.03666532477286,,,,,,55,,,,640.0,,,,0.0,402.65,,,1,,,944,928
2,0.0,,79.04,,1680698244.0,,0,,10.0,0,145.20844446389563,145.20844446389563,,,,,,56,,,,928.0,,,,0.0,216.94,,,1,,,1267,1248
3,0.0,,145.21,,1680698245.0,,0,,10.0,0,196.89617338035941,196.89617338035941,,,,,,57,,,,1248.0,,,,0.0,158.44,,,1,,,1572,1536
4,0.0,,196.9,,1680698246.0,,0,,10.0,0,230.02708153725374,230.02708153725374,,,,,,58,,,,1536.0,,,,0.0,134.27,,,1,,,1881,1856
5,0.0,,230.03,,1680698247.0,,0,,10.0,0,243.44647542387975,243.44647542387975,,,,,,59,,,,1856.0,,,,0.0,125.61,,,1,,,2190,2144
6,0.0,,243.45,,1680698249.0,,0,,10.0,0,269.9891904562155,269.9891904562155,,,,,,61,,,,2144.0,,,,0.0,111.78,,,2,,,2589,2560
7,0.0,,248.86,,1680698250.0,0.0,0,0.0,10.0,0,394.9460590374356,394.9460590374356,,,,,,62,,,,2464.0,,,,0.0,74.29,96.0,,3,,21.13,3426,3360
8,0.0,,250.29,,1680698251.0,0.0,0,0.0,10.0,0,556.341370182779,556.341370182779,0.0,,0.0,,47.23,63,,,,2752.0,224.0,,,0.0,51.03,384.0,,3,,97.42,4380,4288
9,0.0,,250.67,,1680698252.0,0.0,0,0.0,10.0,0,667.8356955359366,667.8356955359366,0.0,,0.0,,129.79,64,,,,3040.0,544.0,,,0.0,41.07,704.0,,4,,175.88,5339,5216
10,0.0,,251.71,6.62,1680698253.0,0.0,0,0.0,10.0,0,799.4891187096741,799.4891187096741,0.0,0.0,0.0,0.0,190.48,65,,,,3360.0,832.0,,,0.0,32.77,992.0,32.0,4,,219.02,6567,6432
11,0.0,,251.64,78.7,1680698255.0,0.0,0,0.0,10.0,0,903.4021061469981,903.4021061469981,0.0,0.0,0.0,0.0,227.97,67,,,,3648.0,1152.0,,,0.0,27.63,1312.0,320.0,4,,241.18,7810,7648
12,0.0,,251.28,160.93,1680698256.0,0.0,0,0.0,10.0,0,962.1075363009535,962.1075363009535,0.0,0.0,0.0,0.0,241.96,68,,,,3968.0,1440.0,,,0.0,24.67,1600.0,640.0,4,,249.23,9033,8864
13,0.0,,251.19,209.52,1680698257.0,0.0,0,0.0,10.0,0,991.7006692265571,991.7006692265571,0.0,0.0,0.0,0.0,249.02,69,,,,4256.0,1760.0,,,0.0,22.7,1920.0,928.0,4,,252.37,10256,10112
14,0.0,,250.9,236.29,1680698258.0,0.0,0,0.0,10.0,0,1003.5979119525401,1003.5979119525401,0.0,0.0,0.0,0.0,251.81,70,,,,4576.0,2048.0,,,0.0,21.22,2240.0,1248.0,4,,252.7,11468,11296
15,0.0,,250.64,246.06,1680698259.0,0.0,0,0.0,10.0,0,1008.7824072993825,1008.7824072993825,0.0,0.0,0.0,0.0,253.18,71,,,,4864.0,2368.0,,,0.0,19.9,2528.0,1536.0,4,,253.71,12691,12544
16,0.0,,251.0,250.05,1680698261.0,0.0,0,0.0,10.0,0,1010.0782658611146,1010.0782658611146,0.0,0.0,0.0,0.0,253.57,73,,,,5184.0,2656.0,,,0.0,18.67,2848.0,1856.0,4,,254.16,13908,13728
17,0.0,,251.35,251.4,1680698262.0,0.0,0,0.0,9.98,0,1010.4994732069064,1010.4994732069064,0.0,0.0,0.0,0.0,253.35,74,,,,5472.0,2976.0,,,0.0,17.46,3136.0,2144.0,4,,253.97,15126,14976
18,0.0,,251.71,251.9,1680698263.0,0.0,0,0.0,9.29,0,1011.1986665577328,1011.1986665577328,0.0,0.0,0.0,0.0,253.41,75,,,,5760.0,3296.0,,,0.0,16.25,3456.0,2464.0,4,,253.47,16336,16160
19,0.0,,251.83,252.01,1680698264.0,0.0,0,0.0,8.61,0,1010.3669939542464,1010.3669939542464,0.0,0.0,0.0,0.0,253.37,76,,,,6080.0,3584.0,,,0.0,15.06,3744.0,2752.0,4,,253.99,17549,17408
20,0.0,,251.17,252.12,1680698265.0,0.0,0,0.0,7.91,0,1010.8101358967524,1010.8101358967524,0.0,0.0,0.0,0.0,253.07,77,,,,6368.0,3904.0,,,0.0,13.85,4064.0,3072.0,4,,254.01,18767,18592
21,0.0,,251.42,252.2,1680698267.0,0.0,0,0.0,7.23,0,1010.5554070282295,1010.5554070282295,0.0,0.0,0.0,0.0,253.15,79,,,,6688.0,4192.0,,,0.0,12.65,4352.0,3360.0,4,,254.04,19985,19840
22,0.0,,251.24,252.18,1680698268.0,0.0,0,0.0,6.55,0,1010.2963008880974,1010.2963008880974,0.0,0.0,0.0,0.0,252.91,80,,,,6976.0,4512.0,,,0.0,11.46,4672.0,3680.0,4,,254.22,21190,21024
