_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,30.0,211076.599808,1680699402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1680699402,2.3666666666666667,0.0,0.0,1213.558784,0.0,35.0,4.380762664573244,178.757632,0.0,394.964992,0.0,0.0,0.0,0.4333333333333333,40.0,126.50914573244552,208112.971776,2.719744,134.0,0.0,2481.045504,0.0,34.0,1.4,1.5333333333333334,9963.413504,49.0,,,,,,,,,,,,,,
2,1,,,1680699403,2.3666666666666667,0.0,0.007999999999981355,1901.355008,0.012254348268648867,2945.0,0.3108423940768334,349.380608,3.0,1039.147008,0.0,0.0,0.0,0.4333333333333333,1065.0,0.4942268011164048,207414.726656,2.719744,163.0,0.0,2981.666816,0.0,2905.0,1.7,1.5333333333333334,11271.114752,54.0,,,,,,,,,,,,,,
3,2,,,1680699404,2.3666666666666667,0.0,0.012000000000000455,2759.626752,0.004087496204200916,5919.0,0.018361799369387234,553.795584,4.0,2074.394624,0.0,0.0,0.0,0.4333333333333333,2370.0,0.017188240955408954,206467.035136,2.719744,258.0,0.0,4110.045184,0.0,179249.0,2.2,1.5333333333333334,15307.431936,120.0,,,,,,,,,,,,,,
4,3,,,1680699405,2.3666666666666667,0.0,0.01599999999996271,2762.080256,0.004085603607739152,6705.0,0.09573239538574245,553.795584,5.0,2074.402816,0.0,0.0,0.0,0.4333333333333333,2815.0,0.09564461871610713,206464.524288,2.719744,258.0,0.0009999999999763531,4110.04928,0.0,179871.0,2.2,1.5333333333333334,15307.431936,120.0,,,,,,,,,,,,,,
5,4,,,1680699406,2.3666666666666667,0.0,0.02400000000000091,2762.32192,0.9073285254435528,7236.0,0.057370584427857335,553.795584,117.0,2074.402816,0.0,0.0,0.0,0.4,2963.0,0.00725613760707515,206464.270336,2.719744,258.0,0.036999999999920874,4110.04928,0.0,180194.0,2.2,1.5000000000000002,15307.431936,120.0,,,,,,,,,,,,,,
6,5,,,1680699407,2.3666666666666667,0.0,0.027999999999963165,2759.847936,0.004086823344088919,7860.0,0.003775522343744573,553.79968,118.0,2074.533888,0.0,0.0,0.0,0.4,3140.0,0.009562528150276707,206462.251008,2.719744,258.0,0.036999999999920874,4118.573056,0.0,180608.0,2.2,1.5000000000000002,15382.933504,120.0,,,,,,,,,,,,,,
7,6,,,1680699408,2.3666666666666667,0.0,0.031999999999982265,2759.84384,0.004086801948725369,8485.0,0.04864252169975964,553.79968,119.0,2074.533888,0.0,0.0,0.0,0.4,3323.0,0.007048136964706343,206462.251008,2.719744,258.0,0.036999999999920874,4118.573056,0.0,180971.0,2.2,1.5000000000000002,15382.933504,120.0,,,,,,,,,,,,,,
8,7,,,1680699409,2.3666666666666667,0.0,0.036000000000001364,2759.84384,0.004086426728398065,8964.0,0.0032962777612988597,553.79968,120.0,2074.533888,0.0,0.0,0.0,0.4,3481.0,0.009146572276844437,206462.251008,2.719744,258.0,0.03799999999989723,4118.573056,0.0,181268.0,2.2,1.5000000000000002,15382.933504,120.0,,,,,,,,,,,,,,
9,8,,,1680699410,2.3666666666666667,0.0,0.03999999999996362,2759.839744,0.004086929308464547,9487.0,0.0028656399292146125,553.79968,121.0,2074.533888,0.0,0.0,0.0,0.4,3633.0,0.0033126476835968247,206462.251008,2.719744,258.0,0.03799999999989723,4118.573056,0.0,181574.0,2.2,1.5000000000000002,15382.933504,120.0,,,,,,,,,,,,,,
