04_peers/peer_3_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_8_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_timestamp,03_hivemind/epoch_s,04_peers/peer_1_epoch,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,_step,03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,04_peers/peer_7_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/overshot_TBS,04_peers/peer_8_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_6_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_6_epoch,04_peers/peer_8_epoch,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/num_clients,04_peers/peer_5_epoch,04_peers/peer_7_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_3_samples_accumulated
,,,417,81,,,,8.991684932957956,8.991684932957956,1680699497.0,,,,,0,1,,0,,,,,3597.88,10.0,,,,416,,,,,,,,,,,,,,,,,0,,,,,
,,,651,88,,,,15.136072752509556,15.136072752509556,1680699504.0,,0.0,,,1,1,,0,,0.0,,,2121.89,10.0,,,,544,,,8.99,,416.0,,,,,,,,,,,,0,,,,,
,,,714,93,,,,15.136072752509556,15.136072752509556,1680699509.0,,0.0,,,2,1,,0,,0.0,,,2117.7,10.0,,,,544,,,15.14,,544.0,,,,,,,,,,,,0,,,,,
,,,29180,94,,,,3809.938968047426,3809.938968047426,1680699510.0,,0.0,,,3,8,,0,,0.0,,,0.94,0.68,,,,28416,,,15.14,,544.0,,,,,,,,,,,,0,,,,,
0.0,491.31,736.0,34433,95,499.73,4096.0,,3736.8941459648804,3736.8941459648804,1680699511.0,,0.0,,493.42,4,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,421.13,4096.0,32864,,0.0,529.3,374.9,6208.0,4160.0,4096.0,0.0,0.0,0.0,0.0,0.0,,499.6,500.56,864.0,0,0.0,0.0,0.0,0.0,4160.0
0.0,472.54,1312.0,39672,97,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699513.0,,0.0,,481.16,5,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,44950,98,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699514.0,,0.0,,481.16,6,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,50209,100,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699516.0,,0.0,,481.16,7,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,55491,101,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699517.0,,0.0,,481.16,8,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,60738,102,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699518.0,,0.0,,481.16,9,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,65973,104,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699520.0,,0.0,,481.16,10,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,71208,105,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699521.0,,0.0,,481.16,11,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
0.0,472.54,1312.0,76416,107,472.09,4704.0,,3736.8941459648804,3736.8941459648804,1680699523.0,,0.0,,481.16,12,8,0.0,0,,0.0,0.0,0.0,0.0,0.5,,462.44,4704.0,32864,,0.0,442.23,467.65,6688.0,4704.0,4704.0,0.0,0.0,0.0,0.0,0.0,,444.82,493.97,1408.0,0,0.0,0.0,0.0,0.0,4640.0
