03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_7_samples_per_second,03_hivemind/global_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_8_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_7_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_7_epoch,04_peers/peer_6_epoch_oos,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_8_epoch_oos,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_8_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_5_epoch_oos,03_hivemind/num_peers,04_peers/peer_4_epoch,04_peers/peer_5_epoch,04_peers/peer_6_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS
,,,,,2528,,,,38.46,,,726.310710490698,,,0,,,,,,726.310710490698,1680700007.0,,,,,,,,,,4837,85,,,,,0,,,10.0,,,,5,,,,0,
,145.09,480.0,,,8864,0.0,,,19.46,148.58,138.78,1217.5243102635654,,,1,,0.0,0.0,,,1217.5243102635654,1680700008.0,,0.0,0.0,147.69,,,512.0,512.0,,9079,86,0.0,146.17,512.0,,0,,0.0,10.0,,512.0,0.0,6,0.0,0.0,,0,
,232.86,1568.0,,,11296,0.0,,,14.78,234.5,233.13,1431.2120678946437,,,2,,0.0,0.0,,0.0,1431.2120678946437,1680700010.0,,0.0,0.0,235.11,,45.15,1568.0,1600.0,896.0,11608,88,0.0,236.78,1600.0,,0,,0.0,10.0,,1632.0,0.0,8,0.0,0.0,0.0,0,
,235.94,1920.0,224.0,78.24,13888,0.0,0.0,,11.09,236.68,238.23,1664.4969310818242,0.0,256.0,3,,0.0,0.0,0.0,0.0,1664.4969310818242,1680700011.0,,0.0,0.0,236.69,0.0,97.62,1888.0,1920.0,1216.0,14307,89,0.0,239.88,1920.0,,0,,0.0,8.07,67.94,1952.0,0.0,8,0.0,0.0,0.0,0,
,237.49,2240.0,544.0,161.89,16672,0.0,0.0,,8.77,236.83,236.79,1799.41074524781,0.0,576.0,4,,0.0,0.0,0.0,0.0,1799.41074524781,1680700012.0,,0.0,0.0,237.4,0.0,159.07,2208.0,2240.0,1536.0,16987,90,0.0,240.22,2272.0,,0,,0.0,6.38,154.81,2272.0,0.0,8,0.0,0.0,0.0,0,
,231.6,2592.0,928.0,210.95,19296,0.0,0.0,,7.02,232.74,235.83,1863.7826576056086,0.0,928.0,5,,0.0,0.0,0.0,0.0,1863.7826576056086,1680700014.0,,0.0,0.0,233.75,0.0,205.62,2560.0,2560.0,1888.0,19684,92,0.0,238.16,2624.0,,0,,0.0,5.11,210.76,2592.0,0.0,8,0.0,0.0,0.0,0,
,234.7,2912.0,1248.0,228.79,22016,0.0,0.0,,5.51,235.5,234.99,1886.8629614024944,0.0,1248.0,6,,0.0,0.0,0.0,0.0,1886.8629614024944,1680700015.0,,0.0,0.0,236.04,0.0,225.29,2880.0,2912.0,2208.0,22376,93,0.0,239.75,2944.0,,0,,0.0,4.01,228.71,2944.0,0.0,8,0.0,0.0,0.0,0,
,235.32,3232.0,1600.0,235.65,24672,0.0,0.0,,4.07,236.27,235.15,1893.7412883749612,0.0,1600.0,7,,0.0,0.0,0.0,0.0,1893.7412883749612,1680700017.0,,0.0,0.0,236.49,0.0,232.68,3232.0,3232.0,2560.0,25052,95,0.0,239.49,3296.0,,0,,0.0,2.96,235.81,3264.0,0.0,8,0.0,0.0,0.0,0,
,235.89,3584.0,1920.0,238.16,27392,0.0,0.0,,2.65,235.91,235.44,1895.621922746251,0.0,1952.0,8,,0.0,0.0,0.0,0.0,1895.621922746251,1680700018.0,,0.0,0.0,235.15,0.0,235.74,3552.0,3584.0,2880.0,27753,96,0.0,239.67,3616.0,,0,,0.0,1.92,237.77,3584.0,0.0,8,0.0,0.0,0.0,0,
,236.73,3904.0,2272.0,239.27,30016,0.0,0.0,,1.24,236.3,236.47,1890.9446506228746,0.0,2272.0,9,,0.0,0.0,0.0,0.0,1890.9446506228746,1680700020.0,,0.0,0.0,231.81,0.0,236.81,3904.0,3904.0,3232.0,30427,98,0.0,238.95,3968.0,,0,,0.0,0.9,239.27,3936.0,0.0,8,0.0,0.0,0.0,0,
