04_peers/peer_8_samples_per_second,04_peers/peer_7_samples_accumulated,_step,03_hivemind/epoch_s,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,04_peers/peer_7_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_accumulated,_runtime,04_peers/peer_3_epoch,04_peers/peer_5_epoch,03_hivemind/undershot_TBS,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_7_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_4_epoch,04_peers/peer_8_epoch,03_hivemind/global_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,04_peers/peer_8_samples_accumulated,03_hivemind/num_peers,04_peers/peer_1_epoch,03_hivemind/num_clients,04_peers/peer_5_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_7_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_4_epoch_oos,_timestamp,03_hivemind/per_epoch_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_5_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s
,,0,,,,,,,85,,,,,,296.2464545711905,,,,,,,,,,,,0,296.2464545711905,,,2141,1056,,5,,0,,,,,,,,1680700252.0,,,,,103.38,10.0
,,1,,,,,72.91,192.0,86,0.0,0.0,,,192.0,1079.799802796059,0.0,,63.44,53.42,0.0,,,224.0,0.0,0.0,,0,1079.799802796059,192.0,,7345,7136,,6,0.0,0,53.05,,256.0,,,0.0,0.0,1680700253.0,,53.43,0.0,,23.54,10.0
,,2,,,,,212.97,1248.0,88,0.0,0.0,,27.66,1280.0,1144.873924560852,0.0,,210.48,208.84,0.0,0.0,,1280.0,0.0,0.0,,0,1144.873924560852,1280.0,736.0,9195,8864,,6,0.0,0,211.51,,1312.0,0.0,,0.0,0.0,1680700255.0,,208.33,0.0,,20.59,10.0
,,3,,,,,218.4,1536.0,89,0.0,0.0,,66.74,1536.0,1376.445911592251,0.0,,215.57,214.23,0.0,0.0,,1568.0,0.0,0.0,,0,1376.445911592251,1568.0,1056.0,11698,11232,,8,0.0,0,216.59,,1600.0,0.0,,0.0,0.0,1680700256.0,,213.35,0.0,,15.31,10.0
79.89,320.0,4,,,,0.0,220.38,1824.0,93,0.0,0.0,,117.32,1824.0,1573.7442074381543,0.0,,217.29,216.28,0.0,0.0,91.38,1856.0,0.0,0.0,0.0,0,1573.7442074381543,1888.0,1344.0,18680,13792,288.0,8,0.0,0,218.53,,1888.0,0.0,0.0,0.0,0.0,1680700260.0,,215.37,0.0,0.0,8.95,6.51
152.77,640.0,5,,,,0.0,221.27,2144.0,95,0.0,0.0,,168.44,2144.0,1731.5800126587571,0.0,,217.79,217.1,0.0,0.0,161.21,2176.0,0.0,0.0,0.0,0,1731.5800126587571,2176.0,1664.0,21624,20992,608.0,8,0.0,0,219.08,,2240.0,0.0,0.0,0.0,0.0,1680700262.0,,216.08,0.0,0.0,6.44,4.68
213.19,1536.0,6,,,,0.0,220.84,3040.0,96,0.0,0.0,,212.68,3040.0,1738.5205614801362,0.0,,217.74,217.82,0.0,0.0,215.44,3072.0,0.0,0.0,0.0,0,1738.5205614801362,3104.0,2560.0,24065,23520,1504.0,8,0.0,0,218.54,,3136.0,0.0,0.0,0.0,0.0,1680700263.0,,215.33,0.0,0.0,5.01,3.64
215.48,1856.0,7,,,,0.0,220.44,3360.0,97,0.0,0.0,,216.14,3328.0,1738.9969817825743,0.0,,217.64,218.31,0.0,0.0,217.36,3392.0,0.0,0.0,0.0,0,1738.9969817825743,3424.0,2880.0,26475,25856,1824.0,8,0.0,0,217.67,,3456.0,0.0,0.0,0.0,0.0,1680700264.0,,215.48,0.0,0.0,3.62,2.63
215.92,2144.0,8,,,,0.0,220.61,3648.0,99,0.0,0.0,,216.83,3648.0,1740.3029546096705,0.0,,217.46,218.19,0.0,0.0,215.66,3680.0,0.0,0.0,0.0,0,1740.3029546096705,3712.0,3168.0,28903,28384,2112.0,8,0.0,0,219.15,,3744.0,0.0,0.0,0.0,0.0,1680700266.0,,215.18,0.0,0.0,2.22,1.62
214.9,2464.0,9,,,,0.0,220.43,3968.0,100,0.0,0.0,,217.24,3936.0,1739.8684828390165,0.0,,217.86,218.28,0.0,0.0,216.96,4000.0,0.0,0.0,0.0,0,1739.8684828390165,4032.0,3488.0,31335,30720,2432.0,8,0.0,0,219.59,,4064.0,0.0,0.0,0.0,0.0,1680700267.0,,215.04,0.0,0.0,0.82,0.6
