_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.599808,1680700400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1680700400,2.966666666666667,0.0,0.0,1235.70176,0.0,51.0,2.086958526559865,178.368512,0.0,394.551296,0.0,0.0,0.0,2.166666666666667,19.0,1.4279190122507688,208090.775552,2.719744,134.0,0.0,2481.012736,0.0,43.0,1.4,3.266666666666666,9963.380736,47.0,,,,,,,,,,,,,,
2,2,,,1680700401,2.966666666666667,0.0,0.007999999999981355,1758.49472,0.012254196767298043,2979.0,0.31703745125084287,183.17312,3.0,792.670208,0.0,0.0,0.0,2.166666666666667,1001.0,0.8968141356254075,207567.978496,2.719744,153.0,0.0009999999999763531,2895.589376,0.0,2898.0,1.7,3.266666666666666,10511.917056,51.0,,,,,,,,,,,,,,
3,3,,,1680700402,2.966666666666667,0.0,0.01599999999996271,2176.36864,0.3227903964422301,7275.0,0.02422045227718179,185.335808,19.0,1195.839488,0.0,0.0,0.0,2.166666666666667,3858.0,0.0230074343906346,207150.104576,2.719744,192.0,0.007999999999924512,3538.857984,0.0,10863.0,1.9,3.266666666666666,13097.529344,56.0,,,,,,,,,,,,,,
4,4,,,1680700403,3.5000000000000004,0.0,0.01999999999998181,2757.85728,0.004086675569044786,10064.0,0.05653500598449118,346.435584,20.0,1860.358144,0.0,0.0,0.0,10.0,5718.0,0.06403788696041139,206558.208,2.719744,230.0,0.007999999999924512,4052.35712,0.0,15830.0,2.1,4.866666666666666,14284.14464,62.0,,,,,,,,,,,,,,
5,5,,,1680700404,3.5000000000000004,0.0,0.027999999999963165,2577.1008,0.004086283848961464,11562.0,0.00401445465998821,609.308672,21.0,1994.272768,0.0,0.0,0.0,10.0,6204.0,0.0037031948265867118,206596.472832,2.719744,376.0,0.008999999999900865,3957.440512,0.0,17296.0,2.1,4.866666666666666,16216.047616,71.0,,,,,,,,,,,,,,
6,6,,,1680700405,3.5000000000000004,0.0,0.031999999999982265,5232.078848,0.004077751582607516,16294.0,0.058737144372734876,1509.122048,22.0,5021.7984,0.0,0.0,0.0,10.0,8397.0,0.011970430978292215,203042.01728,2.719744,604.0,0.008999999999900865,6093.500416,0.0,910452.0,3.8,4.866666666666666,21899.620352,255.0,,,,,,,,,,,,,,
7,7,,,1680700406,3.5000000000000004,0.0,0.036000000000001364,5822.779392,0.004079635955416258,20313.0,0.004278836982539921,2045.3376,23.0,5850.947584,0.0,0.0,0.0,10.0,10411.0,0.004342581141932162,201912.696832,2.719744,614.0,0.008999999999900865,6394.822656,0.0,964689.0,4.3,4.866666666666666,22806.528,425.0,,,,,,,,,,,,,,
8,8,,,1680700407,3.5000000000000004,0.0,0.051999999999964075,5824.172032,0.0980704857043905,20841.0,0.057080087369647314,2045.341696,26.0,5851.062272,0.0,0.0,0.0,10.0,10590.0,0.011029737376869846,201908.051968,2.719744,614.0,0.010999999999967258,6403.346432,0.0,965015.0,4.3,4.866666666666666,22882.029568,425.0,,,,,,,,,,,,,,
9,9,,,1680700408,3.4666666666666663,0.0,0.055999999999983174,5824.167936,0.004086890419152717,21297.0,0.003168936488097376,2045.341696,27.0,5851.062272,0.0,0.0,0.0,9.2,10739.0,0.004605733923937704,201908.051968,2.719744,614.0,0.010999999999967258,6403.346432,0.0,965292.0,4.3,4.8,22882.029568,425.0,,,,,,,,,,,,,,
