04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/estimated_current_samples,_timestamp,04_peers/peer_5_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/optimistic_total_samples_per_second,_step,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_6_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_8_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_8_epoch_oos,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_epoch,04_peers/peer_8_epoch,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_5_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch,04_peers/peer_7_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_5_samples_per_second,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_7_samples_accumulated,_runtime,03_hivemind/num_peers,04_peers/peer_6_epoch,04_peers/peer_3_samples_per_second
,,2254,1680700500.0,,,,,314.3877510253523,0,,97.06,,2112,,,,,,,,,,,,,0,,,,,,314.3877510253523,,,,,,,,,,,0,,10.0,,86,6,,
62.02,384.0,3101,1680700501.0,0.0,,0.0,,371.44374523724656,1,0.0,79.87,160.0,2944,,,,2.08,,,384.0,0.0,,64.86,0.0,,0,,,62.14,384.0,384.0,371.44374523724656,416.0,,0.0,0.0,0.0,,0.0,0.0,,61.28,0,0.0,10.0,,87,6,0.0,62.02
74.32,512.0,3896,1680700503.0,0.0,,0.0,,410.39097003765187,2,0.0,70.35,320.0,3712,,,,5.39,,,544.0,0.0,,74.38,0.0,,0,,,72.71,512.0,512.0,410.39097003765187,544.0,,0.0,0.0,0.0,,0.0,0.0,,72.11,0,0.0,10.0,,89,6,0.0,72.54
80.68,640.0,5803,1680700505.0,0.0,,0.0,,542.9105502617207,3,0.0,49.67,448.0,5600,,,,9.3,,,672.0,0.0,,80.93,0.0,,0,,,80.02,640.0,640.0,542.9105502617207,672.0,,0.0,0.0,0.0,,0.0,0.0,,79.76,0,0.0,10.0,,91,8,0.0,79.69
87.21,896.0,6873,1680700507.0,0.0,,0.0,,593.8862944082714,4,0.0,43.6,672.0,6624,224.0,,0.0,19.71,41.92,42.17,896.0,0.0,0.0,87.55,0.0,0.0,0,,,88.19,896.0,896.0,593.8862944082714,896.0,,0.0,0.0,0.0,0.0,0.0,0.0,,88.46,0,0.0,10.0,224.0,93,8,0.0,87.72
89.19,1024.0,7962,1680700508.0,0.0,,0.0,,636.4830310855268,5,0.0,38.97,800.0,7744,352.0,,0.0,27.87,57.99,58.37,1024.0,0.0,0.0,89.55,0.0,0.0,0,,,90.25,1024.0,1024.0,636.4830310855268,1024.0,,0.0,0.0,0.0,0.0,0.0,0.0,,90.8,0,0.0,10.0,352.0,94,8,0.0,89.87
90.75,1152.0,9026,1680700509.0,0.0,,0.0,,669.0008119113179,6,0.0,35.49,960.0,8896,480.0,,0.0,39.86,69.38,69.91,1184.0,0.0,0.0,91.14,0.0,0.0,0,,,91.59,1152.0,1184.0,669.0008119113179,1152.0,,0.0,0.0,0.0,0.0,0.0,0.0,,92.52,0,0.0,10.0,480.0,95,8,0.0,91.33
91.53,1312.0,10086,1680700511.0,0.0,,0.0,,692.7261788161412,7,0.0,32.74,1088.0,9952,608.0,,0.0,50.07,78.84,77.89,1312.0,0.0,0.0,92.38,0.0,0.0,0,,,92.63,1312.0,1312.0,692.7261788161412,1312.0,,0.0,0.0,0.0,0.0,0.0,0.0,,93.39,0,0.0,10.0,640.0,97,8,0.0,92.28
91.98,1440.0,11143,1680700512.0,0.0,,0.0,,709.6745119392392,8,0.0,30.47,1216.0,10976,768.0,,0.0,59.88,83.69,84.43,1440.0,0.0,0.0,92.98,0.0,0.0,0,,,93.12,1440.0,1440.0,709.6745119392392,1440.0,,0.0,0.0,0.0,0.0,0.0,0.0,,93.96,0,0.0,10.0,768.0,98,8,0.0,92.68
92.22,1568.0,12204,1680700514.0,0.0,,0.0,,722.1771397160632,9,0.0,28.47,1344.0,12000,896.0,,0.0,68.55,86.87,87.82,1568.0,0.0,0.0,93.38,0.0,0.0,0,,,93.59,1568.0,1568.0,722.1771397160632,1568.0,,0.0,0.0,0.0,0.0,0.0,0.0,,94.26,0,0.0,10.0,896.0,100,8,0.0,92.98
