04_peers/peer_2_epoch,04_peers/peer_4_epoch,04_peers/peer_7_epoch,04_peers/peer_1_epoch_oos,03_hivemind/num_clients,04_peers/peer_3_epoch_oos,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,_step,04_peers/peer_8_samples_per_second,04_peers/peer_8_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_8_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_5_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_6_samples_accumulated,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_6_epoch,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_per_second,04_peers/peer_7_samples_per_second,03_hivemind/per_epoch_training_samples,_runtime,04_peers/peer_1_epoch,04_peers/peer_3_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_5_samples_accumulated,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_4_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated
,,,,0,,,,,6.76,,,9424,9120,0,,,,,,,2301.231042540095,1680700824.0,,10.14,,,,,,2301.231042540095,,,,0,,,,,86,,,,,6,,,,,,
0.0,0.0,,0.0,0,0.0,0.0,,,3.26,670.79,2656.0,15244,14688,1,,,0.0,,661.21,736.0,3581.7036104164777,1680700825.0,0.0,4.89,679.82,2656.0,160.0,,,3581.7036104164777,,0.0,,0,30.63,187.53,,,87,0.0,0.0,0.0,352.0,6,,,0.0,,71.25,2560.0
0.0,0.0,,0.0,0,0.0,0.0,,,2.01,665.9,3584.0,20815,20224,2,,,0.0,,661.61,1664.0,3969.779779171482,1680700827.0,0.0,3.01,663.02,3584.0,1088.0,,,3969.779779171482,,0.0,,0,347.78,646.24,,,89,0.0,0.0,0.0,1280.0,6,,,0.0,,597.15,3488.0
0.0,0.0,,0.0,0,0.0,0.0,,,0.5,664.23,4480.0,30668,30144,3,,,0.0,,650.04,2592.0,3913.541753604507,1680700829.0,0.0,0.54,677.55,4512.0,2048.0,,,3913.541753604507,,0.0,,0,640.21,668.88,,,91,0.0,0.0,0.0,2208.0,6,,,0.0,,668.86,4384.0
0.0,0.0,,0.0,0,0.0,0.0,,,0.5,677.05,6144.0,36115,35520,4,,,0.0,,648.01,4160.0,3973.06189734312,1680700831.0,0.0,0.0,635.62,6208.0,3744.0,,,3973.06189734312,,0.0,,0,615.69,656.92,,,93,0.0,0.0,0.0,3840.0,6,,,0.0,,680.25,6048.0
0.0,0.0,,0.0,0,0.0,0.0,,,0.5,684.05,7072.0,41787,36832,5,,,0.0,,700.41,5024.0,4022.542621864726,1680700832.0,0.0,0.0,665.62,7104.0,4608.0,,,4022.542621864726,,0.0,,0,617.11,664.99,,,94,0.0,0.0,0.0,4736.0,8,,,0.0,,640.89,6976.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,47445,36832,6,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700834.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,96,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,53076,36832,7,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700835.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,97,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,58704,36832,8,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700836.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,98,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,64396,36832,9,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700838.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,100,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,69999,36832,10,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700839.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,101,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,75618,36832,11,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700841.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,103,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,81241,36832,12,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700842.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,104,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,86919,36832,13,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700843.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,105,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,92925,36832,14,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700845.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,107,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,98594,36832,15,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700846.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,108,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.5,679.42,7168.0,104253,36832,16,10.94,0.0,0.0,0.0,686.79,5088.0,4022.542621864726,1680700848.0,0.0,0.0,691.11,7200.0,5152.0,32.0,32.0,4022.542621864726,,0.0,,0,622.79,646.72,11.83,,110,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,3.94,679.42,7168.0,5355,4640,17,10.94,0.0,0.0,0.0,686.79,5088.0,5066.340732928368,1680700849.0,0.0,5.41,691.11,7200.0,5152.0,32.0,32.0,5066.340732928368,,0.0,,1,622.79,646.72,11.83,,111,0.0,0.0,0.0,5088.0,8,,,0.0,,672.94,7072.0
