04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_3_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_accumulated,_timestamp,03_hivemind/num_peers,03_hivemind/undershot_TBS,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/global_samples_accumulated,_runtime,03_hivemind/overshot_TBS,04_peers/peer_4_samples_per_second,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_4_epoch,03_hivemind/num_clients,03_hivemind/reached_TBS,_step,03_hivemind/total_training_samples,04_peers/peer_8_samples_accumulated,04_peers/peer_1_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_6_epoch,03_hivemind/global_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_8_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_5_epoch
,,,,,,,121.44968310290822,,,,,,266.24,10.0,,1680701054.0,3,,,,,,416,86,,,,,433,,0,,0,,,,,,,121.44968310290822,,0,,,,,,,,
,0.0,,36.89,,,,616.4953206366404,0.0,0.0,,0.0,,50.0,10.0,128.0,1680701056.0,3,,128.0,,160.0,,1760,88,,,,37.35,1946,,0,,1,,,47.21,,,,616.4953206366404,,0,,,,0.0,,,0.0,
,0.0,,201.36,,,,984.1698610389337,0.0,0.0,,0.0,,29.66,10.0,576.0,1680701057.0,3,,576.0,,608.0,,3328,89,,,,202.27,3579,,0,,2,,,212.86,,,,984.1698610389337,,0,,,,0.0,,,0.0,
,0.0,,324.71,,,,1234.223396636351,0.0,0.0,,0.0,,21.54,10.0,1088.0,1680701058.0,6,,1120.0,,1120.0,,5984,90,,,,328.86,6178,,0,,3,,,330.59,,,,1234.223396636351,,0,,,,0.0,,,0.0,
576.0,0.0,0.0,360.71,,256.0,,1678.975627631068,0.0,0.0,0.0,0.0,,13.96,9.31,1664.0,1680701060.0,6,,1632.0,82.53,1664.0,192.0,9088,92,,16.55,,358.78,9323,0.0,0,,4,,,362.71,52.94,,,1678.975627631068,0.0,0,,,,0.0,0.0,,0.0,0.0
1088.0,0.0,0.0,366.06,,768.0,,2002.3231623584738,0.0,0.0,0.0,0.0,,10.14,6.76,2176.0,1680701061.0,6,,2144.0,264.25,2208.0,704.0,12160,93,,82.83,,364.33,12455,0.0,0,,5,,,367.64,233.87,,,2002.3231623584738,0.0,0,,,,0.0,0.0,,0.0,0.0
1600.0,0.0,0.0,366.98,,1280.0,,2151.7148740119405,0.0,0.0,0.0,0.0,,7.99,5.32,2688.0,1680701062.0,6,,2656.0,345.08,2720.0,1216.0,15232,94,,226.34,,360.26,15585,0.0,0,,6,,,368.33,335.33,,,2151.7148740119405,0.0,0,,,,0.0,0.0,,0.0,0.0
2112.0,0.0,0.0,366.99,,1792.0,,2191.3877311701754,0.0,0.0,0.0,0.0,,6.45,4.3,3200.0,1680701064.0,6,,3168.0,363.94,3232.0,1728.0,18336,96,,329.29,,365.08,18637,0.0,0,,7,,,367.85,358.57,,,2191.3877311701754,0.0,0,,,,0.0,0.0,,0.0,0.0
2624.0,0.0,0.0,366.51,,2336.0,,2310.3223748129544,0.0,0.0,0.0,0.0,,4.62,3.36,3712.0,1680701065.0,8,,3680.0,367.58,3744.0,2240.0,21792,97,,358.4,,365.3,22105,0.0,0,,8,,,368.28,365.31,,,2310.3223748129544,0.0,0,,,,0.0,0.0,,0.0,0.0
3136.0,0.0,0.0,365.83,53.91,2848.0,,2685.8663788709764,0.0,0.0,0.0,0.0,0.0,2.4,1.75,4224.0,1680701067.0,8,,4192.0,368.5,4256.0,2752.0,25920,99,,365.46,,365.63,26320,0.0,0,,9,,192.0,368.79,367.33,54.88,192.0,2685.8663788709764,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
