_step,04_peers/peer_7_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/num_clients,04_peers/peer_8_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_5_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_4_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_4_epoch,_runtime,04_peers/peer_1_epoch,04_peers/peer_5_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_8_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_6_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_8_epoch,03_hivemind/reached_TBS,04_peers/peer_7_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_5_samples_per_second,04_peers/peer_4_samples_accumulated
0,,,,,,0,,,,,32,,1,,,,10.0,,,33,,6.576139313671133,1680701315.0,,,,,,6.576139313671133,,,91,,,,,,,0,,,,,,,,,4977.9,,
1,,,,,,0,,,,,1024,,3,,,0.0,10.0,,32.0,1051,,254.12632522249464,1680701317.0,,,,,,254.12632522249464,,,93,0.0,,,,,,0,,,,6.58,,,,,124.81,,
2,,,0.0,,0.0,0,,,,,1984,320.0,3,0.0,,0.0,10.0,78.16,384.0,2092,,496.94641373596835,1680701318.0,,,79.68,320.0,,496.94641373596835,,,94,0.0,,,,,,0,,0.0,,96.29,,,,,61.73,,
3,,,0.0,,0.0,0,,,,,3456,640.0,6,0.0,,0.0,10.0,160.46,704.0,3595,,704.4968000572493,1680701319.0,,,161.8,640.0,,704.4968000572493,,,95,0.0,,,,,,0,,0.0,,174.69,,,,,41.41,,
4,,,0.0,,0.0,0,,3.25,20.79,,5568,992.0,6,0.0,0.0,0.0,10.0,217.33,1056.0,5741,,969.2928042137305,1680701321.0,0.0,,217.57,992.0,96.0,969.2928042137305,,0.0,97,0.0,0.0,,,96.0,0.0,0,,0.0,0.0,224.51,,,,,27.88,21.04,224.0
5,,,0.0,,0.0,0,,16.02,113.51,,7648,1344.0,6,0.0,0.0,0.0,10.0,240.77,1408.0,7878,,1176.238087893759,1680701322.0,0.0,,240.5,1344.0,448.0,1176.238087893759,,0.0,98,0.0,0.0,,,448.0,0.0,0,,0.0,0.0,243.95,,,,,21.16,114.55,576.0
6,,,0.0,,0.0,0,,49.17,186.16,,9792,1696.0,6,0.0,0.0,0.0,10.0,248.74,1760.0,10147,,1324.8085829175066,1680701324.0,0.0,,249.0,1696.0,768.0,1324.8085829175066,,0.0,100,0.0,0.0,,,800.0,0.0,0,,0.0,0.0,250.36,,,,,17.07,192.81,928.0
7,,,0.0,,0.0,0,,105.32,231.08,,12032,2048.0,6,0.0,0.0,0.0,9.51,251.6,2112.0,12306,,1433.9272045099633,1680701325.0,0.0,,251.6,2080.0,1152.0,1433.9272045099633,,0.0,101,0.0,0.0,,,1152.0,0.0,0,,0.0,0.0,253.0,,,,,14.27,232.21,1248.0
8,,,0.0,,0.0,0,,181.95,245.9,,14208,2432.0,8,0.0,0.0,0.0,8.86,252.3,2496.0,14495,,1499.9845261499663,1680701327.0,0.0,,252.57,2432.0,1504.0,1499.9845261499663,,0.0,103,0.0,0.0,,,1536.0,0.0,0,,0.0,0.0,253.65,,,,,12.18,247.56,1632.0
9,0.0,,0.0,32.0,0.0,0,0.0,225.72,249.26,32.0,17024,2784.0,8,0.0,0.0,0.0,6.58,252.54,2848.0,17369,,1700.97815502456,1680701328.0,0.0,,252.86,2784.0,1856.0,1700.97815502456,,0.0,104,0.0,0.0,,6.57,1888.0,0.0,0,,0.0,0.0,254.31,6.7,0.0,,0.0,9.05,252.02,1984.0
