04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,04_peers/peer_3_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/epoch_based_sps,_step,03_hivemind/epoch_s,03_hivemind/num_peers,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/estimated_current_samples,03_hivemind/undershot_TBS,04_peers/peer_2_samples_accumulated,_runtime,04_peers/peer_3_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_4_epoch,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,04_peers/peer_3_samples_accumulated,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_4_samples_per_second
,64,,0,,,,,0,,1,,,64,,,40,,,1.2824075953104987,1680786700.0,,0,,,25501.96,,,,10.0,,,,1.2824075953104987,
,96,,0,0.0,,,,1,,1,0.0,,97,,,41,,64.0,1.9919966227080637,1680786701.0,,0,,,16401.27,,,,10.0,1.28,,,1.9919966227080637,
,128,,0,0.0,,,,2,,1,0.0,,130,,,42,,96.0,2.7481289457208202,1680786702.0,,0,,,11876.53,,,,10.0,1.99,,,2.7481289457208202,
,160,,0,0.0,,,,3,,1,0.0,,163,,,43,,128.0,3.5507735628151154,1680786703.0,,0,,,9182.43,,,,10.0,2.75,,,3.5507735628151154,
,224,,0,0.0,,,,4,,1,0.0,,226,,,45,,160.0,5.293813683963433,1680786705.0,,0,,,6147.09,,,,10.0,3.55,,,5.293813683963433,
,256,,0,0.0,,,,5,,1,0.0,,261,,,46,,224.0,6.230778099479384,1680786706.0,,0,,,5217.23,,,,10.0,5.29,,,6.230778099479384,
,416,,0,0.0,,,,6,,4,0.0,,425,,,47,,256.0,23.008522785143615,1680786707.0,,0,,,1405.69,,,,10.0,6.23,,,23.008522785143615,
5.18,576,0.0,0,0.0,0.0,0.0,,7,,4,0.0,0.0,595,,32.0,48,4.79,320.0,39.93935480411855,1680786708.0,0.0,0,,,805.56,,32.0,0.0,10.0,8.23,32.0,,39.93935480411855,4.81
12.97,768,0.0,0,0.0,0.0,0.0,,8,,4,0.0,0.0,787,,96.0,49,8.83,352.0,56.79658584876436,1680786709.0,0.0,0,,,563.08,,64.0,0.0,10.0,9.28,64.0,,56.79658584876436,8.87
15.96,928,0.0,0,0.0,0.0,0.0,,9,,4,0.0,0.0,958,,128.0,50,15.22,384.0,66.6273663245962,1680786710.0,0.0,0,,,477.43,,128.0,0.0,10.0,10.36,128.0,,66.6273663245962,15.27
