03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/global_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/epoch_s,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,_runtime,04_peers/peer_4_epoch,04_peers/peer_3_epoch,03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,_step,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,_timestamp,03_hivemind/num_clients
,,1.9934434078227028,0,,,,,,,,,,51,,,1,,,16389.58,96,1.9934434078227028,,,,,,,0,,,96,10.0,1680787687.0,0
,,5.666815007219708,0,,0.0,,,96.0,,,,,52,,,1,,,5742.68,225,5.666815007219708,0.0,,1.99,,,,1,,,224,10.0,1680787688.0,0
,,10.8459700702235,0,,0.0,,,224.0,,,,,53,,,1,,,2988.45,355,10.8459700702235,0.0,,5.67,,,,2,,,352,10.0,1680787689.0,0
,,19.967024251676175,0,,0.0,,,352.0,,,,,54,,,1,,,1615.35,514,19.967024251676175,0.0,,10.85,,,,3,,,512,10.0,1680787690.0,0
,,29.622319609114886,0,,0.0,,,512.0,,,,,55,,,1,,,1084.4,645,29.622319609114886,0.0,,19.97,,,,4,,,640,10.0,1680787691.0,0
,,41.18305315389444,0,,0.0,,,640.0,,,,,57,,,1,,,776.76,778,41.18305315389444,0.0,,29.62,,,,5,,,768,10.0,1680787693.0,0
,,54.00435210262523,0,,0.0,,,768.0,,,,,58,,,1,,,589.84,914,54.00435210262523,0.0,,41.18,,,,6,,,896,10.0,1680787694.0,0
,,70.19626691752377,0,,0.0,,,896.0,,,,,59,,,1,,,451.63,1065,70.19626691752377,0.0,,54.0,,,,7,,,1056,10.0,1680787695.0,0
,,82.01746368865074,0,,0.0,,,1056.0,,,,,60,,,1,,,384.88,1201,82.01746368865074,0.0,,70.2,,,,8,,,1184,10.0,1680787696.0,0
,,92.02828564539453,0,,0.0,,,1184.0,,,,,61,,,1,,,341.53,1338,92.02828564539453,0.0,,82.02,,,,9,,,1312,10.0,1680787697.0,0
,,136.52466472025097,0,,0.0,,,1312.0,,,,,62,,,4,,,227.24,1744,136.52466472025097,0.0,,92.03,,,,10,,,1728,10.0,1680787698.0,0
,13.14,207.0571513174187,0,0.0,0.0,17.56,4.24,1472.0,32.0,,,0.0,64,0.0,0.0,4,0.0,,146.96,2340,207.0571513174187,0.0,,101.59,128.0,96.0,,11,,0.0,2304,10.0,1680787700.0,0
,36.65,266.45170435279886,0,0.0,0.0,36.3,27.08,1600.0,192.0,,,0.0,65,0.0,0.0,4,0.0,,112.14,2888,266.45170435279886,0.0,,107.02,256.0,256.0,,12,,0.0,2816,10.0,1680787701.0,0
,55.12,323.8546544892911,0,0.0,0.0,54.62,45.87,1728.0,320.0,,,0.0,66,0.0,0.0,4,0.0,,90.49,3462,323.8546544892911,0.0,,110.85,384.0,384.0,,13,,0.0,3392,10.0,1680787702.0,0
,71.58,373.15993823206975,0,0.0,0.0,74.75,63.4,1888.0,448.0,,,0.0,67,0.0,0.0,4,0.0,,76.97,4044,373.15993823206975,0.0,,114.13,544.0,512.0,,14,,0.0,3968,10.0,1680787703.0,0
,88.22,407.31298857761215,0,0.0,0.0,87.49,81.73,2016.0,608.0,,,0.0,68,0.0,0.0,4,0.0,,69.13,4609,407.31298857761215,0.0,,115.72,672.0,672.0,,15,,0.0,4512,10.0,1680787704.0,0
,98.06,431.5316345520966,0,0.0,0.0,99.46,93.05,2144.0,736.0,,,0.0,69,0.0,0.0,4,0.0,,63.96,5167,431.5316345520966,0.0,,116.74,832.0,800.0,,16,,0.0,5056,10.0,1680787705.0,0
,106.72,448.54902275772713,0,0.0,0.0,106.01,101.42,2272.0,864.0,,,0.0,71,0.0,0.0,4,0.0,,60.28,5728,448.54902275772713,0.0,,117.38,960.0,960.0,,17,,0.0,5632,10.0,1680787707.0,0
,111.31,459.33886374072404,0,0.0,0.0,110.72,108.67,2432.0,1024.0,,,0.0,72,0.0,0.0,4,0.0,,57.64,6290,459.33886374072404,0.0,,117.85,1088.0,1088.0,,18,,0.0,6176,10.0,1680787708.0,0
