_runtime,01_general/step,cpu/interrupts/interrupts_count,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_step,process/memory/resident_set_size_proc_MB,03_hivemind/global_epoch,disk/time/disk_write_time_sys_s,02_timing/step_time_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,process/memory/shared_memory_proc_MB,disk/counter/disk_read_sys_count,01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,cpu/interrupts/ctx_switches_count,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/backward_time_s,memory/used_memory_sys_percent,process/memory/data_resident_set_proc_MB,memory/used_memory_sys_MB,02_timing/opt_step_time_s,memory/total_memory_sys_MB,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/forward_time_s,01_general/lr,03_hivemind/num_peers,cpu/logical_core_count,01_general/minibatch_loss,02_timing/dataload_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,_timestamp,disk/counter/disk_write_sys_count,memory/available_memory_sys_MB
1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,31557.189632,,,,,,,,,8.0,,,,,1680986008.0,,
1,,13.0,1009.606656,125.0,0.12558303823746966,0.237589551156623,1,398.753792,,0.0,,,,177.741824,0.0,,0.0,2.654208,5.5,8492.62592,18.0,,4.5,,3.7,0.0,705.507328,,,1.0,3.0,32.0,0.0,0.0,,,,,,,0.0,0.0,1680986008.0,0.0,30390.448128
2,,4074.0,1232.95744,149.0,0.3255666676587273,0.34053470037344385,2,603.897856,,0.0010000000002037268,,,,182.677504,0.0,,0.0,2.654208,5.5,8849.936384,2544.0,,4.5,,4.8,0.0,1060.274176,,,993.0,3.0,33.0,0.0,0.00816148324390169,,,,,,,0.003999999999990678,0.0,1680986009.0,2.0,30035.677184
3,,4689.0,1813.745664,149.0,0.04249972214217216,0.010760533991225984,3,1155.50208,,0.0020000000004074536,,,,182.677504,0.0,,0.0,2.654208,5.5,9430.724608,2736.0,,4.5,,6.6,0.0,1614.761984,,,1219.0,3.0,35.0,0.0,0.004084057384153538,,,,,,,0.007999999999981355,0.0,1680986010.0,3.0,29481.18528
4,,6254.0,1845.78048,149.0,0.02606191497377116,0.0610454233344881,4,1198.432256,,0.19000000000050932,,,,183.791616,0.0,,0.0,2.654208,5.5,9663.680512,3213.0,,4.5,,6.7,0.0,1658.179584,,,2256.0,3.0,37.0,0.0,2.743984988244178,,,,,,,0.027999999999991587,0.0,1680986011.0,164.0,29437.755392
5,,7553.0,2053.353472,160.0,0.018957932840426645,0.013659924629896791,5,1526.685696,,0.1999999999998181,,,,314.576896,0.0,,0.0,2.654208,5.75,10242.400256,3694.0,,5.25,,7.6,0.0,1939.791872,,,2838.0,6.75,38.0,0.0,0.13481196663868295,,,,,,,0.036000000000001364,0.0,1680986012.0,172.0,29143.564288
6,,8102.0,2788.356096,160.0,0.8057829399749058,0.07090819663298203,6,2377.240576,,0.1999999999998181,,,,430.313472,0.0,,0.0,2.654208,5.75,11279.392768,3959.0,,5.25,,10.0,0.0,2678.74304,,,3158.0,6.75,41.0,0.0,0.004084720600225819,,,,,,,0.04399999999998272,0.0,1680986013.0,173.0,28404.563968
7,,10405.0,2677.90336,462.0,0.05482769872517742,0.0575710773966106,7,2741.252096,,0.20300000000042928,,,,938.561536,0.0,,0.0,2.654208,5.75,13361.635328,6099.0,,5.25,,11.1,0.0,2542.997504,,,4422.0,6.75,47.0,0.0,0.01633267301733617,,,,,,,0.0519999999999925,0.0,1680986014.0,176.0,28067.598336
8,,83305.0,4791.76704,631.0,0.07940239830985506,0.10508346613336111,8,5246.562304,,0.2039999999997235,,,,1338.396672,2.0,,0.016268118420131317,2.654208,5.75,18517.725184,7851.0,,5.25,,19.6,0.0,4836.855808,,,5337.0,6.75,49.0,0.0,0.004067029605597243,,,,,,,0.060000000000002274,0.0009999999999994458,1680986015.0,177.0,25373.044736
9,,232849.0,5273.071616,857.0,0.01664870237051818,0.018130357201333262,9,6239.453184,,0.21000000000003638,,,,1852.874752,2.0,,0.0,2.654208,5.75,19513.577472,9180.0,,5.25,,24.0,0.0,5712.863232,,,6052.0,6.75,51.0,0.0,0.18761255401906038,,,,,,,0.07200000000000273,0.0009999999999994458,1680986016.0,184.0,23983.005696
10,,241134.0,5043.15904,900.0,137.28463189102106,0.48602602451400406,10,6174.343168,,0.2110000000002401,,,,2048.610304,6.0,,0.25700418764486277,2.654208,6.75,19766.607872,12230.0,,8.625,,25.4,0.0,5909.876736,,,8705.0,23.25,52.0,0.0,0.008158863100976372,,,,,,,0.09199999999998454,0.004999999999999005,1680986017.0,186.0,23552.303104
11,,244067.0,5043.433472,908.0,106.46694947252699,0.06760578242006472,11,6280.425472,,0.2899999999999636,,,0.0060926420001123915,2154.594304,6.0,,0.0,2.654208,6.75,19946.729472,13484.0,,8.625,,27.5,0.0,6508.494848,,,10063.0,23.25,54.0,0.0,0.2938938165163978,,,,,,,0.09999999999999432,0.004999999999999005,1680986018.0,242.0,22892.589056
12,,244938.0,5061.337088,908.0,0.03131342446566601,0.08123464807766206,12,6469.398528,,0.29100000000016735,,,,2339.643392,6.0,,0.0,2.654208,6.75,20410.036224,13842.0,,8.625,,29.0,0.0,7010.373632,,,10343.0,23.25,55.0,0.0,0.004083666158558072,,,,,,,0.103999999999985,0.004999999999999005,1680986019.0,243.0,22390.706176
13,,245888.0,5145.915392,933.0,0.04939464914124016,0.07201425594302771,13,6605.398016,,0.2920000000003711,,,,2399.485952,6.0,,0.0,2.654208,6.75,28584.894464,14422.0,0.00031801999989511387,8.625,0.46812788700003694,29.5,0.0,7156.969472,0.1072888230000899,,10619.0,23.25,56.0,0.0,0.004083652568941605,2.199656614999867,,,,,,0.10800000000000409,0.004999999999999005,1680986020.0,244.0,22244.110336
13,0.0,,,,,,14,,0.0,,3.5732818110000153,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,0.0001,1.0,,7.1793212890625,0.7917978240000139,,,1680986020.0,,
14,,247352.0,5145.915392,942.0,26.126722205960995,0.13797373557763745,15,6605.705216,,0.29500000000007276,,,0.006734048999987863,2399.674368,6.0,,0.0,2.654208,6.75,28565.618688,15438.0,0.0006234799998310336,8.625,0.3561857219999638,29.5,0.0,7160.086528,0.1070678210001006,,11434.0,23.25,57.0,0.0,0.10623554674582793,0.02678869900000791,,,,,,0.12399999999999523,0.004999999999999005,1680986021.0,248.0,22240.985088
14,1.0,,,,,,16,,0.0,,0.5011519989998305,0.0,,,,64.0,,,,,,,,,,,,,,,,,,,,0.0001,1.0,,7.2237548828125,0.0037522279999393504,,,1680986021.0,,
15,2.0,,,,,,17,,0.0,,0.49637366199999633,0.0,0.006575474000101167,,,96.0,,,,,,0.0005440519998956006,,0.3522373119999429,,,,0.10683723600004669,,,,,,,0.02626442400014639,0.0001,1.0,,7.1910400390625,0.00391516399986358,,,1680986022.0,,
15,,248917.0,5145.915392,968.0,31.745255015154466,0.10042736667695767,18,6603.890688,,0.2970000000004802,,,0.006698210000195104,2397.83936,6.0,,0.0,2.654208,6.875000000000001,28565.618688,16574.0,0.0007119570000213571,8.75,,29.5,0.0,7172.349952,,,12378.0,22.375,59.0,0.0,0.012258140120885138,0.025793268999905195,,,,,,0.13999999999998636,0.004999999999999005,1680986022.0,251.0,22247.866368
16,3.0,,,,,,19,,0.0,,0.4970011160003196,0.0,,,,128.0,,,,,,,,0.3525258249999297,,,,0.10723741200013137,,,,,,,,0.0001,1.0,,7.15283203125,0.004034443000136889,,,1680986023.0,,
16,,250476.0,5145.915392,978.0,41.809719229360745,0.1654834864349853,20,6603.984896,,0.3249999999998181,,,0.006705200000169498,2397.908992,6.0,,0.0,2.654208,6.875000000000001,28565.618688,17521.0,0.0006757950000064739,8.75,,29.6,0.0,7173.517312,,,13427.0,22.375,60.0,0.0,0.12664804941117613,0.024796046999881582,,,,,,0.1560000000000059,0.004999999999999005,1680986023.0,275.0,22227.554304
16,4.0,,,,,,21,,0.0,,0.4975436320000881,0.0,,,,160.0,,,,,,,,0.3529386580000846,,,,0.10809199599998465,,,,,,,,0.0001,1.0,,7.0352783203125,0.004335935999961293,,,1680986023.0,,
17,,251987.0,5145.915392,990.0,37.10663166276319,0.11686195596060085,22,6604.046336,,0.32600000000002183,,,0.0067970800000694,2397.970432,6.0,,0.0,2.654208,6.875000000000001,28565.618688,18528.0,0.0007057200000417652,8.75,,29.6,0.0,7171.821568,,,14391.0,22.375,61.0,0.0,0.008171718304156703,0.025351771000032386,,,,,,0.16399999999998727,0.004999999999999005,1680986024.0,277.0,22229.254144
17,5.0,,,,,,23,,0.0,,0.4957509140001548,0.0,,,,192.0,,,,,,,,0.35135505500011277,,,,0.10754642399979275,,,,,,,,0.0001,1.0,,7.1495361328125,0.003994864000105736,,,1680986024.0,,
18,,253275.0,5145.915392,1006.0,25.471769520785674,0.129160195849451,24,6603.984896,,0.32700000000022555,,,0.006727295000018785,2397.908992,6.0,,0.0,2.654208,6.875000000000001,28565.618688,19334.0,0.0006814030000441562,8.75,0.35304201400003876,29.6,0.0,7173.971968,,,15205.0,22.375,63.0,0.0,0.008171261618821712,0.024782131000165464,,,,,,0.17199999999999704,0.004999999999999005,1680986025.0,279.0,22227.10784
18,6.0,,,,,,25,,0.0,,0.49706062200016277,0.0,,,,224.0,,,,,,,,,,,,0.1075320949998968,,,,,,,,0.0001,1.0,,7.28173828125,0.004295683999998801,,,1680986025.0,,
19,,254742.0,5145.915392,1028.0,31.31459042720552,0.11616718605909496,26,6604.050432,,0.3320000000003347,,,0.006692470999951183,2397.970432,6.0,,0.0,2.654208,6.875000000000001,28565.622784,20491.0,0.0006224180001481727,8.75,0.35503001799997946,29.6,0.0,7173.57056,0.10721471599981669,,16046.0,22.375,66.0,0.0,0.08989469522004549,0.024664283999982217,,,,,,0.1839999999999975,0.004999999999999005,1680986026.0,285.0,22227.501056
19,7.0,,,,,,27,,0.0,,0.4980449529998623,0.0,,,,256.0,,,,,,,,,,,,,,,,,,,,0.0001,1.0,,7.125,0.0038210459999845625,,,1680986026.0,,
20,,256233.0,5145.919488,1044.0,29.27755976748289,0.18202580697304593,28,6603.993088,,0.3330000000005384,,,0.006601820000014413,2397.908992,6.0,,0.0,2.654208,6.875000000000001,28565.622784,21627.0,0.0007372350000878214,8.75,0.35253589000012653,29.6,0.0,7176.073216,0.10873353800002405,,16946.0,21.625,66.0,0.0,0.00817232665427107,0.02605644699997356,,,,,,0.19599999999999795,0.004999999999999005,1680986027.0,287.0,22224.990208
20,8.0,,,,,,29,,0.0,,0.4990675470003225,0.0,,,,288.0,,,,,,,,,,,,,,,,,,,,0.0001,2.0,,7.3597412109375,0.004402617000096143,,,1680986027.0,,
21,9.0,,,,,,30,,0.0,,0.5008636200000183,0.0,0.006920010999920123,,,320.0,,,,,,0.00093898199997966,,0.3535327810000126,,,,0.1083158320000166,,,,,,,0.02677074400003221,0.0001,2.0,,6.980712890625,0.004385270000057062,,,1680986028.0,,
21,,257562.0,5145.919488,1067.0,33.04752878049364,0.0785153339533707,31,6606.094336,,0.3350000000000364,,,,2400.006144,6.0,,0.0,2.654208,6.875000000000001,28584.894464,22575.0,,8.75,,29.6,0.0,7176.62208,,,17749.0,21.625,67.0,0.0,0.008159921034542125,,,,,,,0.20400000000000773,0.004999999999999005,1680986028.0,289.0,22224.441344
22,10.0,,,,,,32,,0.0,,0.5022262669999691,0.0,0.006944384000007631,,,352.0,,,,,,0.0006657599999471131,,0.3534384659999432,,,,0.1081164299998818,,,,,,,0.027015720000008514,0.0001,2.0,,7.1771240234375,0.006045507000180805,,,1680986029.0,,
22,,259410.0,5145.923584,1081.0,41.321367206570685,0.24680115262818936,33,6604.066816,,0.33700000000044383,,,0.006733425999982501,2397.970432,6.0,,0.0,2.654208,6.875000000000001,28565.622784,24038.0,0.0006816909999542986,8.75,,29.5,0.0,7176.593408,,,18901.0,21.625,69.0,0.0,0.012256274502675477,0.02493103599999813,,,,,,0.21600000000000819,0.004999999999999005,1680986029.0,292.0,22243.618816
23,11.0,,,,,,34,,0.0,,0.503940090000242,0.0,,,,384.0,,,,,,,,0.35842503700018824,,,,0.10891088600010335,,,,,,,,0.0001,2.0,,7.3497314453125,0.004258014000015464,,,1680986030.0,,
23,,260900.0,5145.960448,1093.0,42.31104507316789,0.09718291391930675,35,6604.009472,,0.33799999999973807,,,0.006839109999873472,2397.908992,6.0,,0.0,2.654208,6.875000000000001,28565.622784,24962.0,0.0006422740000289195,8.75,,29.6,0.0,7178.514432,,,19882.0,21.625,70.0,0.0,0.008171728025126765,0.025937509999948816,,,,,,0.22800000000000864,0.004999999999999005,1680986030.0,294.0,22222.422016
23,12.0,,,,,,36,,0.0,,0.5012800649999463,0.0,,,,416.0,,,,,,,,0.35431845300013265,,,,0.10905377899985069,,,,,,,,0.0001,2.0,,7.1239013671875,0.0044889390001117135,,,1680986030.0,,
24,,262224.0,5146.222592,1106.0,32.04907480743389,0.16928419288417762,37,6604.075008,,0.34100000000034925,,,0.006926214000031905,2397.970432,6.0,,0.0,2.654208,6.875000000000001,28565.884928,25815.0,0.00083535299995674,8.75,,29.6,0.0,7177.752576,,,20720.0,21.625,73.0,0.0,0.0530862467668105,0.025801999999885084,,,,,,0.23999999999998067,0.004999999999999005,1680986031.0,298.0,22223.314944
24,13.0,,,,,,38,,0.0,,0.5018711689999691,0.0,,,,448.0,,,,,,,,0.35623955599999135,,,,0.10783012599995345,,,,,,,,0.0001,2.0,,7.1131591796875,0.004237920000150552,,,1680986031.0,,
25,,263531.0,5146.226688,1119.0,23.86180518123429,0.0884672548085281,39,6604.013568,,0.342000000000553,,,0.006648500000210333,2397.908992,6.0,,0.0,2.654208,6.875000000000001,28565.884928,26748.0,0.0005627149998872483,8.875,0.3561757529998886,29.6,0.0,7179.640832,,,21511.0,20.875,74.0,0.0,0.008165717408130876,0.0251575929999035,,,,,,0.25199999999998113,0.004999999999999005,1680986032.0,300.0,22221.422592
25,14.0,,,,,,40,,0.0,,0.5003876079999827,0.0,,,,480.0,,,,,,,,,,,,0.10756355600005918,,,,,,,,0.0001,2.0,,7.4512939453125,0.004279491000033886,,,1680986032.0,,
26,,264964.0,5146.230784,1141.0,27.20286226662109,0.14601878482454717,41,6604.079104,,0.34400000000005093,,,0.006854008999880534,2397.970432,6.0,,0.0,2.654208,6.875000000000001,28565.884928,27808.0,0.0006498489999557933,8.875,0.357829509000112,29.6,0.0,7179.640832,0.10901002900004642,,22384.0,20.875,74.0,0.0,0.0081724549477629,0.02593557799991686,,,,,,0.2599999999999909,0.004999999999999005,1680986033.0,302.0,22221.717504
26,15.0,,,,,,42,,0.0,,0.5043091529998946,0.0,,,,512.0,,,,,,,,,,,,,,,,,,,,0.0001,2.0,,7.239013671875,0.004030178999983036,,,1680986033.0,,
27,,266208.0,5146.230784,1152.0,25.228147955025396,0.08841166036695902,43,6604.02176,,0.34500000000025466,,,0.0066502519998721255,2397.908992,6.0,,0.0,2.654208,6.875000000000001,28565.884928,28647.0,0.0006518569998661405,8.875,0.3591450750000149,29.6,0.0,7181.234176,0.10851925199995094,,23160.0,20.875,78.0,0.0,0.008173110062741216,0.02487346499992782,,,,,,0.27199999999999136,0.004999999999999005,1680986034.0,304.0,22219.83744
27,16.0,,,,,,44,,0.0,,0.5037168849994487,0.0,,,,544.0,,,,,,,,,,,,,,,,,,,,0.0001,2.0,,7.1322021484375,0.00387698399981673,,,1680986034.0,,
28,,267517.0,5146.23488,1162.0,27.300694589848078,0.1557018920652737,45,6604.091392,,0.3460000000004584,,,0.00676971500001855,2397.970432,6.0,,0.0,2.654208,6.875000000000001,28565.884928,29518.0,0.0006244950000109384,8.875,0.35647405500003515,29.6,0.0,7181.06624,0.10836009700005889,,24001.0,20.875,79.0,0.0,0.00817089824747707,0.02547869299996819,,,,,,0.2839999999999918,0.004999999999999005,1680986035.0,306.0,22220.005376
28,17.0,,,,,,46,,0.0,,0.5019251969999914,0.0,,,,576.0,,,,,,,,,,,,,,,,,,,,0.0001,2.0,,7.00604248046875,0.004218141999899672,,,1680986035.0,,
29,18.0,,,,,,47,,0.0,,0.5017085609997594,0.0,0.006832789999862143,,,608.0,,,,,,0.0007278999999016378,,0.35581058000002486,,,,0.10767690299985588,,,,,,,0.026327235000053406,0.0001,2.0,,7.2960205078125,0.004333153000061429,,,1680986036.0,,
29,,269063.0,5146.238976,1193.0,33.1797878085559,0.09705460746004624,48,6604.10368,,0.3510000000005675,,,0.006746844999952373,2397.970432,6.0,,0.0,2.654208,6.875000000000001,28565.884928,30670.0,0.0007922599997982616,8.875,,29.5,0.0,7185.01888,,,24925.0,20.875,81.0,0.0,0.06128756663093781,0.029796879999821613,,,,,,0.30400000000000205,0.004999999999999005,1680986036.0,312.0,22235.185152
30,19.0,,,,,,49,,0.0,,0.5062802209997699,0.0,,,,640.0,,,,,,,,0.3553454210000382,,,,0.10911591700005374,,,,,,,,0.0001,2.0,,7.40576171875,0.004482898000105706,,,1680986037.0,,
