03_hivemind/next_fetch_time_s,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/global_samples_accumulated,_step,_timestamp,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/num_peers,03_hivemind/eta_next_epoch_s,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,_runtime,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos
10.0,0,,32,0,1680986015.0,,,0.6169303004041596,,,32,0.6169303004041596,,,,,,,1,53062.33,,,40,,0,
10.0,0,,64,1,1680986016.0,32.0,,1.2764551259503507,0.0,,65,1.2764551259503507,,,0.62,,,,1,25620.36,,,41,,0,0.0
10.0,0,,96,2,1680986017.0,64.0,,1.97964646208265,0.0,,98,1.97964646208265,,,1.28,,,,1,16503.16,,,42,,0,0.0
10.0,0,,160,3,1680986018.0,96.0,,3.5163210769835325,0.0,,161,3.5163210769835325,,,1.98,,,,1,9273.14,,,43,,0,0.0
10.0,0,,192,4,1680986019.0,160.0,,4.348137819792609,0.0,,194,4.348137819792609,,,3.52,,,,1,7491.55,,,44,,0,0.0
10.0,0,,256,5,1680986020.0,192.0,,10.226836584546549,0.0,,263,10.226836584546549,,,4.35,,,,2,3178.39,,,45,,0,0.0
10.0,0,,352,6,1680986022.0,224.0,32.0,18.818641316922875,0.0,0.0,359,18.818641316922875,,,5.22,,,,2,1722.15,0.0,5.01,47,,0,0.0
10.0,0,,416,7,1680986023.0,256.0,96.0,22.748118969072873,0.0,0.0,431,22.748118969072873,,,6.13,,,,2,1421.53,0.0,12.69,48,,0,0.0
10.0,0,,512,8,1680986024.0,288.0,128.0,27.27109337289604,0.0,0.0,528,27.27109337289604,,,7.08,,,,2,1182.2,0.0,15.67,49,,0,0.0
10.0,0,,608,9,1680986025.0,352.0,160.0,32.37932005783327,0.0,0.0,616,32.37932005783327,,,9.05,,,,2,992.98,0.0,18.22,50,,0,0.0
10.0,0,,672,10,1680986026.0,384.0,224.0,35.061105277010924,0.0,0.0,689,35.061105277010924,,,10.07,,,,2,914.93,0.0,22.31,51,,0,0.0
10.0,0,,736,11,1680986027.0,416.0,256.0,37.52669453282998,0.0,0.0,764,37.52669453282998,,,11.11,,,,2,852.84,0.0,23.95,52,,0,0.0
10.0,0,,832,12,1680986028.0,448.0,288.0,40.89742029761659,0.0,0.0,848,40.89742029761659,,,12.16,,,,2,780.49,0.0,25.37,53,,0,0.0
10.0,0,,928,13,1680986030.0,480.0,352.0,43.92282711345508,0.0,0.0,941,43.92282711345508,,,13.21,,,,2,724.6,0.0,27.69,55,,0,0.0
10.0,0,,992,14,1680986031.0,544.0,384.0,45.795345346754175,0.0,0.0,1017,45.795345346754175,,,15.29,,,,2,693.33,0.0,28.63,56,,0,0.0
10.0,0,,1056,15,1680986032.0,576.0,416.0,47.5387881898901,0.0,0.0,1093,47.5387881898901,,,16.32,,,,2,666.3,0.0,29.47,57,,0,0.0
10.0,0,,1152,16,1680986033.0,608.0,448.0,49.76204375979859,0.0,0.0,1174,49.76204375979859,,,17.33,,,,2,634.9,0.0,30.21,58,,0,0.0
10.0,0,,1216,17,1680986034.0,640.0,512.0,51.232196962388045,0.0,0.0,1251,51.232196962388045,,,18.32,,,,2,615.18,0.0,31.44,59,,0,0.0
10.0,0,,1312,18,1680986035.0,672.0,544.0,53.50962038217322,0.0,0.0,1341,53.50962038217322,,,19.28,,,,2,587.32,0.0,31.95,60,,0,0.0
10.0,0,,1408,19,1680986036.0,736.0,576.0,55.12439907991236,0.0,0.0,1421,55.12439907991236,,,21.1,,,,2,568.65,0.0,32.41,61,,0,0.0
10.0,0,,1472,20,1680986038.0,768.0,640.0,56.26268628682193,0.0,0.0,1499,56.26268628682193,,,21.97,,,,2,555.77,0.0,33.16,63,,0,0.0
10.0,0,,1536,21,1680986039.0,800.0,672.0,57.320929251047204,0.0,0.0,1576,57.320929251047204,,,22.8,,,,2,544.16,0.0,33.47,64,,0,0.0
10.0,0,,1632,22,1680986040.0,832.0,704.0,58.516060032644475,0.0,0.0,1656,58.516060032644475,,,23.59,,,,2,531.68,0.0,33.73,65,,0,0.0
10.0,0,,1728,23,1680986041.0,864.0,768.0,60.09331482041179,0.0,0.0,1743,60.09331482041179,,,24.35,,,,2,516.29,0.0,34.16,66,,0,0.0
10.0,0,,1792,24,1680986042.0,928.0,800.0,60.919974389048406,0.0,0.0,1821,60.919974389048406,,,25.76,,,,2,507.99,0.0,34.34,67,,0,0.0
10.0,0,,1856,25,1680986043.0,960.0,832.0,61.67811264347311,0.0,0.0,1900,61.67811264347311,,,26.4,,,,2,500.47,0.0,34.52,68,,0,0.0
10.0,0,,1952,26,1680986045.0,992.0,864.0,62.5064351908696,0.0,0.0,1980,62.5064351908696,,,27.0,,,,2,492.55,0.0,34.68,70,,0,0.0
10.0,0,,2016,27,1680986046.0,1024.0,928.0,63.15242133378449,0.0,0.0,2060,63.15242133378449,,,27.57,,,,2,486.26,0.0,34.94,71,,0,0.0
10.0,0,,2112,28,1680986047.0,1056.0,960.0,64.22445708637602,0.0,0.0,2144,64.22445708637602,,,28.1,,,,2,476.82,0.0,35.06,72,,0,0.0
10.0,0,,2208,29,1680986048.0,1120.0,992.0,64.85769175320743,0.0,0.0,2225,64.85769175320743,,,29.06,,,,2,470.93,0.0,35.17,73,,0,0.0
10.0,0,,2272,30,1680986049.0,1152.0,1056.0,65.3665758395918,0.0,0.0,2305,65.3665758395918,,,29.49,,,,2,466.03,0.0,35.36,74,,0,0.0
10.0,0,,2336,31,1680986050.0,1184.0,1088.0,65.80996730988669,0.0,0.0,2385,65.80996730988669,,,29.9,,,,2,461.68,0.0,35.46,75,,0,0.0
10.0,0,,2432,32,1680986051.0,1216.0,1120.0,66.2970963056941,0.0,0.0,2465,66.2970963056941,,,30.29,,,,2,457.08,0.0,35.52,76,,0,0.0
10.0,0,,2528,33,1680986053.0,1248.0,1184.0,66.98008809379814,0.0,0.0,2548,66.98008809379814,,,30.64,,,,2,451.17,0.0,35.66,78,,0,0.0
10.0,0,,2592,34,1680986054.0,1312.0,1216.0,67.33538460627321,0.0,0.0,2629,67.33538460627321,,,31.26,,,,2,447.59,0.0,35.72,79,,0,0.0
10.0,0,,2656,35,1680986055.0,1344.0,1248.0,67.65309103441136,0.0,0.0,2710,67.65309103441136,,,31.55,,,,2,444.3,0.0,35.79,80,,0,0.0
10.0,0,,2752,36,1680986056.0,1376.0,1280.0,68.013820746806,0.0,0.0,2791,68.013820746806,,,31.8,,,,2,440.75,0.0,35.85,81,,0,0.0
10.0,0,,2848,37,1680986057.0,1408.0,1344.0,68.44148559596628,0.0,0.0,2874,68.44148559596628,,,32.04,,,,2,436.78,0.0,35.97,82,,0,0.0
10.0,0,,2912,38,1680986058.0,1472.0,1376.0,68.67316786121901,0.0,0.0,2955,68.67316786121901,,,32.42,,,,2,434.13,0.0,36.02,83,,0,0.0
10.0,0,,3008,39,1680986059.0,1504.0,1408.0,68.94801203762673,0.0,0.0,3037,68.94801203762673,,,32.62,,,,2,431.22,0.0,36.05,84,,0,0.0
10.0,0,,3072,40,1680986061.0,1536.0,1472.0,69.17296760354526,0.0,0.0,3118,69.17296760354526,,,32.81,,,,2,428.64,0.0,36.14,86,,0,0.0
10.0,0,,3168,41,1680986062.0,1568.0,1504.0,69.51532702702012,0.0,0.0,3201,69.51532702702012,,,32.99,,,,2,425.34,0.0,36.18,87,,0,0.0
10.0,0,,3264,42,1680986063.0,1632.0,1536.0,69.72658371150513,0.0,0.0,3282,69.72658371150513,,,33.3,,,,2,422.87,0.0,36.22,88,,0,0.0
10.0,0,,3328,43,1680986064.0,1664.0,1600.0,69.8571075088503,0.0,0.0,3364,69.8571075088503,,,33.45,,,,2,420.92,0.0,36.28,89,,0,0.0
10.0,0,,3392,44,1680986065.0,1696.0,1632.0,70.03202223656301,0.0,0.0,3446,70.03202223656301,,,33.56,,,,2,418.7,0.0,36.3,90,,0,0.0
10.0,0,,3520,45,1680986066.0,1728.0,1664.0,70.32370954271144,0.0,0.0,3529,70.32370954271144,,,33.69,,,,2,415.78,0.0,36.34,91,,0,0.0
10.0,0,,3584,46,1680986067.0,1792.0,1728.0,70.43141220526643,0.0,0.0,3610,70.43141220526643,,,33.91,,,,2,413.98,0.0,36.41,92,,0,0.0
10.0,0,,3648,47,1680986069.0,1824.0,1760.0,70.54754544657597,0.0,0.0,3692,70.54754544657597,,,33.99,,,,2,412.14,0.0,36.44,94,,0,0.0
10.0,0,,3712,48,1680986070.0,1856.0,1792.0,70.63674800428771,0.0,0.0,3774,70.63674800428771,,,34.08,,,,2,410.46,0.0,36.47,95,,0,0.0
10.0,0,,3840,49,1680986071.0,1888.0,1824.0,70.80275138407234,0.0,0.0,3857,70.80275138407234,,,34.15,,,,2,408.33,0.0,36.49,96,,0,0.0
10.0,0,,3904,50,1680986072.0,1952.0,1888.0,70.89690846841827,0.0,0.0,3939,70.89690846841827,,,34.27,,,,2,406.63,0.0,36.53,97,,0,0.0
10.0,0,,3968,51,1680986073.0,1984.0,1920.0,70.99074212233236,0.0,0.0,4022,70.99074212233236,,,34.34,,,,2,404.93,0.0,36.55,98,,0,0.0
