03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/epoch_based_sps,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/optimistic_total_samples_per_second,_step,03_hivemind/reached_TBS,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,_timestamp,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch,03_hivemind/num_clients,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,_runtime,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/actual_total_samples_per_second
64,10.0,,,,,0,,1.2676246947104586,0,,,64,,1,,,1680987544.0,,,0,,,51,,25799.24,1.2676246947104586
192,10.0,64.0,,,,0,0.0,4.623487464631071,1,,,193,,1,,1.27,1680987545.0,,0.0,0,,,52,,7045.53,4.623487464631071
320,10.0,192.0,,,,0,0.0,9.372569992219704,2,,,322,,1,,4.62,1680987546.0,,0.0,0,,,53,,3461.76,9.372569992219704
448,10.0,320.0,,,,0,0.0,15.869805449688139,3,,,453,,1,,9.37,1680987547.0,,0.0,0,,,54,,2036.29,15.869805449688139
576,10.0,448.0,,,,0,0.0,24.35252340249931,4,,,583,,1,,15.87,1680987549.0,,0.0,0,,,56,,1321.61,24.35252340249931
704,10.0,576.0,,,,0,0.0,34.78147313937124,5,,,715,,1,,24.35,1680987550.0,,0.0,0,,,57,,921.55,34.78147313937124
832,10.0,704.0,,,,0,0.0,46.698613291813324,6,,,848,,1,,34.78,1680987551.0,,0.0,0,,,58,,683.54,46.698613291813324
992,10.0,832.0,,,,0,0.0,62.31948941723284,7,,,997,,1,,46.7,1680987552.0,,0.0,0,,,59,,509.81,62.31948941723284
1184,10.0,992.0,,,,0,0.0,82.6624998368494,8,,,1194,,2,,62.32,1680987553.0,,0.0,0,,,60,,381.97,82.6624998368494
1472,10.0,1120.0,64.0,,0.0,0,0.0,115.86108525765405,9,,,1485,,2,,74.08,1680987554.0,8.58,0.0,0,,,61,0.0,270.0,115.86108525765405
1728,10.0,1248.0,224.0,,0.0,0,0.0,142.6108907113311,10,,,1750,,2,,84.2,1680987555.0,31.67,0.0,0,,,62,0.0,217.5,142.6108907113311
1984,10.0,1376.0,352.0,,0.0,0,0.0,165.93837621094318,11,,,2019,,2,,92.37,1680987557.0,50.24,0.0,0,,,64,0.0,185.3,165.93837621094318
2272,10.0,1504.0,480.0,,0.0,0,0.0,187.94749913833022,12,,,2300,,2,,98.68,1680987558.0,67.26,0.0,0,,,65,0.0,162.11,187.94749913833022
2528,10.0,1632.0,640.0,,0.0,0,0.0,201.73281477747287,13,,,2568,,2,,103.19,1680987559.0,84.75,0.0,0,,,66,0.0,149.7,201.73281477747287
2784,10.0,1760.0,768.0,,0.0,0,0.0,211.43141332613504,14,,,2836,,2,,106.28,1680987560.0,95.46,0.0,0,,,67,0.0,141.57,211.43141332613504
3072,10.0,1888.0,896.0,,0.0,0,0.0,219.33967927263816,15,,,3107,,2,,108.36,1680987561.0,103.08,0.0,0,,,68,0.0,135.23,219.33967927263816
3328,10.0,2016.0,1056.0,,0.0,0,0.0,223.77895038114505,16,,,3375,,2,,109.71,1680987562.0,109.63,0.0,0,,,69,0.0,131.35,223.77895038114505
3584,10.0,2144.0,1184.0,,0.0,0,0.0,226.61120764775325,17,,,3642,,2,,110.63,1680987564.0,113.15,0.0,0,,,71,0.0,128.53,226.61120764775325
3872,10.0,2272.0,1312.0,,0.0,0,0.0,228.74484021443828,18,,,3910,,2,,111.32,1680987565.0,115.29,0.0,0,,,72,0.0,126.16,228.74484021443828
4128,10.0,2400.0,1472.0,,0.0,0,0.0,230.14425398718225,19,,,4177,,2,,111.65,1680987566.0,117.09,0.0,0,,,73,0.0,124.23,230.14425398718225
4384,10.0,2528.0,1600.0,,0.0,0,0.0,230.96564797494136,20,,,4445,,2,,112.03,1680987567.0,118.12,0.0,0,,,74,0.0,122.63,230.96564797494136
4672,10.0,2656.0,1728.0,,0.0,0,0.0,231.54282130836015,21,,,4712,,2,,112.32,1680987568.0,118.65,0.0,0,,,75,0.0,121.17,231.54282130836015
4928,10.0,2784.0,1888.0,,0.0,0,0.0,231.80265681744652,22,,,4979,,2,,112.42,1680987569.0,119.13,0.0,0,,,76,0.0,119.88,231.80265681744652
5184,10.0,2912.0,2016.0,,0.0,0,0.0,232.2496134601144,23,,,5247,,2,,112.57,1680987570.0,119.23,0.0,0,,,77,0.0,118.5,232.2496134601144
5440,10.0,3040.0,2144.0,,0.0,0,0.0,232.48256065557632,24,,,5514,,2,,112.85,1680987572.0,119.4,0.0,0,,,79,0.0,117.23,232.48256065557632
5728,10.0,3168.0,2272.0,,0.0,0,0.0,232.5027887366581,25,,,5781,,2,,113.0,1680987573.0,119.48,0.0,0,,,80,0.0,116.07,232.5027887366581
6016,10.0,3296.0,2432.0,,0.0,0,0.0,232.8161141531936,26,,,6049,,2,,113.13,1680987574.0,119.37,0.0,0,,,81,0.0,114.76,232.8161141531936
6272,10.0,3456.0,2560.0,,0.0,0,0.0,232.95365720336812,27,,,6318,,2,,113.34,1680987575.0,119.48,0.0,0,,,82,0.0,113.54,232.95365720336812
6560,10.0,3584.0,2688.0,,0.0,0,0.0,232.88657547808708,28,,,6585,,2,,113.59,1680987576.0,119.36,0.0,0,,,83,0.0,112.43,232.88657547808708
6816,10.0,3712.0,2848.0,,0.0,0,0.0,232.8112945142907,29,,,6852,,2,,113.66,1680987577.0,119.23,0.0,0,,,84,0.0,111.32,232.8112945142907
7072,10.0,3840.0,2976.0,,0.0,0,0.0,232.7681989470189,30,,,7119,,2,,113.68,1680987578.0,119.14,0.0,0,,,85,0.0,110.19,232.7681989470189
7328,10.0,3968.0,3104.0,,0.0,0,0.0,232.9908766755098,31,,,7387,,2,,113.78,1680987580.0,118.99,0.0,0,,,87,0.0,108.93,232.9908766755098
7616,10.0,4096.0,3232.0,,0.0,0,0.0,232.82629074882337,32,,,7654,,2,,113.92,1680987581.0,119.07,0.0,0,,,88,0.0,107.87,232.82629074882337
7872,10.0,4224.0,3392.0,,0.0,0,0.0,233.04854371582906,33,,,7922,,2,,113.85,1680987582.0,118.98,0.0,0,,,89,0.0,106.61,233.04854371582906
8128,10.0,4352.0,3520.0,,0.0,0,0.0,233.0479833408798,34,,,8190,,2,,114.08,1680987583.0,118.97,0.0,0,,,90,0.0,105.46,233.0479833408798
8384,10.0,4480.0,3648.0,,0.0,0,0.0,233.1233451822687,35,,,8459,,2,,114.1,1680987584.0,118.95,0.0,0,,,91,0.0,104.28,233.1233451822687
8672,10.0,4608.0,3776.0,,0.0,0,0.0,233.03054235292365,36,,,8726,,2,,114.2,1680987585.0,118.93,0.0,0,,,92,0.0,103.17,233.03054235292365
8960,10.0,4736.0,3936.0,,0.0,0,0.0,232.9865686502134,37,,,8992,,2,,114.3,1680987587.0,118.73,0.0,0,,,94,0.0,102.05,232.9865686502134
9216,10.0,4896.0,4064.0,,0.0,0,0.0,232.93667323706757,38,,,9259,,2,,114.34,1680987588.0,118.65,0.0,0,,,95,0.0,100.92,232.93667323706757
9472,10.0,5024.0,4192.0,,0.0,0,0.0,232.91851491897563,39,,,9527,,2,,114.42,1680987589.0,118.51,0.0,0,,,96,0.0,99.78,232.91851491897563
9760,10.0,5152.0,4320.0,,0.0,0,0.0,232.65549168957187,40,,,9794,,2,,114.47,1680987590.0,118.45,0.0,0,,,97,0.0,98.75,232.65549168957187
10016,10.0,5280.0,4480.0,,0.0,0,0.0,232.72893091185216,41,,,10061,,2,,114.4,1680987591.0,118.25,0.0,0,,,98,0.0,97.57,232.72893091185216
10272,10.0,5408.0,4608.0,,0.0,0,0.0,232.8389539096657,42,,,10332,,2,,114.53,1680987592.0,118.2,0.0,0,,,99,0.0,96.36,232.8389539096657
10528,10.0,5536.0,4736.0,,0.0,0,0.0,232.83195254930013,43,,,10599,,2,,114.71,1680987593.0,118.13,0.0,0,,,100,0.0,95.22,232.83195254930013
10816,10.0,5664.0,4864.0,,0.0,0,0.0,232.96622155246985,44,,,10866,,2,,114.73,1680987595.0,118.1,0.0,0,,,102,0.0,94.01,232.96622155246985
11104,10.0,5792.0,5024.0,,0.0,0,0.0,232.91337836426354,45,,,11133,,2,,114.9,1680987596.0,118.07,0.0,0,,,103,0.0,92.89,232.91337836426354
11360,10.0,5952.0,5152.0,,0.0,0,0.0,233.00093047368813,46,,,11402,,2,,114.97,1680987597.0,117.94,0.0,0,,,104,0.0,91.7,233.00093047368813
11616,10.0,6080.0,5280.0,,0.0,0,0.0,233.09328073916765,47,,,11670,,2,,115.06,1680987598.0,117.94,0.0,0,,,105,0.0,90.51,233.09328073916765
11904,10.0,6208.0,5408.0,,0.0,0,0.0,233.19900404846666,48,,,11939,,2,,115.15,1680987599.0,117.94,0.0,0,,,106,0.0,89.32,233.19900404846666
12160,10.0,6336.0,5568.0,,0.0,0,0.0,233.3188766689847,49,,,12210,,2,,115.23,1680987600.0,117.97,0.0,0,,,107,0.0,88.11,233.3188766689847
12416,10.0,6464.0,5696.0,,0.0,0,0.0,233.33184306914015,50,,,12478,,2,,115.31,1680987601.0,118.01,0.0,0,,,108,0.0,86.96,233.33184306914015
12672,10.0,6592.0,5824.0,,0.0,0,0.0,233.38027360601671,51,,,12747,,2,,115.26,1680987603.0,118.08,0.0,0,,,110,0.0,85.79,233.38027360601671
12992,10.0,6720.0,5952.0,,0.0,0,0.0,233.48851971511945,52,,,13015,,2,,115.3,1680987604.0,118.08,0.0,0,,,111,0.0,84.6,233.48851971511945
13248,10.0,6880.0,6112.0,,0.0,0,0.0,233.72577708913002,53,,,13283,,2,,115.27,1680987605.0,118.21,0.0,0,,,112,0.0,83.37,233.72577708913002
13504,10.0,7008.0,6240.0,,0.0,0,0.0,233.89943158018002,54,,,13552,,2,,115.39,1680987606.0,118.33,0.0,0,,,113,0.0,82.15,233.89943158018002
13760,10.0,7136.0,6368.0,,0.0,0,0.0,234.08783682300913,55,,,13822,,2,,115.46,1680987607.0,118.44,0.0,0,,,114,0.0,80.94,234.08783682300913
14048,10.0,7264.0,6496.0,,0.0,0,0.0,234.20703398550978,56,,,14092,,2,,115.49,1680987608.0,118.6,0.0,0,,,115,0.0,79.74,234.20703398550978
14304,10.0,7392.0,6656.0,,0.0,0,0.0,234.17970442365953,57,,,14360,,2,,115.6,1680987610.0,118.61,0.0,0,,,117,0.0,78.61,234.17970442365953
14592,10.0,7520.0,6784.0,,0.0,0,0.0,234.24698936367193,58,,,14630,,2,,115.56,1680987611.0,118.62,0.0,0,,,118,0.0,77.43,234.24698936367193
14848,10.0,7680.0,6912.0,,0.0,0,0.0,234.22565779060784,59,,,14899,,2,,115.51,1680987612.0,118.74,0.0,0,,,119,0.0,76.29,234.22565779060784
