03_hivemind/num_peers,04_peers/peer_1_epoch,03_hivemind/reached_TBS,_timestamp,04_peers/peer_3_epoch,03_hivemind/undershot_TBS,04_peers/peer_4_samples_per_second,03_hivemind/actual_total_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_3_samples_per_second,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,04_peers/peer_4_epoch,03_hivemind/num_clients,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/per_epoch_training_samples,_step,_runtime,03_hivemind/epoch_s,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_4_samples_accumulated,03_hivemind/global_samples_accumulated
1,,,1680991159.0,,,,1.2676998357418348,,,,25797.66,,,0,,,,,,0,42,,,10.0,,,,64,1.2676998357418348,0,,,,64
1,0.0,,1680991160.0,,,,1.9709536181386698,,,,16576.17,64.0,,0,,,1.27,,,1,43,,,10.0,,0.0,,97,1.9709536181386698,0,,,,96
3,0.0,,1680991161.0,,,,12.233923751448323,,,,2661.76,96.0,,0,,,1.97,,,2,44,,,10.0,,0.0,,204,12.233923751448323,0,,,,192
3,0.0,,1680991162.0,0.0,,,28.872560748814145,0.0,4.79,0.0,1121.14,128.0,,0,,,2.72,32.0,,3,45,,,10.0,4.72,0.0,32.0,398,28.872560748814145,0,,0.0,,384
4,0.0,,1680991163.0,0.0,,,40.77776723844865,0.0,12.34,0.0,790.3,192.0,,0,,,4.37,96.0,,4,46,,,10.0,12.16,0.0,96.0,541,40.77776723844865,0,,0.0,,512
4,0.0,,1680991165.0,0.0,,5.06,56.5641425009167,0.0,15.34,0.0,566.01,224.0,0.0,0,,,5.26,128.0,,5,48,,0.0,10.0,15.11,0.0,128.0,752,56.5641425009167,0,,0.0,32.0,736
4,0.0,,1680991166.0,0.0,,9.29,65.06540371694085,0.0,20.21,0.0,489.73,288.0,0.0,0,,,7.18,192.0,,6,49,,0.0,10.0,19.88,0.0,192.0,903,65.06540371694085,0,,0.0,64.0,864
4,0.0,,1680991167.0,0.0,,12.87,75.17514811213078,0.0,22.17,0.0,421.56,320.0,0.0,0,,,8.21,224.0,,7,50,,0.0,10.0,21.82,0.0,224.0,1077,75.17514811213078,0,,0.0,96.0,1024
4,0.0,,1680991168.0,0.0,,18.52,85.26884390564317,0.0,23.89,0.0,369.28,352.0,0.0,0,,,9.27,256.0,,8,51,,0.0,10.0,23.51,0.0,256.0,1280,85.26884390564317,0,,0.0,160.0,1248
4,0.0,,1680991169.0,0.0,,20.77,90.68728064320103,0.0,26.73,0.0,345.47,416.0,0.0,0,,,11.48,320.0,,9,52,,0.0,10.0,26.29,0.0,320.0,1438,90.68728064320103,0,,0.0,192.0,1376
