03_hivemind/num_peers,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,_step,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/reached_TBS,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,04_peers/peer_4_epoch,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch
1,26101.26,10.0,,0,,,,,1.2529498751274484,1680992008.0,,1.2529498751274484,,,,,,,64,,,,64,54,,,0,,0,,,,,
1,5795.12,10.0,1.25,1,,,,,5.615578710427093,1680992009.0,,5.615578710427093,,,,0.0,,,224,,,,225,55,,64.0,0,,0,,,,,0.0
1,3013.15,10.0,5.62,2,,,,,10.757191943793686,1680992010.0,,10.757191943793686,,,,0.0,,,352,,,,355,56,,224.0,0,,0,,,,,0.0
1,1816.2,10.0,10.76,3,,,,,17.774192161973193,1680992011.0,,17.774192161973193,,,,0.0,,,480,,,,486,57,,352.0,0,,0,,,,,0.0
1,1088.07,10.0,17.77,4,,,,,29.52248858567076,1680992012.0,,29.52248858567076,,,,0.0,,,640,,,,646,58,,480.0,0,,0,,,,,0.0
2,594.57,10.0,29.52,5,,,,,53.63357443533485,1680992013.0,,53.63357443533485,,,,0.0,,,864,,,,879,59,,640.0,0,,0,,,,,0.0
3,310.31,10.0,41.16,6,,0.0,,,101.45761557940452,1680992014.0,,101.45761557940452,,0.0,,0.0,,,1248,,,96.0,1285,60,,768.0,0,,0,,,12.47,,0.0
4,179.32,10.0,54.14,7,,0.0,,128.0,172.42442358367234,1680992016.0,,172.42442358367234,0.0,0.0,,0.0,,,1792,,16.8,224.0,1848,62,,896.0,0,,0,0.0,,30.52,,0.0
4,125.17,10.0,70.66,8,,0.0,,256.0,242.42044223005652,1680992017.0,,242.42044223005652,0.0,0.0,,0.0,,,2336,,35.06,352.0,2424,63,17.91,1056.0,0,0.0,0,0.0,0.0,48.79,128.0,0.0
4,96.24,10.0,82.71,9,,0.0,,384.0,309.11498780974506,1680992018.0,,309.11498780974506,0.0,0.0,,0.0,,,2912,,53.22,512.0,3019,64,36.87,1184.0,0,0.0,0,0.0,0.0,69.63,256.0,0.0
