04_peers/peer_2_samples_per_second,04_peers/peer_5_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/epoch_s,04_peers/peer_7_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_5_epoch,03_hivemind/global_epoch,04_peers/peer_2_epoch,04_peers/peer_4_epoch,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,_runtime,_timestamp,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,04_peers/peer_6_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_1_epoch_oos,04_peers/peer_5_samples_accumulated,04_peers/peer_8_epoch,03_hivemind/reached_TBS,04_peers/peer_6_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_4_samples_per_second,04_peers/peer_2_samples_accumulated,_step,04_peers/peer_3_epoch,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_8_epoch_oos,04_peers/peer_8_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_accumulated,03_hivemind/num_peers,03_hivemind/num_clients,04_peers/peer_6_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_samples_per_second
,,,65,,,,,,,,0,,,10.0,,,,51,1681077512.0,,,,,,25590.79,,,1.277938209032851,,64,,,,,,,,,0,,1.277938209032851,,,,,1,0,,,
,,64.0,226,,,,1.28,,,,0,,,10.0,,,,52,1681077513.0,,,,,,5692.19,0.0,,5.7169990553136865,,224,0.0,,,,,,,,1,,5.7169990553136865,,,,,1,0,,,
,,224.0,357,,,,5.72,,,,0,,,10.0,,,,54,1681077515.0,,,,,,2966.43,0.0,,10.925962409406873,,352,0.0,,,,,,,,2,,10.925962409406873,,,,,1,0,,,
,,352.0,518,,,,10.93,,,,0,,,10.0,,,,55,1681077516.0,,,,,,1606.44,0.0,,20.075379259469493,,512,0.0,,,,,,,,3,,20.075379259469493,,,,,1,0,,,
,,512.0,653,,,,20.08,,,,0,,,10.0,,,,56,1681077517.0,,,,,,1080.88,0.0,,29.71188213339011,,640,0.0,,,,,,,,4,,29.71188213339011,,,,,1,0,,,
,,640.0,813,,,,29.71,,,,0,,,10.0,,,,57,1681077518.0,,,,,,721.9,0.0,,44.265071537615796,,800,0.0,,,,,,,,5,,44.265071537615796,,,,,1,0,,,
,,800.0,986,,,,44.27,,,,0,,,10.0,,,,59,1681077520.0,,,,,,520.14,0.0,,61.103248436264835,,960,0.0,,,,,,,,6,,61.103248436264835,,,,,2,0,,,
4.0,,928.0,1448,,,,57.1,,,,0,0.0,,10.0,,,,60,1681077521.0,,,0.0,,,272.45,0.0,,114.95646536600911,,1408,0.0,,,,,,,32.0,7,,114.95646536600911,,,,,3,0,,,
21.34,,1088.0,2072,,,,72.76,,,,0,0.0,,10.0,,160.0,,61,1681077522.0,,,0.0,,,162.71,0.0,,188.6562832866595,,1984,0.0,,,,,,,160.0,8,0.0,188.6562832866595,,,,,5,0,,0.0,20.86
44.37,8.55,1216.0,3141,,,0.0,83.84,,,0.0,0,0.0,0.0,10.0,,288.0,,62,1681077523.0,,,0.0,0.0,,93.07,0.0,,318.3482784929375,96.0,3008,0.0,64.0,,,,,13.08,320.0,9,0.0,318.3482784929375,,,,,8,0,,0.0,38.82
66.02,31.57,1376.0,4444,,0.0,0.0,94.86,21.89,8.03,0.0,0,0.0,0.0,10.0,,448.0,,64,1681077525.0,,,0.0,0.0,0.0,60.26,0.0,0.0,470.040860654946,224.0,4224,0.0,224.0,0.0,,0.0,,31.78,480.0,10,0.0,470.040860654946,0.0,3.88,64.0,32.0,8,0,160.0,0.0,60.33
83.97,54.45,1504.0,5723,,0.0,0.0,101.31,45.2,29.98,0.0,0,0.0,0.0,10.0,,576.0,,65,1681077526.0,,,0.0,0.0,0.0,44.98,0.0,0.0,601.286686703699,384.0,5440,0.0,384.0,0.0,,0.0,,54.89,640.0,11,0.0,601.286686703699,0.0,25.13,224.0,192.0,8,0,320.0,0.0,75.11
97.03,74.45,1664.0,7024,,0.0,0.0,106.98,62.77,48.0,0.0,0,0.0,0.0,10.0,,736.0,,66,1681077527.0,,,0.0,0.0,0.0,35.85,0.0,0.0,718.1399936737348,544.0,6752,0.0,544.0,0.0,,0.0,,75.04,800.0,12,0.0,718.1399936737348,0.0,47.56,352.0,352.0,8,0,448.0,0.0,89.46
106.35,89.84,1824.0,8251,,0.0,0.0,110.55,84.52,68.67,0.0,0,0.0,0.0,10.0,,896.0,,67,1681077528.0,,,0.0,0.0,0.0,30.94,0.0,0.0,792.4023997613701,704.0,7872,0.0,704.0,0.0,,0.0,,90.62,960.0,13,0.0,792.4023997613701,0.0,68.26,512.0,512.0,8,0,640.0,0.0,99.33
110.86,98.95,1952.0,9502,,0.0,0.0,112.4,95.39,85.2,0.0,0,0.0,0.0,10.0,,1056.0,,69,1681077530.0,,,0.0,0.0,0.0,27.32,0.0,0.0,851.709695147695,864.0,9120,0.0,832.0,0.0,,0.0,,101.46,1088.0,14,0.0,851.709695147695,0.0,81.95,672.0,640.0,8,0,768.0,0.0,106.19
115.01,106.89,2112.0,10740,,0.0,0.0,113.78,105.1,97.22,0.0,0,0.0,0.0,10.0,,1184.0,,70,1681077531.0,,,0.0,0.0,0.0,24.77,0.0,0.0,889.1773810258012,1024.0,10336,0.0,992.0,0.0,,0.0,,108.86,1248.0,15,0.0,889.1773810258012,0.0,95.05,832.0,800.0,8,0,928.0,0.0,109.79
117.23,111.73,2272.0,11970,,0.0,0.0,114.85,111.28,104.31,0.0,0,0.0,0.0,10.0,,1344.0,,71,1681077532.0,,,0.0,0.0,0.0,22.75,0.0,0.0,914.3252130570768,1152.0,11584,0.0,1152.0,0.0,,0.0,,112.88,1408.0,16,0.0,914.3252130570768,0.0,104.18,960.0,960.0,8,0,1088.0,0.0,112.72
118.85,114.77,2400.0,13196,,0.0,0.0,115.3,115.0,109.73,0.0,0,0.0,0.0,10.0,,1504.0,,73,1681077534.0,,,0.0,0.0,0.0,21.07,0.0,0.0,928.7491886682792,1312.0,12768,0.0,1312.0,0.0,,0.0,,116.07,1568.0,17,0.0,928.7491886682792,0.0,110.01,1120.0,1120.0,8,0,1248.0,0.0,114.59
