02_timing/forward_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_fifteen_min_percent,_step,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,process/memory/shared_memory_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,cpu/logical_core_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_five_min_percent,_runtime,01_general/lr,03_hivemind/global_epoch,01_general/dataset_iteration_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,03_hivemind/num_peers,cpu/interrupts/interrupts_count,_timestamp,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/step_time_s,02_timing/dataload_time_s,memory/total_memory_sys_MB,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent
,,,,,,,0,,,,,,,8.0,,,,,,,,,,,0,,,,,,,,1681079694.0,,,,,,,,,31557.189632,,,
,,752.586752,3.9,0.0,9.0,1.25,1,0.0,,177.639424,0.0,0.0,8492.621824,,,0.0,1009.60256,107.0,,0.0,0.0,,0.0,0.25,0,,,,23.0,0.0,,15.0,1681079694.0,,30334.95552,0.0,402.763776,2.654208,,,,,0.0,12.0,1.0
,,906.518528,4.4,0.0,2298.0,1.375,2,0.0029999999997016857,,179.953664,0.0,0.28923581409959814,8568.127488,,,0.012000000000000455,1018.126336,120.0,,0.0,0.3190388152068215,,0.0,0.375,1,,,,25.0,0.012246498065101613,,2321.0,1681079695.0,,30181.019648,0.0,405.172224,2.654208,,,,,3.0,1083.0,1.875
,,1263.644672,5.5,0.0,3416.0,1.375,3,0.0039999999999054126,,182.575104,0.0,0.16874942832372744,8993.083392,,,0.015999999999991132,1376.104448,137.0,,0.0,0.16150922227424938,,0.0,0.375,2,,,,29.0,0.004082583155675777,,3457.0,1681079696.0,,29823.893504,0.0,756.46976,2.654208,,,,,4.0,1687.0,1.875
,,1710.350336,6.9,0.0,3748.0,1.375,4,0.0039999999999054126,,183.754752,0.0,0.03472142948464422,9663.410176,,,0.02400000000000091,1845.510144,137.0,,0.0,0.02545865840703032,,0.0,0.375,3,,,,31.0,0.00408487405424254,,4182.0,1681079697.0,,29377.183744,0.0,1202.610176,2.654208,,,,,5.0,2082.0,1.875
,,1710.57152,6.9,0.0,4224.0,1.375,5,0.010000000000218279,,183.754752,0.0,0.018813551336515976,9663.410176,,,0.03200000000001069,1845.510144,137.0,,0.0,0.019739855246522386,,0.0,0.375,4,,,,35.0,0.07359324673998002,,5600.0,1681079698.0,,29376.958464,0.0,1202.610176,2.654208,,,,,10.0,2945.0,1.875
,,2172.321792,8.4,0.0,5362.0,1.375,6,0.012999999999919964,,335.450112,0.0,0.9036681990323385,10487.857152,,,0.04400000000001114,2231.701504,148.0,,0.0,0.16864334431406744,,0.0,0.375,5,,,,36.0,0.17567314257510672,,7656.0,1681079699.0,,28902.633472,0.0,1730.248704,2.654208,,,,,13.0,4424.0,1.875
,,2858.397696,10.6,0.0,5797.0,1.375,7,0.014000000000123691,,461.737984,0.0,0.04457177534626583,11605.250048,,,0.04800000000000182,2912.886784,149.0,,0.0,0.05571072958469042,,0.0,0.625,6,,,,39.0,0.004085347111174503,,8315.0,1681079700.0,,28216.557568,0.0,2537.476096,2.654208,,,,,14.0,4735.0,2.75
,,2625.359872,12.4,0.0,8366.0,1.375,8,0.015000000000327418,,1256.419328,0.0,0.14436787040261578,13711.958016,,,0.0519999999999925,2718.3104,528.0,,0.0,0.15706822478202723,,0.0,0.625,7,,,,40.0,0.004081972036710791,,10779.0,1681079701.0,,27658.592256,0.0,3095.94112,2.654208,,,,,15.0,5667.0,2.75
,,4584.329216,19.0,0.0,10300.0,1.375,9,0.016000000000531145,,1405.427712,0.0,0.1371891139782796,18144.256,,,0.060000000000002274,4351.627264,665.0,,0.0,0.1510782589771627,,0.0,0.625,8,,,,43.0,0.004072876401105367,,137413.0,1681079702.0,,25551.331328,0.0,4879.814656,2.654208,,,,,16.0,6648.0,2.75
