cpu/load/avg_sys_load_one_min_percent,03_hivemind/num_peers,02_timing/backward_time_s,02_timing/dataload_time_s,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,01_general/locally_processed_samples,01_general/step,02_timing/step_time_s,memory/used_memory_sys_MB,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,cpu/load/avg_sys_load_fifteen_min_percent,_step,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,process/voluntary_proc_ctx_switches,_timestamp,disk/time/disk_read_time_sys_s,process/memory/lib_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,01_general/lr,02_timing/opt_step_time_s,disk/time/disk_busy_time_sys_s,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,03_hivemind/global_epoch,01_general/minibatch_loss,memory/total_memory_sys_MB,process/memory/virtual_memory_size_proc_MB,_runtime,cpu/logical_core_count,02_timing/forward_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB
,,,,,,,,,,,,,,,,,,,0,,,,1681080363.0,,,,,,,,,,,,,,31557.189632,,1,8.0,,,,,
2.75,,,,0.0,9.0,,,,,732.717056,,176.021504,30.0,0.0,,3.8,12.0,6.75,1,30354.825216,0.0,88.0,1681080363.0,0.0,1009.598464,0.0,8.625,,,0.0,0.0,9.0,0.11668031650298011,2.654208,,,,8492.617728,1,,,0.0,0.0,0.0,399.101952
2.75,,,,0.0020000000004074536,2355.0,,,,,881.33632,,178.40128,30.0,0.0,,4.3,3045.0,6.75,2,30206.201856,0.0,101.0,1681080364.0,0.0,1018.12224,0.2724136922474947,8.625,,,0.008000000000009777,3.0,966.0,0.29644667790441953,2.654208,,,,8568.123392,2,,,0.0,0.0,0.012243670265030992,401.567744
2.75,,,,0.0039999999999054126,4961.0,,,,,1172.078592,,180.109312,33.0,0.0,,5.2,5124.0,6.75,3,29915.455488,0.0,138.0,1681080366.0,0.0,1306.824704,0.2798505104227708,8.625,,,0.020000000000010232,5.0,1943.0,0.15179915554184498,2.654208,,,,8923.803648,4,,,0.0,0.0,0.008013317625702157,682.328064
3.5000000000000004,,,,0.021999999999934516,6161.0,,,,,1421.328384,,180.30592,35.0,0.0,,6.0,6214.0,6.75,4,29666.209792,0.0,170.0,1681080367.0,0.0,2580.062208,0.3469548434223685,8.625,,,0.03200000000001069,22.0,2515.0,0.17350362730691699,2.654208,,,,10197.028864,5,,,0.0,0.0,0.07283663256110331,930.615296
3.5000000000000004,,,,0.023000000000138243,6786.0,,,,,2145.452032,,180.830208,37.0,0.0,,8.3,6981.0,6.75,5,28942.082048,0.0,170.0,1681080368.0,0.0,2580.062208,0.08712416687796051,8.625,,,0.036000000000001364,23.0,2911.0,0.10268632919305158,2.654208,,,,10197.028864,6,,,0.0,0.0,0.00408606516803716,1653.690368
3.5000000000000004,,,,0.024999999999636202,7922.0,,,,,2537.836544,,182.59968,41.0,0.0,,9.5,8496.0,6.75,6,28549.701632,0.0,170.0,1681080369.0,0.0,2668.42112,0.9438057548795171,8.625,,,0.04400000000001114,26.0,4245.0,0.2104457092313824,2.654208,,,,10285.387776,7,,,0.0,0.0,0.15525677683765937,2044.02688
3.5000000000000004,,,,0.02599999999983993,8737.0,,,,,3093.139456,,182.59968,43.0,0.0,,11.3,9478.0,6.75,7,27994.394624,0.0,170.0,1681080370.0,0.0,3222.687744,0.14097276969437447,8.625,,,0.04800000000000182,27.0,4789.0,0.14260075972961794,2.654208,,,,10839.6544,8,,,0.0,0.0,0.004085935922238521,2598.486016
4.25,,,,0.027000000000043656,9182.0,,,,,3595.001856,,182.59968,47.0,0.0,,12.9,10111.0,6.75,8,27492.532224,0.0,170.0,1681080371.0,0.0,3722.682368,0.07306373386804463,8.75,,,0.0519999999999925,28.0,5100.0,0.1245658459842036,2.654208,,,,11339.649024,9,,,0.0,0.0,0.0040856959092791115,3099.385856
4.25,,,,0.028000000000247383,9651.0,,,,,3594.903552,,182.59968,50.0,0.0,,12.9,10756.0,6.75,9,27492.630528,0.0,170.0,1681080372.0,0.0,3722.682368,0.07441358913040325,8.75,,,0.056000000000011596,29.0,5415.0,0.07415024887075594,2.654208,,,,11339.649024,10,,,0.0,0.0,0.004085764897970769,3099.385856
