03_hivemind/undershot_TBS,04_peers/peer_4_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,_runtime,03_hivemind/num_peers,04_peers/peer_5_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,04_peers/peer_5_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/total_training_samples,04_peers/peer_3_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_per_second,03_hivemind/global_samples_accumulated,_step,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/actual_total_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_6_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_6_epoch,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/epoch_s,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second
,,,,52,1,,,11609.53,128,,,,,2.8114489229820303,,,,,,10.0,,128,0,,0,,,0,,2.8114489229820303,,,,,,1681080360.0,,,,,,
,,,,53,1,,,4747.28,257,,0.0,,,6.848251005730842,,,,,,10.0,,256,1,,0,,128.0,0,,6.848251005730842,,,,,,1681080361.0,,,,,0.0,2.81
,,,,54,1,,,2594.25,387,,0.0,,,12.48171332128623,,,,,,10.0,,384,2,,0,,256.0,0,,12.48171332128623,,,,,,1681080362.0,,,,,0.0,6.85
,,,,55,1,,,1609.55,518,,0.0,,,20.036458294965644,,,,,,10.0,,512,3,,0,,384.0,0,,20.036458294965644,,,,,,1681080363.0,,,,,0.0,12.48
,,,,56,1,,,990.95,679,,0.0,,,32.38224442252457,,,,,,10.0,,672,4,,0,,512.0,0,,32.38224442252457,,,,,,1681080364.0,,,,,0.0,20.04
,,,,60,1,,,719.33,944,,0.0,,,44.24109075602475,,,,,,10.0,,800,5,,0,,672.0,0,,44.24109075602475,,,,,,1681080368.0,,,,,0.0,32.38
,,,,65,1,,,351.76,1573,,0.0,,,88.68292292567564,,,,,,10.0,,1280,6,,0,,800.0,0,,88.68292292567564,,,,,,1681080373.0,,,,,0.0,44.24
,,,,66,1,,,282.5,1799,,0.0,,,109.62432232665218,,,,,,10.0,,1760,7,,0,,1280.0,0,,109.62432232665218,,,,,,1681080374.0,,,,,0.0,88.68
,,,,70,1,,,272.71,2268,,0.0,,,111.84164209336882,,,,,,10.0,,1888,8,,0,,1760.0,0,,111.84164209336882,,,,,,1681080378.0,,,,,0.0,109.62
,,,,71,1,,,263.3,2415,,0.0,,,115.2798249678722,,,,,,10.0,,2368,9,,0,,1888.0,0,,115.2798249678722,,,,,,1681080379.0,,,,,0.0,111.84
,,,,72,1,,,261.58,2548,,0.0,,,115.52864547217455,,,,,,10.0,,2496,10,,0,,2368.0,0,,115.52864547217455,,,,,,1681080380.0,,,,,0.0,115.28
,,,,73,1,,,259.94,2681,,0.0,,,115.74231527886285,,,,,,10.0,,2624,11,,0,,2496.0,0,,115.74231527886285,,,,,,1681080381.0,,,,,0.0,115.53
,,,,75,1,,,258.65,2818,,0.0,,,115.79272831365586,,,,,,10.0,,2784,12,,0,,2624.0,0,,115.79272831365586,,,,,,1681080383.0,,,,,0.0,115.74
,,,,76,1,,,257.35,2969,,0.0,,,115.79139436129701,,,,,,10.0,,2912,13,,0,,2784.0,0,,115.79139436129701,,,,,,1681080384.0,,,,,0.0,115.79
,,,,77,1,,,256.36,3119,,0.0,,,115.65095482587445,,,,,,10.0,,3072,14,,0,,2912.0,0,,115.65095482587445,,,,,,1681080385.0,,,,,0.0,115.79
,,,,78,1,,,255.25,3270,,0.0,,,115.5659145048079,,,,,,10.0,,3200,15,,0,,3072.0,0,,115.5659145048079,,,,,,1681080386.0,,,,,0.0,115.65
,,,,80,1,,,253.98,3421,,0.0,,,115.54930576881621,,,,,,10.0,,3360,16,,0,,3200.0,0,,115.54930576881621,,,,,,1681080388.0,,,,,0.0,115.57
,,,,81,3,,,200.5,3814,,0.0,,,144.40438915813533,,,,,,10.0,,3744,17,,0,,3360.0,0,,144.40438915813533,,,,,,1681080389.0,,,,,0.0,115.55
,,12.39,128.0,82,4,,,143.16,4384,,0.0,,,198.27587589529278,,,0.0,0.0,,10.0,,4288,18,0.0,0,0.0,3520.0,0,,198.27587589529278,16.62,,,,,1681080390.0,,,96.0,,0.0,115.4
