_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,31557.18144,1681082335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681082335,1.625,0.0,0.0,725.13536,0.0,54.0,0.4908297059095738,175.935488,0.0,399.024128,0.0,0.0,0.0,0.0,15.0,0.5651454708424543,30316.285952,2.654208,274.0,0.0,1009.60256,0.0,42.0,3.9,0.0,8492.621824,41.0,,,,,,,,,,,,,,
2,2,,,1681082336,1.625,0.0,0.012000000000000455,870.592512,0.012242928623753719,2070.0,0.28471982637392895,178.249728,3.0,401.42848,0.0,0.0,0.0,0.0,796.0,0.4615329029298297,30170.791936,2.654208,290.0,0.001999999999497959,1018.126336,0.0,1900.0,4.4,0.0,8568.127488,41.0,,,,,,,,,,,,,,
3,3,,,1681082337,1.625,0.0,0.020000000000010232,877.481984,0.1959170617218508,3215.0,0.14913006486938868,178.249728,9.0,401.432576,0.0,0.0,0.0,0.0,1485.0,0.7284230793685234,30163.902464,2.654208,290.0,0.014999999999417923,1018.126336,0.0,2898.0,4.4,0.0,8568.127488,41.0,,,,,,,,,,,,,,
4,4,,,1681082338,1.625,0.0,0.03200000000001069,1086.185472,0.012252451771164132,4554.0,0.2715321993590295,180.609024,12.0,603.639808,0.0,0.0,0.0,0.0,2434.0,0.26439291267519616,29955.231744,2.654208,298.0,0.018000000000029104,1232.969728,0.0,4264.0,5.1,0.0,8849.936384,41.0,,,,,,,,,,,,,,
5,5,,,1681082339,1.625,0.0,0.04800000000000182,1649.352704,0.19185619577407384,5406.0,0.13310501945580533,180.609024,16.0,1163.853824,0.0,0.0,0.0,1.0,2943.0,0.15682394328483573,29392.064512,2.654208,298.0,0.021999999999934516,1813.757952,0.0,5260.0,6.9,0.25,9430.724608,45.0,,,,,,,,,,,,,,
6,6,,,1681082340,1.625,0.0,0.05200000000002092,1684.795392,0.004084228265500006,6903.0,0.3316281673184907,182.181888,17.0,1200.959488,0.0,0.0,0.0,1.0,4461.0,0.17913169904741946,29356.617728,2.654208,298.0,0.02299999999922875,1845.510144,0.0,7592.0,7.0,0.25,9663.410176,47.0,,,,,,,,,,,,,,
7,7,,,1681082341,1.625,0.0,0.060000000000002274,2061.512704,0.2490355011564905,7876.0,0.21589668381395932,320.618496,53.0,1634.062336,0.0,0.0,0.0,1.0,5184.0,0.1522264585367284,28967.346176,2.654208,309.0,0.07399999999961437,2150.453248,0.0,9261.0,8.2,0.25,10339.500032,54.0,,,,,,,,,,,,,,
8,8,,,1681082342,1.625,0.0,0.06400000000002137,2731.208704,0.004080538077230728,8544.0,0.255814670478157,440.15616,54.0,2419.11808,0.0,0.0,0.0,1.0,5573.0,0.12071857479479285,28297.6256,2.654208,312.0,0.0749999999998181,2817.355776,0.0,10054.0,10.3,0.25,11341.94688,58.0,,,,,,,,,,,,,,
9,9,,,1681082343,1.625,0.0,0.06800000000001205,2114.146304,0.004081017893048336,10577.0,0.4667106263061903,696.090624,55.0,2054.311936,0.0,0.0,0.0,1.0,6367.0,0.38593516666233146,28683.07968,2.654208,499.0,0.07600000000002183,2229.428224,0.0,11861.0,9.1,0.25,12665.237504,60.0,,,,,,,,,,,,,,
