process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/virtual_memory_size_proc_MB,memory/used_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,01_general/minibatch_loss,02_timing/dataload_time_s,02_timing/opt_step_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,02_timing/dataload_cuda_move_time_s,_runtime,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,memory/available_memory_sys_MB,01_general/dataset_iteration_count,process/memory/dirty_pages_proc_count,process/memory/data_resident_set_proc_MB,02_timing/forward_time_s,memory/total_memory_sys_MB,03_hivemind/global_epoch,disk/counter/disk_read_sys_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_fifteen_min_percent,_step,01_general/lr,cpu/interrupts/interrupts_count,disk/time/disk_write_time_sys_s,process/voluntary_proc_ctx_switches,_timestamp,01_general/step,02_timing/loss_calc_time_s,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,cpu/logical_core_count,02_timing/backward_time_s,cpu/interrupts/ctx_switches_count,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,03_hivemind/num_peers,memory/used_memory_sys_percent
,,,,,,,,,,,,,,1,,,,,,,,31557.189632,,,,,0,,,,,1681082326.0,,,,,,8.0,,,,,,,
400.19968,2.654208,2.0,1.0,0.0,8492.621824,734.273536,0.0,,,,0.0,0.0,,1,,0.0,30353.268736,,0.0,0.0,,,,0.0,,1.5,1,,13.0,0.0,89.0,1681082326.0,,,1009.60256,175.054848,23.0,,,21.0,0.1974845982839531,1.941932075436536,0.25,,3.8
404.942848,2.654208,923.0,1.0,0.012247362379305673,8568.127488,886.521856,0.0,,,,0.0,3.0,,2,,0.015999999999991132,30201.01632,,0.0,0.0,,,,0.0,,1.5,2,,2891.0,0.001999999999497959,104.0,1681082327.0,,,1018.126336,177.627136,24.0,,,2317.0,0.27011972343557555,0.29615334208419813,0.25,,4.3
736.989184,2.654208,1504.0,1.875,0.004082906249627502,8974.0288,1225.797632,0.0,,,,0.0,4.0,,3,,0.01999999999998181,29861.736448,,0.0,0.0,,,,0.0,,1.5,3,,3950.0,0.0029999999997016857,115.0,1681082328.0,,,1357.049856,179.986432,25.0,,,3339.0,0.11504704777900418,0.1086116857781885,0.375,,5.4
1201.09056,2.654208,1925.0,1.875,0.08579726759695513,9663.422464,1692.151808,0.0,,,,0.0,24.0,,4,,0.027999999999991587,29395.386368,,0.0,0.0,,,,0.0,,1.5,4,,4719.0,0.023999999999432475,115.0,1681082329.0,,,1845.522432,180.117504,27.0,,,3682.0,0.0802434266098317,0.08850237118415676,0.375,,6.9
1202.946048,2.654208,2836.0,1.875,0.2941486295272464,9663.422464,1692.409856,0.0,,,,0.0,74.0,,5,,0.036000000000001364,29395.12832,,0.0,0.0,,,,0.0,,1.5,5,,6168.0,0.06499999999959982,115.0,1681082330.0,,,1845.522432,181.886976,28.0,,,4201.0,0.03549189198619402,0.037343087718344825,0.375,,6.9
1835.429888,2.654208,3318.0,1.875,0.241073028797687,10608.648192,2239.217664,0.0,,,,0.0,80.0,,6,,0.04800000000000182,28835.733504,,0.0,0.0,,,,0.0,,1.5,6,,7294.0,0.07099999999991269,126.0,1681082331.0,,,2318.938112,351.25248,30.0,,,4961.0,0.07994003336290124,0.1288042467131611,0.375,,8.6
2061.5168,2.654208,3678.0,1.875,0.004085061516882244,11970.093056,2362.302464,0.0,,,,0.0,81.0,,7,,0.0519999999999925,28712.644608,,0.0,0.0,,,,0.0,,1.5,7,,7951.0,0.07200000000011642,126.0,1681082332.0,,,2438.868992,457.781248,32.0,,,5360.0,0.04516705713980207,0.05824404115949464,0.375,,9.0
3136.200704,2.654208,4562.0,5.75,0.0040816306657768505,13747.494912,2650.853376,0.0,,,,0.0,82.0,,8,,0.055999999999983174,27635.367936,,0.0,0.0,,,,0.0,,1.7500000000000002,8,,10316.0,0.07200000000011642,487.0,1681082333.0,,,2753.851392,1251.147776,36.0,,,7689.0,0.11827162608905441,0.14516893438812828,1.25,,12.4
5316.370432,2.654208,6289.0,5.75,0.004069352231680688,18584.84224,5012.729856,0.0,,,,0.0,83.0,,9,,0.060000000000002274,25122.287616,,0.0,0.0,,,,0.0,,1.7500000000000002,9,,130838.0,0.07299999999941065,630.0,1681082334.0,,,4792.213504,1401.458688,37.0,,,10151.0,0.9673851704185611,0.18167432301263192,1.25,,20.4
