_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,64.0,255469.289472,1681156454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1681156454,0.25,0.0,0.0,1475.559424,0.0,11.0,0.0,176.693248,0.0,415.793152,0.0,0.0,0.0,0.265625,10.0,0.0,244800.598016,2.854912,143.0,0.0,4752.05632,0.0,15.0,4.2,0.234375,11969.073152,154.0,,,,,,,,,,,,,,
2,1,,,1681156455,0.25,0.0,0.004000000000132786,1759.297536,0.004069235596235194,2969.0,0.07190307548575389,181.755904,1.0,558.702592,0.0,0.0,0.0,0.265625,1175.0,0.06319236784239574,244516.868096,2.854912,158.0,0.0,4908.658688,0.0,3051.0,4.3,0.234375,12259.6352,155.0,,,,,,,,,,,,,,
3,2,,,1681156456,0.265625,0.0,0.008000000000038199,2391.232512,0.3254256943139594,3741.0,0.041726946952206766,181.755904,3.0,1131.741184,0.0,0.0,0.0,0.375,1722.0,0.041385313243854006,243884.929024,2.854912,161.0,0.003000000000156433,5480.40704,0.0,3925.0,4.5,0.25,12831.371264,158.0,,,,,,,,,,,,,,
4,3,,,1681156457,0.265625,0.0,0.008000000000038199,2477.146112,0.0,8947.0,0.01810957993800958,183.68512,3.0,1217.069056,0.0,0.0,0.0,0.375,13293.0,0.021478249165814818,243799.01952,2.854912,168.0,0.003000000000156433,6099.718144,0.0,22738.0,4.6,0.25,17670.283264,159.0,,,,,,,,,,,,,,
5,4,,,1681156458,0.265625,0.0,0.016000000000076398,2813.239296,0.5096126245236287,12006.0,0.01597317089351732,313.061376,92.0,1599.65184,0.0,0.0,0.0,0.375,19933.0,0.01942101864107763,243450.339328,2.854912,212.0,0.04900000000043292,6371.586048,0.0,33092.0,4.7,0.25,18447.515648,161.0,,,,,,,,,,,,,,
6,5,,,1681156459,0.265625,0.0,0.016000000000076398,2903.629824,0.0,12330.0,0.004991176597988056,459.730944,92.0,1832.177664,0.0,0.0,0.0,0.375,20272.0,0.0013352191878299917,243359.9488,2.854912,217.0,0.04900000000043292,6457.48736,0.0,33539.0,4.7,0.25,20211.13856,163.0,,,,,,,,,,,,,,
7,6,,,1681156460,0.265625,0.0,0.016000000000076398,2902.437888,0.0,13141.0,0.014377424279843915,463.17568,92.0,1831.563264,0.0,0.0,0.0,0.375,20671.0,0.018280437121919242,243361.13664,2.854912,229.0,0.04900000000043292,6452.998144,0.0,34108.0,4.7,0.25,20212.113408,163.0,,,,,,,,,,,,,,
8,7,,,1681156461,0.25,0.0,0.016000000000076398,2902.470656,0.0,13514.0,0.006839324139610848,463.17568,92.0,1831.563264,0.0,0.0,0.0,0.34375,20853.0,0.0077788356668228005,243361.103872,2.854912,229.0,0.04900000000043292,6452.998144,0.0,34340.0,4.7,0.25,20212.113408,163.0,,,,,,,,,,,,,,
9,8,,,1681156462,0.25,0.0,0.01999999999998181,2902.470656,0.09381144387983038,13812.0,0.008563799264648623,463.17568,94.0,1831.563264,0.0,0.0,0.0,0.34375,21017.0,0.005823383444316926,243361.103872,2.854912,229.0,0.051000000000385626,6452.998144,0.0,34550.0,4.7,0.25,20212.113408,163.0,,,,,,,,,,,,,,
10,9,,,1681156463,0.25,0.0,0.01999999999998181,2902.564864,0.0,14475.0,0.04099980943221671,463.17568,94.0,1831.563264,0.0,0.0,0.0,0.34375,21299.0,0.03377345330490133,243361.005568,2.854912,229.0,0.051000000000385626,6452.998144,0.0,34999.0,4.7,0.25,20212.113408,163.0,,,,,,,,,,,,,,
11,10,,,1681156464,0.25,0.0,0.024000000000114596,3232.346112,0.08976584655478843,20540.0,0.431727181291085,1255.231488,107.0,2972.954624,0.0,0.0,0.0,0.34375,36445.0,1.319248736889998,242243.764224,2.854912,583.0,0.06000000000040018,6843.875328,0.0,54387.0,5.2,0.25,21662.76096,179.0,,,,,,,,,,,,,,
12,11,,,1681156465,0.25,0.0,0.024000000000114596,5056.036864,0.0,25103.0,0.5817416034994409,1264.816128,107.0,4753.77664,0.0,0.0,0.0,0.34375,50467.0,0.43085993931758887,240403.406848,2.854912,644.0,0.06000000000040018,8614.58432,0.0,270988.0,5.9,0.25,26096.463872,183.0,,,,,,,,,,,,,,
13,12,,,1681156466,0.78125,0.0,0.024000000000114596,5225.730048,0.0,29664.0,0.47833877626006294,1345.716224,107.0,4834.865152,0.0,0.0,0.0,8.1875,61673.0,0.38819660657875743,240154.89024,2.854912,688.0,0.06000000000040018,8614.58432,0.0,622742.0,6.0,1.875,26175.238144,200.0,,,,,,,,,,,,,,
14,13,,,1681156467,0.78125,0.0,0.03199999999992542,5392.924672,0.12648217023855485,34043.0,0.6839854863852157,1429.274624,109.0,4918.566912,0.0,0.0,0.0,8.1875,73700.0,0.5472234521984869,239901.802496,2.854912,705.0,0.06100000000014916,8623.108096,0.0,920147.0,6.1,1.875,26336.636928,237.0,,,,,,,,,,,,,,
15,14,,,1681156468,0.78125,0.0,0.03199999999992542,5563.584512,0.0,37056.0,0.4077622793999239,1515.245568,109.0,5004.537856,0.0,0.0,0.0,8.1875,84167.0,0.27328613601306206,239645.560832,2.854912,743.0,0.06100000000014916,8623.108096,0.0,1211435.0,6.2,1.875,26422.378496,249.0,,,,,,,,,,,,,,
16,15,,,1681156469,0.78125,0.0,0.03600000000005821,6170.918912,0.30548803631573734,42027.0,0.5360837707741152,2043.785216,171.0,5807.075328,0.0,0.0,0.0,8.1875,95979.0,0.4741031125401838,238508.8512,2.854912,760.0,0.07800000000042928,8922.599424,0.0,1292148.0,6.6,1.875,27452.010496,415.0,,,,,,,,,,,,,,
17,16,,,1681156470,0.78125,0.0,0.03600000000005821,6193.58208,0.0,43623.0,0.28179171304424844,2043.785216,171.0,5807.108096,0.0,0.0,0.0,8.1875,97510.0,8.24646144773475,238486.188032,2.854912,760.0,0.07800000000042928,8922.599424,0.0,1294225.0,6.6,1.875,27452.010496,415.0,,,,,,,,,,,,,,
18,17,,,1681156471,0.8125,0.0,0.03600000000005821,6860.210176,0.0,47763.0,0.7471086026575231,2156.91264,171.0,5920.313344,0.0,0.0,0.0,8.03125,102098.0,223.6064961950172,237718.75328,2.854912,769.0,0.07800000000042928,8922.873856,0.0,1300829.0,6.9,1.953125,27651.407872,435.0,0.0053417012095451355,,,,,,,,,,,,,
19,18,,,1681156472,0.8125,0.0,0.03999999999996362,7546.71616,0.07742582306878643,48610.0,0.13215238146645275,2401.6896,173.0,6243.201024,0.0,0.0,0.0,8.03125,102701.0,12.30187926381413,237032.210432,2.854912,773.0,0.07900000000017826,9023.250432,0.0,1302368.0,7.2,1.953125,36289.31072,437.0,,0.0002917470410466194,1.3391457400284708,0.05266113672405481,0.17833102121949196,,,,,,,,,
20,18,,,1681156473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.0,7.1795654296875,3.2064192765392363,0.0,0.0001,1.630647930316627,0.0,0.0
21,19,,,1681156473,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003481685183942318,0.0008235699497163296,0.025773613713681698,0.043506831862032413,0.1215731231495738,8.0,64.0,7.223876953125,0.1996167036704719,0.0,0.0001,0.004457879811525345,0.0,1.0
22,19,,,1681156473,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034691961482167244,0.0005990741774439812,0.02561535034328699,0.04511449113488197,0.12456149701029062,8.0,96.0,7.1910400390625,0.20227486081421375,0.0,0.0001,0.00291525200009346,0.0,2.0
23,19,,,1681156473,0.8125,0.0,0.03999999999996362,7554.428928,0.0,52046.0,1.1277374002679457,2399.977472,173.0,6241.550336,0.0,0.0,0.0,8.03125,104894.0,50.653955380522014,237024.505856,2.854912,812.0,0.07900000000017826,9023.524864,0.0,1305642.0,7.2,1.953125,36270.297088,450.0,0.004183652810752392,0.000859270803630352,0.02566080167889595,,,,,,,,,,,
24,20,,,1681156474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04349304083734751,0.12206751480698586,8.0,128.0,7.1527099609375,0.20139431720599532,0.0,0.0001,0.0051300362683832645,0.0,3.0
25,20,,,1681156474,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005063484888523817,0.0010497653856873512,0.028832748997956514,0.04376736795529723,0.11923867557197809,8.0,160.0,7.0352783203125,0.20426890812814236,0.0,0.0001,0.00631686532869935,0.0,4.0
26,20,,,1681156474,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003998479340225458,0.0008089002221822739,0.028418339788913727,0.04372004698961973,0.12051803711801767,8.0,192.0,7.1495361328125,0.2016518167220056,0.0,0.0001,0.0041880132630467415,0.0,5.0
27,20,,,1681156474,0.8125,0.0,0.052000000000134605,7560.35584,0.11413128974469101,55859.0,1.704366431568928,2400.043008,192.0,6241.62816,0.0,0.0,0.0,8.03125,108185.0,77.37108687081353,237037.842432,2.854912,845.0,0.09600000000000364,9023.52896,0.0,1310179.0,7.2,1.953125,36270.301184,523.0,0.00446006003767252,0.0008240211755037308,0.028696286026388407,,,,,,,,,,,
28,21,,,1681156475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0439162221737206,0.11605575727298856,8.0,224.0,7.28173828125,0.20124338567256927,0.0,0.0001,0.007291038986295462,0.0,6.0
29,21,,,1681156475,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004841588903218508,0.0008092001080513,0.026922093238681555,0.04417592799291015,0.1215110719203949,8.0,256.0,7.125,0.20522984396666288,0.0,0.0001,0.006969961803406477,0.0,7.0
30,21,,,1681156475,0.8125,0.0,0.052000000000134605,7565.877248,0.0,59273.0,1.2647278822559498,2400.043008,192.0,6241.898496,0.0,0.0,0.0,8.03125,111346.0,84.87714041587198,237013.049344,2.854912,874.0,0.09600000000000364,9023.537152,0.0,1314437.0,7.2,1.953125,36270.301184,525.0,0.003599888179451227,0.0007273880764842033,0.02604222111403942,0.04364312393590808,0.12261195760220289,,,,,,,,,
31,21,,,1681156475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,288.0,7.3597412109375,0.20272407913580537,0.0,0.0001,0.006099500227719545,0.0,8.0
32,22,,,1681156476,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003828694112598896,0.0007450878620147705,0.02902080398052931,0.04376324778422713,0.11983331991359591,8.0,320.0,6.980712890625,0.20314856991171837,0.0,0.0001,0.005957416258752346,0.0,9.0
33,22,,,1681156476,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037529021501541138,0.0006582657806575298,0.02854490326717496,0.043693806044757366,0.12009197613224387,8.0,352.0,7.1771240234375,0.19989837147295475,0.0,0.0001,0.0031565180979669094,0.0,10.0
34,22,,,1681156476,0.828125,0.0,0.052000000000134605,7574.2208,0.0,62783.0,1.1405104358792044,2400.043008,192.0,6241.898496,0.0,0.0,0.0,7.640624999999999,114336.0,86.21359445741622,237004.701696,2.854912,908.0,0.09600000000000364,9023.541248,0.0,1318485.0,7.2,1.96875,36270.301184,611.0,0.0037169018760323524,0.000915782991796732,0.027680281084030867,0.04373714700341225,0.12099225865676999,,,,,,,,,
35,22,,,1681156477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,384.0,7.349853515625,0.20014708768576384,0.0,0.0001,0.0031047160737216473,0.0,11.0
36,23,,,1681156477,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035502780228853226,0.000966113992035389,0.027577338740229607,0.04393848218023777,0.12127446522936225,8.0,416.0,7.1239013671875,0.2003794340416789,0.0,0.0001,0.003072755876928568,0.0,12.0
37,23,,,1681156477,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036195190623402596,0.0008941921405494213,0.02782645495608449,0.04392746137455106,0.12100590812042356,8.0,448.0,7.1131591796875,0.20022474881261587,0.0,0.0001,0.0029512131586670876,0.0,13.0
38,23,,,1681156477,0.828125,0.0,0.052000000000134605,7576.100864,0.0,65981.0,1.0596850020694633,2400.043008,192.0,6241.898496,0.0,0.0,0.0,7.640624999999999,117254.0,80.09672867602667,237002.81344,2.854912,938.0,0.09600000000000364,9023.54944,0.0,1322303.0,7.2,1.96875,36270.301184,632.0,0.003545037005096674,0.0010216450318694115,0.02797852922230959,,0.12042379379272461,,,,,,,,,
39,24,,,1681156478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043929991312325,,8.0,480.0,7.4512939453125,0.20007470529526472,0.0,0.0001,0.003175708930939436,0.0,14.0
40,24,,,1681156478,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0036045792512595654,0.0009468039497733116,0.027527286671102047,0.043861350044608116,0.12108875019475818,8.0,512.0,7.2391357421875,0.2000472340732813,0.0,0.0001,0.0030184639617800713,0.0,15.0
41,24,,,1681156478,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035372269339859486,0.0009453929960727692,0.02750816708430648,0.04376963712275028,0.12092261668294668,8.0,544.0,7.1322021484375,0.19980965740978718,0.0,0.0001,0.0031266165897250175,0.0,16.0
42,24,,,1681156478,0.828125,0.0,0.052000000000134605,7578.66496,0.0,69666.0,1.282192477602274,2400.043008,192.0,6241.906688,0.0,0.0,0.0,7.640624999999999,119851.0,74.48877304376447,237019.516928,2.854912,974.0,0.09600000000000364,9023.819776,0.0,1326254.0,7.2,1.96875,36270.563328,661.0,0.004707755986601114,0.0006860466673970222,0.02668981719762087,,,,,,,,,,,
43,25,,,1681156479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04358527297154069,0.12202033400535583,8.0,576.0,7.00604248046875,0.20097411796450615,0.0,0.0001,0.0032848911359906197,0.0,17.0
44,25,,,1681156479,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004267385229468346,0.0008417908102273941,0.027058525942265987,0.04406452411785722,0.12158221192657948,8.0,608.0,7.2960205078125,0.20120934071019292,0.0,0.0001,0.0033949026837944984,0.0,18.0
45,25,,,1681156479,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004386847838759422,0.000858051236718893,0.02694916306063533,0.044399323873221874,0.12118229269981384,8.0,640.0,7.40576171875,0.20101874880492687,0.0,0.0001,0.0032430700957775116,0.0,19.0
46,25,,,1681156479,0.828125,0.0,0.05999999999994543,7583.625216,0.06927678811973188,72978.0,1.1756678455067058,2400.043008,198.0,6241.906688,0.0,0.0,0.0,7.640624999999999,122845.0,87.16074538278231,237014.552576,2.854912,1023.0,0.1000000000003638,9023.823872,0.0,1330153.0,7.2,1.96875,36270.563328,665.0,0.004465499892830849,,,,,,,,,,,,,
47,26,,,1681156480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000772328581660986,0.02990774717181921,0.0437751580029726,0.11751849297434092,8.0,672.0,7.2030029296875,0.1998698804527521,0.0,0.0001,0.00343065382912755,0.0,20.0
48,26,,,1681156480,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0045822132378816605,0.0008817319758236408,0.027121038176119328,0.04394357232376933,0.1215795329771936,8.0,704.0,7.0963134765625,0.20123707549646497,0.0,0.0001,0.003128986805677414,0.0,21.0
49,26,,,1681156480,0.828125,0.0,0.05999999999994543,7584.468992,0.0,76646.0,1.4296556028484746,2400.038912,198.0,6241.902592,0.0,0.0,0.0,7.640624999999999,125824.0,79.41760548877431,236994.428928,2.854912,1082.0,0.1000000000003638,9023.832064,0.0,1334202.0,7.2,1.96875,36270.563328,668.0,0.004712446127086878,0.0008395700715482235,0.026796420104801655,0.04409661516547203,0.12181053915992379,,,,,,,,,
50,26,,,1681156480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,736.0,7.066650390625,0.2016059923917055,0.0,0.0001,0.0033504017628729343,0.0,22.0
51,27,,,1681156481,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003519947174936533,0.0007467777468264103,0.027850456070154905,0.04417831776663661,0.12082545412704349,8.0,768.0,7.1168212890625,0.20047753490507603,0.0,0.0001,0.0033565820194780827,0.0,23.0
52,27,,,1681156481,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004401078913360834,0.0007215668447315693,0.026361159048974514,0.04416550695896149,0.12284388393163681,8.0,800.0,7.2431640625,0.20376006606966257,0.0,0.0001,0.005266870371997356,0.0,24.0
