03_hivemind/epoch_s,_runtime,04_peers/peer_7_epoch,03_hivemind/actual_total_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_9_epoch,04_peers/peer_7_epoch_oos,04_peers/peer_3_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_6_samples_per_second,_timestamp,04_peers/peer_2_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_4_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_5_epoch,03_hivemind/num_clients,04_peers/peer_2_samples_per_second,04_peers/peer_8_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/total_training_samples,04_peers/peer_4_samples_accumulated,04_peers/peer_5_samples_accumulated,03_hivemind/num_peers,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,04_peers/peer_5_epoch_oos,04_peers/peer_9_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_5_samples_per_second,_step,04_peers/peer_1_epoch,03_hivemind/global_samples_accumulated,04_peers/peer_4_samples_per_second,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_9_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_9_samples_accumulated,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,04_peers/peer_7_samples_per_second
,43,,4.772730669467374,32,,,,,,,,,1681156471.0,,,,,,6858.88,4.772730669467374,,0,,,,,,,1,,,,,,0,,,0,,32,,,,,,,,,,,,10.0,,
,44,,31.337156939603666,235,,,,,,,4.77,,1681156472.0,,,,,,1038.17,31.337156939603666,,0,,,,,,,5,,,,,32.0,0,,,1,0.0,224,,,0.0,,,,,,,,,10.0,,
,45,,69.22446478589382,647,,0.0,,,32.0,,8.81,,1681156473.0,0.0,,,,0.0,464.02,69.22446478589382,0.0,0,8.68,,,,32.0,32.0,9,,,0.0,,64.0,0,0.0,4.43,2,0.0,608,4.7,,0.0,,0.0,0.0,,64.0,,,,10.0,4.7,
,46,0.0,110.90835876900127,1105,,0.0,0.0,0.0,96.0,0.0,12.26,1.29,1681156474.0,0.0,0.0,64.0,0.0,0.0,285.48,110.90835876900127,0.0,0,12.11,0.0,,,64.0,64.0,9,,,0.0,4.62,96.0,0,0.0,8.27,3,0.0,1056,8.71,,0.0,0.0,0.0,0.0,5.02,96.0,32.0,64.0,32.0,10.0,12.21,4.73
,47,0.0,147.54057699014973,1561,,0.0,0.0,0.0,128.0,0.0,17.79,2.0,1681156475.0,0.0,0.0,96.0,0.0,0.0,211.51,147.54057699014973,0.0,0,15.05,0.0,,,128.0,96.0,9,,,0.0,8.54,160.0,0,0.0,11.61,4,0.0,1504,15.09,,0.0,0.0,0.0,0.0,13.35,128.0,96.0,160.0,64.0,10.0,15.22,12.25
,48,0.0,176.17843823209873,2005,,0.0,0.0,0.0,160.0,0.0,20.0,2.75,1681156476.0,0.0,0.0,128.0,0.0,0.0,174.61,176.17843823209873,0.0,0,19.83,0.0,,,160.0,160.0,9,,,0.0,14.78,192.0,0,0.0,17.07,5,0.0,1920,17.64,,0.0,0.0,0.0,0.0,22.39,192.0,128.0,256.0,128.0,10.0,17.83,15.24
,50,0.0,206.4498793351047,2458,,0.0,0.0,0.0,224.0,0.0,21.92,4.41,1681156478.0,0.0,0.0,192.0,0.0,0.0,146.81,206.4498793351047,0.0,0,21.75,0.0,,,192.0,192.0,9,,,0.0,17.26,224.0,0,0.0,19.29,6,0.0,2368,19.85,,0.0,0.0,0.0,0.0,31.76,224.0,160.0,352.0,160.0,10.0,22.1,17.83
,51,0.0,229.7388934142925,2885,,0.0,0.0,0.0,256.0,0.0,23.59,5.31,1681156479.0,0.0,0.0,224.0,0.0,0.0,130.07,229.7388934142925,0.0,0,23.44,0.0,,,256.0,224.0,9,,,0.0,19.42,256.0,0,0.0,21.25,7,0.0,2784,23.48,,0.0,0.0,0.0,0.0,44.04,256.0,224.0,480.0,192.0,10.0,23.86,22.07
,52,0.0,252.83076937274558,3354,,0.0,0.0,0.0,288.0,0.0,26.35,6.25,1681156480.0,0.0,0.0,256.0,0.0,0.0,116.34,252.83076937274558,0.0,0,26.2,0.0,,,288.0,256.0,9,,,0.0,21.29,320.0,0,0.0,22.97,8,0.0,3264,24.98,,0.0,0.0,0.0,0.0,52.5,320.0,256.0,576.0,224.0,10.0,25.4,23.8
,53,0.0,269.4307845980993,3775,,0.0,0.0,0.0,352.0,0.0,27.47,8.24,1681156481.0,0.0,0.0,320.0,0.0,0.0,107.61,269.4307845980993,0.0,0,27.35,0.0,,,320.0,320.0,9,,,0.0,24.36,352.0,0,0.0,25.85,9,0.0,3648,26.28,,0.0,0.0,0.0,0.0,59.99,352.0,288.0,672.0,288.0,10.0,27.97,25.32
