04_peers/peer_2_epoch_oos,04_peers/peer_5_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_4_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/epoch_s,03_hivemind/eta_next_epoch_s,03_hivemind/undershot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_4_samples_per_second,04_peers/peer_3_samples_accumulated,_timestamp,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_accumulated,_step,04_peers/peer_1_epoch,03_hivemind/total_training_samples,04_peers/peer_5_samples_per_second,03_hivemind/global_samples_accumulated,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,04_peers/peer_4_epoch_oos,04_peers/peer_4_epoch,03_hivemind/optimistic_total_samples_per_second
,,,,0,,,,,,,,,225,,44,,1327.77,,10.0,,,1681158167.0,1,0,,,24.509185466507457,,0,,,,224,,,,,24.509185466507457
,,,,0,0.0,,,,,24.51,,,488,,45,,462.59,,10.0,,,1681158168.0,1,0,,,69.78109515343048,224.0,1,0.0,,,480,,,,,69.78109515343048
,,,,0,0.0,,,,,69.78,,,774,,46,,236.01,,10.0,,,1681158169.0,1,0,,,135.56121215450506,480.0,2,0.0,,,768,,,,,135.56121215450506
,,,,0,0.0,,,,,135.56,,,1237,,47,,148.93,,10.0,,,1681158170.0,4,0,,,211.715471188431,768.0,3,0.0,,,1216,,,,,211.715471188431
0.0,,96.0,0.0,0,0.0,32.0,,,,186.61,12.64,8.44,1899,,48,,103.39,,10.0,4.02,64.0,1681158171.0,4,0,,0.0,298.56262106469865,1024.0,4,0.0,,,1856,0.0,,0.0,0.0,298.56262106469865
0.0,,224.0,0.0,0,0.0,160.0,,,,219.98,30.71,26.53,2562,,49,,81.0,,10.0,21.34,192.0,1681158172.0,4,0,,0.0,372.9274009666931,1280.0,5,0.0,,,2528,0.0,,0.0,0.0,372.9274009666931
0.0,,352.0,0.0,0,0.0,288.0,,,,239.63,48.73,44.99,3224,,50,,68.15,,10.0,39.58,320.0,1681158173.0,4,0,,0.0,433.5179830557494,1568.0,6,0.0,,,3168,0.0,,0.0,0.0,433.5179830557494
0.0,,480.0,0.0,0,0.0,416.0,,,,248.83,65.25,62.29,3869,,52,,60.21,,10.0,57.15,448.0,1681158175.0,4,0,,0.0,479.9946438402923,1824.0,7,0.0,,,3808,0.0,,0.0,0.0,479.9946438402923
0.0,,608.0,0.0,0,0.0,512.0,,,,254.67,79.18,77.08,4535,,53,,54.37,,10.0,69.06,576.0,1681158176.0,4,0,,0.0,519.3206868288381,2112.0,8,0.0,,,4448,0.0,,0.0,0.0,519.3206868288381
0.0,,736.0,0.0,0,0.0,640.0,,,,257.68,90.14,88.95,5190,,54,,50.32,,10.0,82.55,704.0,1681158177.0,4,0,,0.0,548.0833809774197,2368.0,9,0.0,,,5088,0.0,,0.0,0.0,548.0833809774197
0.0,,832.0,0.0,0,0.0,768.0,,,,260.45,96.53,98.02,5854,,55,,47.25,,10.0,93.08,832.0,1681158178.0,4,0,,0.0,569.6272888783386,2656.0,10,0.0,,,5760,0.0,,0.0,0.0,569.6272888783386
0.0,,960.0,0.0,0,0.0,896.0,,,,260.93,102.92,104.8,6510,,56,,44.98,,10.0,100.97,960.0,1681158179.0,4,0,,0.0,583.748866764318,2944.0,11,0.0,,,6432,0.0,,0.0,0.0,583.748866764318
0.0,,1088.0,0.0,0,0.0,1024.0,,,,260.88,107.27,109.22,7294,,57,,42.57,,10.0,106.37,1088.0,1681158180.0,5,0,,0.0,598.4350189014838,3232.0,12,0.0,,,7200,0.0,,0.0,0.0,598.4350189014838
0.0,0.0,1216.0,0.0,0,0.0,1152.0,128.0,0.0,,263.1,110.22,112.18,8070,,58,,40.85,,10.0,110.12,1216.0,1681158181.0,5,0,,0.0,604.5798222219879,3488.0,13,0.0,,2.81,8000,0.0,,0.0,0.0,604.5798222219879
0.0,0.0,1344.0,0.0,0,0.0,1280.0,256.0,0.0,,258.6,112.17,114.24,8854,,59,,38.88,,10.0,112.7,1344.0,1681158182.0,5,0,,0.0,615.0717463942157,3776.0,14,0.0,,6.86,8768,0.0,,0.0,0.0,615.0717463942157
0.0,0.0,1472.0,0.0,0,0.0,1408.0,384.0,0.0,,259.19,113.47,115.51,9635,,60,,37.02,,10.0,114.39,1472.0,1681158183.0,5,0,,0.0,624.8085150843151,4032.0,15,0.0,,12.51,9568,0.0,,0.0,0.0,624.8085150843151
0.0,0.0,1600.0,0.0,0,0.0,1536.0,512.0,0.0,,258.32,114.38,116.3,10415,,61,,35.1,,10.0,115.69,1600.0,1681158184.0,5,0,,0.0,636.8376688264023,4320.0,16,0.0,,20.11,10336,0.0,,0.0,0.0,636.8376688264023
0.0,0.0,1696.0,0.0,0,0.0,1664.0,640.0,0.0,,259.04,114.75,116.87,11194,,62,,33.14,,10.0,116.38,1728.0,1681158185.0,5,0,,0.0,651.0341503896788,4608.0,17,0.0,,29.8,11104,0.0,,0.0,0.0,651.0341503896788
0.0,0.0,1824.0,0.0,0,0.0,1792.0,768.0,0.0,,260.56,115.14,117.22,11976,,63,,31.27,,10.0,116.75,1856.0,1681158186.0,5,0,,0.0,664.8962497093079,4864.0,18,0.0,,41.36,11872,0.0,,0.0,0.0,664.8962497093079
0.0,0.0,1952.0,0.0,0,0.0,1920.0,896.0,0.0,,260.99,115.31,117.35,12758,,64,,29.5,,10.0,117.04,1952.0,1681158187.0,5,0,,0.0,678.2126105022013,5152.0,19,0.0,,54.2,12672,0.0,,0.0,0.0,678.2126105022013
0.0,0.0,2080.0,0.0,0,0.0,2048.0,1024.0,0.0,,260.83,115.44,117.5,13540,,65,,27.83,,10.0,117.23,2080.0,1681158188.0,5,0,,0.0,690.9184237751936,5440.0,20,0.0,,67.22,13408,0.0,,0.0,0.0,690.9184237751936
0.0,0.0,2208.0,0.0,0,0.0,2144.0,1152.0,0.0,,261.34,115.4,117.53,14321,,66,,26.28,,10.0,117.3,2208.0,1681158189.0,5,0,,0.0,701.9242169631166,5696.0,21,0.0,,79.35,14208,0.0,,0.0,0.0,701.9242169631166
0.0,0.0,2336.0,0.0,0,0.0,2272.0,1280.0,0.0,,262.07,115.31,117.58,15103,,68,,24.85,,10.0,117.26,2336.0,1681158191.0,5,0,,0.0,710.7779697945256,5984.0,22,0.0,,89.7,15008,0.0,,0.0,0.0,710.7779697945256
0.0,0.0,2464.0,0.0,0,0.0,2400.0,1408.0,0.0,,263.02,115.2,117.44,15884,,69,,23.56,,10.0,117.14,2464.0,1681158192.0,5,0,,0.0,716.5935770745469,6272.0,23,0.0,,97.99,15776,0.0,,0.0,0.0,716.5935770745469
0.0,0.0,2560.0,0.0,0,0.0,2528.0,1536.0,0.0,,262.63,115.22,117.33,16656,,70,,22.38,,10.0,117.08,2592.0,1681158193.0,5,0,,0.0,719.8135622610604,6560.0,24,0.0,,104.34,16544,0.0,,0.0,0.0,719.8135622610604
0.0,0.0,2688.0,0.0,0,0.0,2656.0,1632.0,0.0,,262.74,115.06,117.24,17433,,71,,21.22,,10.0,116.93,2720.0,1681158194.0,5,0,,0.0,722.4958797437091,6848.0,25,0.0,,107.84,17312,0.0,,0.0,0.0,722.4958797437091
